model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,80,0.0,0.3125,0.3125
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,64,1.0,0.234375,-0.765625
lightgbm,lt_0.50,0.0,0.5,61,0.16879360858892153,0.3770491803278688,0.2082555717389473
lightgbm,0.50-0.55,0.5,0.55,5,0.5098425841112381,0.6,0.09015741588876192
lightgbm,0.55-0.60,0.55,0.6,1,0.582700166254316,1.0,0.417299833745684
lightgbm,0.60-0.65,0.6,0.65,1,0.6112086800114372,0.0,-0.6112086800114372
lightgbm,0.65+,0.65,1.0,76,0.883380131843835,0.17105263157894737,-0.7123275002648877
xgboost,lt_0.50,0.0,0.5,45,0.30665510329935286,0.4888888888888889,0.182233785589536
xgboost,0.50-0.55,0.5,0.55,10,0.5091695308685302,0.4,-0.1091695308685302
xgboost,0.55-0.60,0.55,0.6,10,0.5763406455516815,0.2,-0.3763406455516815
xgboost,0.60-0.65,0.6,0.65,12,0.6218375762303671,0.25,-0.37183757623036706
xgboost,0.65+,0.65,1.0,67,0.7871543533766447,0.13432835820895522,-0.6528259951676896
