horizon,ticker,model_name,regression_observations,regression_mae,regression_rmse,regression_mape,regression_directional_accuracy,classification_observations,classification_accuracy,classification_precision,classification_recall,classification_f1,classification_roc_auc,classification_positive_class_precision,classification_true_negative,classification_false_positive,classification_false_negative,classification_true_positive
20d,ACB,cart,65,0.03431134231688189,0.03949983144195022,143.50674139422793,0.4153846153846154,65,0.6615384615384615,0.5238095238095238,0.9166666666666666,0.6666666666666666,0.714430894308943,0.5238095238095238,21,20,2,22
20d,ACB,lightgbm,65,0.02217954497157856,0.028560078919229074,121.92300660409636,0.7692307692307693,65,0.6307692307692307,0.0,0.0,0.0,0.6290650406504066,0.0,41,0,24,0
20d,ACB,xgboost,65,0.02404341359833953,0.030209967673092263,108.9415501018844,0.6153846153846154,65,0.6153846153846154,0.0,0.0,0.0,0.7449186991869918,0.0,40,1,24,0
20d,DGC,cart,65,0.20629183948852603,0.24215076421403414,843.507586598785,0.5846153846153846,65,0.2923076923076923,0.34615384615384615,0.6,0.43902439024390244,0.3142857142857143,0.34615384615384615,1,34,12,18
20d,DGC,lightgbm,65,0.17634173592156419,0.21251675587109425,571.137220560098,0.5230769230769231,65,0.4153846153846154,0.3,0.2,0.24,0.5561904761904762,0.3,21,14,24,6
20d,DGC,xgboost,65,0.17133549451516392,0.20265092686944836,503.37696328739196,0.46153846153846156,65,0.4307692307692308,0.34782608695652173,0.26666666666666666,0.3018867924528302,0.49142857142857144,0.34782608695652173,20,15,22,8
20d,HPG,cart,65,0.06601165738049715,0.07477132022796387,377.6081135653285,0.23076923076923078,65,0.676923076923077,0.6956521739130435,0.5333333333333333,0.6037735849056604,0.7533333333333333,0.6956521739130435,28,7,14,16
20d,HPG,lightgbm,65,0.05093742373946169,0.06518520904969108,245.4678423124561,0.49230769230769234,65,0.5538461538461539,0.5555555555555556,0.16666666666666666,0.2564102564102564,0.5295238095238095,0.5555555555555556,31,4,25,5
20d,HPG,xgboost,65,0.058518398783939274,0.07104156920805323,296.4155678200788,0.4,65,0.5692307692307692,0.6,0.2,0.3,0.4704761904761905,0.6,31,4,24,6
20d,MWG,cart,65,0.1027633238990864,0.12094356349168028,355.3550150756714,0.5846153846153846,65,0.49230769230769234,0.0,0.0,0.0,0.5,0.0,32,0,33,0
20d,MWG,lightgbm,65,0.11789729180785473,0.13600931417422457,376.04613669464965,0.47692307692307695,65,0.49230769230769234,0.0,0.0,0.0,0.6486742424242424,0.0,32,0,33,0
20d,MWG,xgboost,65,0.11534383154518643,0.13274997660883595,368.1858661559503,0.47692307692307695,65,0.49230769230769234,0.0,0.0,0.0,0.42803030303030304,0.0,32,0,33,0
20d,OVERALL,cart,260,0.10234454077124787,0.14178798007243248,430.60587681134183,0.45384615384615384,260,0.5307692307692308,0.47863247863247865,0.47863247863247865,0.47863247863247865,0.510429741198972,0.47863247863247865,82,61,61,56
20d,OVERALL,lightgbm,260,0.0918389991101148,0.13107888336307427,329.61447421866586,0.5653846153846154,260,0.5230769230769231,0.3793103448275862,0.09401709401709402,0.1506849315068493,0.5640427948120256,0.3793103448275862,125,18,106,11
