record_type,symbol,ticker,index_code,in_frozen_universe,first_trading_date,effective_start,cache_file_exists,row_count,first_datetime,last_datetime,frequency_values,training_rows_before_2024_12_31,evaluation_rows_from_2025_01_01,usable,failure_reason
stock,ACB,ACB,,yes,2006-11-21,2015-01-01,yes,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,176,yes,
stock,BID,BID,,yes,2014-01-24,2015-01-01,yes,1455,2023-09-11 10:00:00,2026-05-14 00:00:00,1H,1321,134,yes,
stock,CTG,CTG,,yes,2009-07-16,2015-01-01,yes,1440,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,119,yes,
stock,DGC,DGC,,yes,,2015-01-01,yes,1435,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,114,yes,
stock,FPT,FPT,,yes,2006-12-13,2015-01-01,yes,1449,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,128,yes,
stock,GAS,GAS,,yes,2012-05-21,2015-01-01,yes,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,135,yes,
stock,GVR,GVR,,yes,2018-03-21,2018-03-21,yes,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,135,yes,
stock,HDB,HDB,,yes,2018-01-05,2018-01-05,yes,1439,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,118,yes,
stock,HPG,HPG,,yes,2007-11-15,2015-01-01,yes,1592,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,271,yes,
stock,LPB,LPB,,yes,2017-10-05,2017-10-05,yes,1590,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,269,yes,
stock,MBB,MBB,,yes,2011-11-01,2015-01-01,yes,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,176,yes,
stock,MSN,MSN,,yes,2009-11-05,2015-01-01,yes,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,176,yes,
stock,MWG,MWG,,yes,2014-07-14,2015-01-01,yes,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,176,yes,
stock,PLX,PLX,,yes,2017-04-21,2017-04-21,yes,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,176,yes,
stock,SAB,SAB,,yes,2016-12-06,2016-12-06,yes,1421,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,100,yes,
stock,SHB,SHB,,yes,2009-04-20,2015-01-01,yes,1620,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,299,yes,
stock,SSB,SSB,,yes,2021-03-24,2021-03-24,yes,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,176,yes,
stock,SSI,SSI,,yes,2006-12-15,2015-01-01,yes,1446,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,125,yes,
stock,STB,STB,,yes,2006-07-12,2015-01-01,yes,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,176,yes,
stock,TCB,TCB,,yes,,2015-01-01,yes,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,135,yes,
stock,TPB,TPB,,yes,,2015-01-01,yes,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,135,yes,
stock,VCB,VCB,,yes,,2015-01-01,yes,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,135,yes,
stock,VHM,VHM,,yes,,2015-01-01,yes,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,176,yes,
stock,VIB,VIB,,yes,,2015-01-01,yes,1602,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,281,yes,
stock,VIC,VIC,,yes,,2015-01-01,yes,1448,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,127,yes,
stock,VJC,VJC,,yes,,2015-01-01,yes,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,176,yes,
stock,VNM,VNM,,yes,,2015-01-01,yes,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,135,yes,
stock,VPB,VPB,,yes,,2015-01-01,yes,1589,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,268,yes,
stock,VPL,VPL,,yes,,2015-01-01,yes,176,2025-08-27 00:00:00,2026-05-15 00:00:00,1H,0,176,no,training_rows_below_1000
stock,VRE,VRE,,yes,,2015-01-01,yes,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,1321,176,yes,
index,VNINDEX,,VNINDEX,,,2015-01-01,yes,995,2022-05-19 00:00:00,2026-05-15 00:00:00,1H,,,yes,
index,HNXINDEX,,HNXINDEX,,,2015-01-01,yes,994,2022-05-19 00:00:00,2026-05-14 00:00:00,1H,,,yes,
index,UPCOMINDEX,,UPCOMINDEX,,,2015-01-01,yes,994,2022-05-19 00:00:00,2026-05-15 00:00:00,1H,,,yes,
index,VN30,,VN30,,,2015-01-01,yes,995,2022-05-19 00:00:00,2026-05-15 00:00:00,1H,,,yes,
index,HNX30,,HNX30,,,2015-01-01,yes,962,2022-07-04 00:00:00,2026-05-15 00:00:00,1H,,,yes,
index,VN100,,VN100,,,2015-01-01,yes,1570,2023-09-11 10:00:00,2026-05-15 00:00:00,1H,,,yes,
