horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
3d,bear,cart,0.50-0.55,0,,,
3d,bear,cart,0.55-0.60,0,,,
3d,bear,cart,0.60-0.65,0,,,
3d,bear,cart,0.65+,22,1.0,0.7272727272727273,-0.2727272727272727
3d,bear,cart,lt_0.50,22,0.0,0.45454545454545453,0.45454545454545453
3d,bear,lightgbm,0.50-0.55,2,0.5171024486266029,0.5,-0.01710244862660293
3d,bear,lightgbm,0.55-0.60,2,0.5839388110020025,0.5,-0.08393881100200251
3d,bear,lightgbm,0.60-0.65,1,0.6009437595023402,0.0,-0.6009437595023402
3d,bear,lightgbm,0.65+,4,0.8342539876912738,1.0,0.1657460123087262
3d,bear,lightgbm,lt_0.50,35,0.1528308775784903,0.5714285714285714,0.4185976938500811
3d,bear,xgboost,0.50-0.55,1,0.5415626764297485,1.0,0.45843732357025146
3d,bear,xgboost,0.55-0.60,2,0.5774564445018768,1.0,0.42254355549812317
3d,bear,xgboost,0.60-0.65,0,,,
3d,bear,xgboost,0.65+,1,0.7375010251998901,1.0,0.26249897480010986
3d,bear,xgboost,lt_0.50,40,0.2141734163742512,0.55,0.33582658362574885
3d,sideway,cart,0.50-0.55,0,,,
3d,sideway,cart,0.55-0.60,0,,,
3d,sideway,cart,0.60-0.65,0,,,
3d,sideway,cart,0.65+,53,1.0,0.41509433962264153,-0.5849056603773585
3d,sideway,cart,lt_0.50,79,0.0,0.24050632911392406,0.24050632911392406
3d,sideway,lightgbm,0.50-0.55,2,0.5346754062614949,0.0,-0.5346754062614949
3d,sideway,lightgbm,0.55-0.60,1,0.5890456281888582,0.0,-0.5890456281888582
3d,sideway,lightgbm,0.60-0.65,5,0.6130477599291118,0.4,-0.21304775992911174
3d,sideway,lightgbm,0.65+,16,0.8289875175831256,0.5625,-0.2664875175831256
3d,sideway,lightgbm,lt_0.50,108,0.14617670522648987,0.2777777777777778,0.13160107255128792
3d,sideway,xgboost,0.50-0.55,8,0.5295439437031746,0.5,-0.02954394370317459
3d,sideway,xgboost,0.55-0.60,6,0.5768949687480927,0.6666666666666666,0.08977169791857398
3d,sideway,xgboost,0.60-0.65,2,0.6257268488407135,0.0,-0.6257268488407135
3d,sideway,xgboost,0.65+,11,0.7356619184667413,0.45454545454545453,-0.2811164639212868
3d,sideway,xgboost,lt_0.50,105,0.2015704838204242,0.26666666666666666,0.06509618284624247
