ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,65,0.6153846153846154,0.0,0.0,0.0,0.554,0.0,40,0,25,0
ACB,lightgbm,65,0.6153846153846154,0.0,0.0,0.0,0.5700000000000001,0.0,40,0,25,0
ACB,xgboost,65,0.5846153846153846,0.0,0.0,0.0,0.513,0.0,38,2,25,0
DGC,cart,65,0.2923076923076923,0.15151515151515152,0.21739130434782608,0.17857142857142858,0.2650103519668737,0.15151515151515152,14,28,18,5
DGC,lightgbm,65,0.47692307692307695,0.37777777777777777,0.7391304347826086,0.5,0.4679089026915114,0.37777777777777777,14,28,6,17
DGC,xgboost,65,0.47692307692307695,0.34285714285714286,0.5217391304347826,0.41379310344827586,0.4554865424430642,0.34285714285714286,19,23,11,12
HPG,cart,65,0.5692307692307692,0.5,0.14285714285714285,0.2222222222222222,0.48841698841698833,0.5,33,4,24,4
HPG,lightgbm,65,0.5384615384615384,0.375,0.10714285714285714,0.16666666666666666,0.4353281853281853,0.375,32,5,25,3
HPG,xgboost,65,0.5230769230769231,0.3333333333333333,0.10714285714285714,0.16216216216216217,0.527992277992278,0.3333333333333333,31,6,25,3
MWG,cart,65,0.47692307692307695,0.25,0.06666666666666667,0.10526315789473684,0.4447619047619047,0.25,29,6,28,2
MWG,lightgbm,65,0.5384615384615384,0.5,0.06666666666666667,0.11764705882352941,0.5504761904761905,0.5,33,2,28,2
MWG,xgboost,65,0.5230769230769231,0.0,0.0,0.0,0.6038095238095238,0.0,34,1,30,0
OVERALL,cart,260,0.48846153846153845,0.22448979591836735,0.10377358490566038,0.14193548387096774,0.4305317324185249,0.22448979591836735,116,38,95,11
OVERALL,lightgbm,260,0.5423076923076923,0.38596491228070173,0.20754716981132076,0.26993865030674846,0.48517520215633425,0.38596491228070173,119,35,84,22
OVERALL,xgboost,260,0.5269230769230769,0.3191489361702128,0.14150943396226415,0.19607843137254902,0.49669198725802505,0.3191489361702128,122,32,91,15
