ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,65,0.5076923076923077,0.4117647058823529,0.2413793103448276,0.30434782608695654,0.6005747126436781,0.4117647058823529,26,10,22,7
ACB,lightgbm,65,0.5538461538461539,0.0,0.0,0.0,0.5737547892720306,0.0,36,0,29,0
ACB,xgboost,65,0.5538461538461539,0.0,0.0,0.0,0.5555555555555556,0.0,36,0,29,0
DGC,cart,65,0.4,0.4074074074074074,0.7586206896551724,0.5301204819277109,0.43486590038314177,0.4074074074074074,4,32,7,22
DGC,lightgbm,65,0.4,0.4,0.6896551724137931,0.5063291139240507,0.5229885057471264,0.4,6,30,9,20
DGC,xgboost,65,0.5384615384615384,0.4883720930232558,0.7241379310344828,0.5833333333333334,0.557471264367816,0.4883720930232558,14,22,8,21
HPG,cart,65,0.676923076923077,1.0,0.16,0.27586206896551724,0.5915,1.0,40,0,21,4
HPG,lightgbm,65,0.6153846153846154,0.5,0.08,0.13793103448275862,0.579,0.5,38,2,23,2
HPG,xgboost,65,0.6,0.0,0.0,0.0,0.456,0.0,39,1,25,0
MWG,cart,65,0.6615384615384615,0.7142857142857143,0.2,0.3125,0.602,0.7142857142857143,38,2,20,5
MWG,lightgbm,65,0.6307692307692307,1.0,0.04,0.07692307692307693,0.6709999999999999,1.0,40,0,24,1
MWG,xgboost,65,0.6615384615384615,0.8,0.16,0.26666666666666666,0.566,0.8,39,1,21,4
OVERALL,cart,260,0.5615384615384615,0.4634146341463415,0.35185185185185186,0.4,0.5590582358674464,0.4634146341463415,108,44,70,38
OVERALL,lightgbm,260,0.55,0.41818181818181815,0.21296296296296297,0.2822085889570552,0.5673732943469785,0.41818181818181815,120,32,85,23
OVERALL,xgboost,260,0.5884615384615385,0.5102040816326531,0.23148148148148148,0.3184713375796178,0.5214424951267057,0.5102040816326531,128,24,83,25
