item,value,detail,source_artifact,claim_supported,limitation,status
Universe,VN100,Official benchmark universe.,run_config.json; manifest.json; usable_cache_summary.csv; daily/hourly benchmark_summary.json,The official run is a 2025 held-out VN100 benchmark with limited usable-cache coverage.,Standalone daily cache rows are not benchmark-usable; the daily benchmark uses hybrid resampled inputs.,ready
Raw daily cache request range,2006-01-01 to 2015-12-31,Manifest raw daily range: 2006-01-01 to 2015-12-31.,run_config.json; manifest.json; usable_cache_summary.csv; daily/hourly benchmark_summary.json,The official run is a 2025 held-out VN100 benchmark with limited usable-cache coverage.,Standalone daily cache rows are not benchmark-usable; the daily benchmark uses hybrid resampled inputs.,ready
Raw hourly cache request range,2016-01-01 to 2025-12-31,Manifest raw hourly range: 2016-01-01 to 2025-12-31.,run_config.json; manifest.json; usable_cache_summary.csv; daily/hourly benchmark_summary.json,The official run is a 2025 held-out VN100 benchmark with limited usable-cache coverage.,Standalone daily cache rows are not benchmark-usable; the daily benchmark uses hybrid resampled inputs.,ready
Training-label cutoff,2024-12-31,Rule: target_timestamp <= train_cutoff.,run_config.json; manifest.json; usable_cache_summary.csv; daily/hourly benchmark_summary.json,The official run is a 2025 held-out VN100 benchmark with limited usable-cache coverage.,Standalone daily cache rows are not benchmark-usable; the daily benchmark uses hybrid resampled inputs.,ready
Official evaluation window,2025-01-01 to 2025-12-31,Held-out 2025 target outcomes.,run_config.json; manifest.json; usable_cache_summary.csv; daily/hourly benchmark_summary.json,The official run is a 2025 held-out VN100 benchmark with limited usable-cache coverage.,Standalone daily cache rows are not benchmark-usable; the daily benchmark uses hybrid resampled inputs.,ready
Effective daily evaluation range,2025-01-02 to 2025-12-31,Daily predictions: 26104.,run_config.json; manifest.json; usable_cache_summary.csv; daily/hourly benchmark_summary.json,The official run is a 2025 held-out VN100 benchmark with limited usable-cache coverage.,Standalone daily cache rows are not benchmark-usable; the daily benchmark uses hybrid resampled inputs.,ready
Effective hourly evaluation range,2025-01-02 to 2025-12-31,Hourly predictions: 127944.,run_config.json; manifest.json; usable_cache_summary.csv; daily/hourly benchmark_summary.json,The official run is a 2025 held-out VN100 benchmark with limited usable-cache coverage.,Standalone daily cache rows are not benchmark-usable; the daily benchmark uses hybrid resampled inputs.,ready
Evaluated tickers,"ANV, BCM, BID, BMP, BVH, BWE, CII",7 tickers evaluated in official summaries.,run_config.json; manifest.json; usable_cache_summary.csv; daily/hourly benchmark_summary.json,The official run is a 2025 held-out VN100 benchmark with limited usable-cache coverage.,Standalone daily cache rows are not benchmark-usable; the daily benchmark uses hybrid resampled inputs.,ready
Daily benchmark-usable cache rows,0 of 104,Usable tickers: none; actual range: n/a to n/a.,run_config.json; manifest.json; usable_cache_summary.csv; daily/hourly benchmark_summary.json,The official run is a 2025 held-out VN100 benchmark with limited usable-cache coverage.,Standalone daily cache rows are not benchmark-usable; the daily benchmark uses hybrid resampled inputs.,ready
Hourly benchmark-usable cache rows,7 of 104,"Usable tickers: ANV, BCM, BID, BMP, BVH, BWE, CII; actual range: 2024-01-02 to 2025-12-31.",run_config.json; manifest.json; usable_cache_summary.csv; daily/hourly benchmark_summary.json,The official run is a 2025 held-out VN100 benchmark with limited usable-cache coverage.,Standalone daily cache rows are not benchmark-usable; the daily benchmark uses hybrid resampled inputs.,ready
