step_size,horizon,total_predictions,evaluation_eligible_predictions,evaluation_ineligible_predictions,coverage_ratio
1,long_3m,3672,2916,756,0.7941176470588235
1,long_6m,3672,2160,1512,0.5882352941176471
1,short_10d,3672,3552,120,0.9673202614379085
1,short_20d,3672,3432,240,0.934640522875817
1,short_30d,3672,3312,360,0.9019607843137255
1,short_5d,3672,3612,60,0.9836601307189542
2,long_3m,1836,1464,372,0.7973856209150327
2,long_6m,1836,1080,756,0.5882352941176471
2,short_10d,1836,1776,60,0.9673202614379085
2,short_20d,1836,1716,120,0.934640522875817
2,short_30d,1836,1656,180,0.9019607843137255
2,short_5d,1836,1812,24,0.9869281045751634
