ticker,n_rows,n_correct,accuracy,class_balance
VIC,296,106,0.3581,0.902
VJC,296,111,0.375,0.5946
VIB,296,119,0.402,0.3885
ACB,296,122,0.4122,0.4493
BVH,296,122,0.4122,0.6385
VPB,296,139,0.4696,0.4932
GAS,296,140,0.473,0.5338
SSB,296,145,0.4899,0.3412
CTG,296,159,0.5372,0.5878
MSN,296,162,0.5473,0.5169
BID,296,163,0.5507,0.5236
MWG,296,167,0.5642,0.7534
TPB,296,169,0.5709,0.4392
VNM,296,169,0.5709,0.598
TCB,296,178,0.6014,0.6318
LPB,296,178,0.6014,0.625
STB,296,181,0.6115,0.7703
SHB,296,182,0.6149,0.5878
MBB,296,182,0.6149,0.6419
VHM,296,184,0.6216,0.7905
SSI,296,185,0.625,0.5203
HPG,296,188,0.6351,0.598
BCM,296,189,0.6385,0.4189
SAB,296,190,0.6419,0.4527
VCB,296,203,0.6858,0.4662
VRE,296,209,0.7061,0.6959
HDB,296,211,0.7128,0.6182
FPT,296,218,0.7365,0.3446
PLX,296,219,0.7399,0.4662
GVR,296,223,0.7534,0.4865
