year,month,n_rows,n_correct,accuracy,class_balance
2025,1,510,337,0.6608,0.8117647058823529
2025,2,600,317,0.5283,0.27166666666666667
2025,3,630,293,0.4651,0.25873015873015875
2025,4,600,356,0.5933,0.8166666666666667
2025,5,600,404,0.6733,0.9633333333333334
2025,6,630,514,0.8159,0.9507936507936507
2025,7,690,523,0.758,0.8028985507246377
2025,8,630,354,0.5619,0.5206349206349207
2025,9,600,251,0.4183,0.2683333333333333
2025,10,690,289,0.4188,0.3898550724637681
2025,11,600,278,0.4633,0.7516666666666667
2025,12,690,370,0.5362,0.6521739130434783
2026,1,600,309,0.515,0.14166666666666666
2026,2,450,301,0.6689,0.24444444444444444
2026,3,360,217,0.6028,0.5
