model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,97,0.0,0.5051546391752577,0.5051546391752577
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,71,1.0,0.43661971830985913,-0.5633802816901409
lightgbm,lt_0.50,0.0,0.5,121,0.13712028823740913,0.45454545454545453,0.3174251663080454
lightgbm,0.50-0.55,0.5,0.55,5,0.5252508445259887,0.6,0.07474915547401129
lightgbm,0.55-0.60,0.55,0.6,1,0.5935042756520131,0.0,-0.5935042756520131
lightgbm,0.60-0.65,0.6,0.65,4,0.6332495712680537,0.5,-0.1332495712680537
lightgbm,0.65+,0.65,1.0,37,0.8367959142033934,0.5405405405405406,-0.2962553736628528
xgboost,lt_0.50,0.0,0.5,108,0.19878029696539873,0.42592592592592593,0.2271456289605272
xgboost,0.50-0.55,0.5,0.55,5,0.5102662563323974,0.6,0.08973374366760256
xgboost,0.55-0.60,0.55,0.6,4,0.5905373245477676,0.5,-0.09053732454776764
xgboost,0.60-0.65,0.6,0.65,8,0.623676709830761,0.75,0.12632329016923904
xgboost,0.65+,0.65,1.0,43,0.8124785617340443,0.5348837209302325,-0.2775948408038118
