horizon,ticker,model_name,strategy_type,threshold,prediction_date,entry_date,exit_date,target_date,trade_id,predicted_return,actual_forward_return,entry_price,exit_price,gross_trade_return,net_trade_return,holding_sessions,round_trip_cost_bps,entry_index,exit_index
20d,ACB,buy_and_hold,benchmark,,2026-01-05,2026-01-05,2026-04-10,2026-04-10,20d_ACB_buy_and_hold,,,24.0,23.85,-0.006249999999999978,-0.013181988041853554,65,70.0,0,64
20d,ACB,cart,model,0.0,2026-01-05,2026-01-06,2026-02-02,2026-02-02,20d_ACB_cart_0.0000_1,0.0186515458788674,-0.0104166666666666,24.05,23.75,-0.012474012474012475,-0.019362584385006376,20,70.0,1,20
20d,ACB,cart,model,0.0,2026-02-03,2026-02-04,2026-03-10,2026-03-10,20d_ACB_cart_0.0000_22,0.0186515458788674,-0.0232067510548523,23.7,23.15,-0.02320675105485237,-0.030020455830752635,20,70.0,22,41
20d,ACB,cart,model,0.005,2026-01-05,2026-01-06,2026-02-02,2026-02-02,20d_ACB_cart_0.0050_1,0.0186515458788674,-0.0104166666666666,24.05,23.75,-0.012474012474012475,-0.019362584385006376,20,70.0,1,20
20d,ACB,cart,model,0.005,2026-02-03,2026-02-04,2026-03-10,2026-03-10,20d_ACB_cart_0.0050_22,0.0186515458788674,-0.0232067510548523,23.7,23.15,-0.02320675105485237,-0.030020455830752635,20,70.0,22,41
20d,ACB,cart,model,0.01,2026-01-05,2026-01-06,2026-02-02,2026-02-02,20d_ACB_cart_0.0100_1,0.0186515458788674,-0.0104166666666666,24.05,23.75,-0.012474012474012475,-0.019362584385006376,20,70.0,1,20
20d,ACB,cart,model,0.01,2026-02-03,2026-02-04,2026-03-10,2026-03-10,20d_ACB_cart_0.0100_22,0.0186515458788674,-0.0232067510548523,23.7,23.15,-0.02320675105485237,-0.030020455830752635,20,70.0,22,41
20d,ACB,cart,model,0.02,2026-03-09,2026-03-10,2026-04-06,2026-04-06,20d_ACB_cart_0.0200_41,0.0692722041910721,0.0714285714285714,22.55,23.25,0.03104212860310418,0.023850006131533208,20,70.0,41,60
20d,ACB,lightgbm,model,0.0,2026-01-06,2026-01-07,2026-02-03,2026-02-03,20d_ACB_lightgbm_0.0000_2,0.0048858998966773,-0.0125,24.2,23.7,-0.02066115702479343,-0.027492618809374036,20,70.0,2,21
20d,ACB,lightgbm,model,0.0,2026-03-04,2026-03-05,2026-04-01,2026-04-01,20d_ACB_lightgbm_0.0000_38,0.004185742295278,0.0258620689655173,23.5,23.8,0.01276595744680864,0.0057013219688542005,20,70.0,38,57
20d,ACB,lightgbm,model,0.005,2026-03-09,2026-03-10,2026-04-06,2026-04-06,20d_ACB_lightgbm_0.0050_41,0.0592091817161669,0.0714285714285714,22.55,23.25,0.03104212860310418,0.023850006131533208,20,70.0,41,60
20d,ACB,lightgbm,model,0.01,2026-03-09,2026-03-10,2026-04-06,2026-04-06,20d_ACB_lightgbm_0.0100_41,0.0592091817161669,0.0714285714285714,22.55,23.25,0.03104212860310418,0.023850006131533208,20,70.0,41,60
20d,ACB,lightgbm,model,0.02,2026-03-09,2026-03-10,2026-04-06,2026-04-06,20d_ACB_lightgbm_0.0200_41,0.0592091817161669,0.0714285714285714,22.55,23.25,0.03104212860310418,0.023850006131533208,20,70.0,41,60
20d,ACB,momentum_continuation,benchmark,0.0,2026-01-07,2026-01-08,2026-02-04,2026-02-04,20d_ACB_momentum_continuation_0.0000_7,0.0185950413223139,-0.0425963488843812,24.75,23.6,-0.04646464646464643,-0.05311611380370729,20,70.0,3,22
20d,ACB,momentum_continuation,benchmark,0.0,2026-03-13,2026-03-16,2026-04-10,2026-04-10,20d_ACB_momentum_continuation_0.0000_133,0.0195652173913043,0.0170575692963752,23.4,23.85,0.019230769230769384,0.012121037905791665,20,70.0,45,64
20d,ACB,momentum_continuation,benchmark,0.005,2026-01-07,2026-01-08,2026-02-04,2026-02-04,20d_ACB_momentum_continuation_0.0050_7,0.0185950413223139,-0.0425963488843812,24.75,23.6,-0.04646464646464643,-0.05311611380370729,20,70.0,3,22
20d,ACB,momentum_continuation,benchmark,0.005,2026-03-13,2026-03-16,2026-04-10,2026-04-10,20d_ACB_momentum_continuation_0.0050_133,0.0195652173913043,0.0170575692963752,23.4,23.85,0.019230769230769384,0.012121037905791665,20,70.0,45,64
20d,ACB,momentum_continuation,benchmark,0.01,2026-01-07,2026-01-08,2026-02-04,2026-02-04,20d_ACB_momentum_continuation_0.0100_7,0.0185950413223139,-0.0425963488843812,24.75,23.6,-0.04646464646464643,-0.05311611380370729,20,70.0,3,22
20d,ACB,momentum_continuation,benchmark,0.01,2026-03-13,2026-03-16,2026-04-10,2026-04-10,20d_ACB_momentum_continuation_0.0100_133,0.0195652173913043,0.0170575692963752,23.4,23.85,0.019230769230769384,0.012121037905791665,20,70.0,45,64
20d,ACB,momentum_continuation,benchmark,0.02,2026-01-12,2026-01-13,2026-02-09,2026-02-09,20d_ACB_momentum_continuation_0.0200_16,0.0647181628392483,-0.0999999999999999,25.7,22.95,-0.10700389105058361,-0.11323306171590097,20,70.0,6,25
20d,ACB,xgboost,model,0.0,2026-01-05,2026-01-06,2026-02-02,2026-02-02,20d_ACB_xgboost_0.0000_1,0.0113107655197381,-0.0104166666666666,24.05,23.75,-0.012474012474012475,-0.019362584385006376,20,70.0,1,20
20d,ACB,xgboost,model,0.0,2026-02-02,2026-02-03,2026-03-09,2026-03-09,20d_ACB_xgboost_0.0000_21,0.0040594586171209,-0.0863157894736842,23.8,21.7,-0.08823529411764708,-0.09459538673466417,20,70.0,21,40
20d,ACB,xgboost,model,0.0,2026-03-09,2026-03-10,2026-04-06,2026-04-06,20d_ACB_xgboost_0.0000_41,0.0367771759629249,0.0714285714285714,22.55,23.25,0.03104212860310418,0.023850006131533208,20,70.0,41,60
20d,ACB,xgboost,model,0.005,2026-01-05,2026-01-06,2026-02-02,2026-02-02,20d_ACB_xgboost_0.0050_1,0.0113107655197381,-0.0104166666666666,24.05,23.75,-0.012474012474012475,-0.019362584385006376,20,70.0,1,20
20d,ACB,xgboost,model,0.005,2026-03-03,2026-03-04,2026-03-31,2026-03-31,20d_ACB_xgboost_0.0050_37,0.0065902532078325,0.0021276595744681,23.5,23.55,0.0021276595744681437,-0.004862767547625491,20,70.0,37,56
20d,ACB,xgboost,model,0.01,2026-01-05,2026-01-06,2026-02-02,2026-02-02,20d_ACB_xgboost_0.0100_1,0.0113107655197381,-0.0104166666666666,24.05,23.75,-0.012474012474012475,-0.019362584385006376,20,70.0,1,20
20d,ACB,xgboost,model,0.01,2026-03-09,2026-03-10,2026-04-06,2026-04-06,20d_ACB_xgboost_0.0100_41,0.0367771759629249,0.0714285714285714,22.55,23.25,0.03104212860310418,0.023850006131533208,20,70.0,41,60
20d,ACB,xgboost,model,0.02,2026-03-09,2026-03-10,2026-04-06,2026-04-06,20d_ACB_xgboost_0.0200_41,0.0367771759629249,0.0714285714285714,22.55,23.25,0.03104212860310418,0.023850006131533208,20,70.0,41,60
20d,DGC,buy_and_hold,benchmark,,2026-01-05,2026-01-05,2026-04-10,2026-04-10,20d_DGC_buy_and_hold,,,68.6,54.0,-0.2128279883381924,-0.21831897397011324,65,70.0,0,64
20d,DGC,cart,model,0.0,2026-01-06,2026-01-07,2026-02-03,2026-02-03,20d_DGC_cart_0.0000_2,0.1181006989870443,0.0777777777777779,63.2,67.9,0.07436708860759489,0.06687274917535402,20,70.0,2,21
20d,DGC,cart,model,0.005,2026-01-06,2026-01-07,2026-02-03,2026-02-03,20d_DGC_cart_0.0050_2,0.1181006989870443,0.0777777777777779,63.2,67.9,0.07436708860759489,0.06687274917535402,20,70.0,2,21
20d,DGC,cart,model,0.01,2026-01-06,2026-01-07,2026-02-03,2026-02-03,20d_DGC_cart_0.0100_2,0.1181006989870443,0.0777777777777779,63.2,67.9,0.07436708860759489,0.06687274917535402,20,70.0,2,21
20d,DGC,cart,model,0.02,2026-01-06,2026-01-07,2026-02-03,2026-02-03,20d_DGC_cart_0.0200_2,0.1181006989870443,0.0777777777777779,63.2,67.9,0.07436708860759489,0.06687274917535402,20,70.0,2,21
20d,DGC,lightgbm,model,0.0,2026-01-05,2026-01-06,2026-02-02,2026-02-02,20d_DGC_lightgbm_0.0000_1,0.0503120463717659,0.0274809160305342,65.2,67.3,0.03220858895705514,0.025008329741609048,20,70.0,1,20
20d,DGC,lightgbm,model,0.0,2026-03-12,2026-03-13,2026-04-09,2026-04-09,20d_DGC_lightgbm_0.0000_44,0.0216700004926431,-0.3436341161928307,80.4,53.1,-0.3395522388059702,-0.3441592486000491,20,70.0,44,63
20d,DGC,lightgbm,model,0.005,2026-01-05,2026-01-06,2026-02-02,2026-02-02,20d_DGC_lightgbm_0.0050_1,0.0503120463717659,0.0274809160305342,65.2,67.3,0.03220858895705514,0.025008329741609048,20,70.0,1,20
20d,DGC,lightgbm,model,0.005,2026-03-12,2026-03-13,2026-04-09,2026-04-09,20d_DGC_lightgbm_0.0050_44,0.0216700004926431,-0.3436341161928307,80.4,53.1,-0.3395522388059702,-0.3441592486000491,20,70.0,44,63
20d,DGC,lightgbm,model,0.01,2026-01-05,2026-01-06,2026-02-02,2026-02-02,20d_DGC_lightgbm_0.0100_1,0.0503120463717659,0.0274809160305342,65.2,67.3,0.03220858895705514,0.025008329741609048,20,70.0,1,20
20d,DGC,lightgbm,model,0.01,2026-03-12,2026-03-13,2026-04-09,2026-04-09,20d_DGC_lightgbm_0.0100_44,0.0216700004926431,-0.3436341161928307,80.4,53.1,-0.3395522388059702,-0.3441592486000491,20,70.0,44,63
20d,DGC,lightgbm,model,0.02,2026-01-05,2026-01-06,2026-02-02,2026-02-02,20d_DGC_lightgbm_0.0200_1,0.0503120463717659,0.0274809160305342,65.2,67.3,0.03220858895705514,0.025008329741609048,20,70.0,1,20
20d,DGC,lightgbm,model,0.02,2026-03-12,2026-03-13,2026-04-09,2026-04-09,20d_DGC_lightgbm_0.0200_44,0.0216700004926431,-0.3436341161928307,80.4,53.1,-0.3395522388059702,-0.3441592486000491,20,70.0,44,63
