horizon,ticker,model_name,strategy_type,threshold,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,number_of_trades,average_trade_return,exposure_ratio,turnover,candidate_signals,buy_signals,skipped_overlap_signals,positive_net_return_after_costs,beats_buy_and_hold,beats_naive_flat_strategy
20d,ACB,buy_and_hold,benchmark,,-0.013181988041853665,-0.05014447008958112,-0.02682261058072781,-0.03984518814641891,-0.14901960784313772,0.0,0.0,1,-0.013181988041853554,1.0,2.0,1,1,0,False,False,False
20d,ACB,momentum_continuation,benchmark,0.0,-0.041638898326738616,-0.15201134050051557,-0.7719418966813627,-1.1650664490235767,-0.11631311525798482,0.5,0.2281988842516876,2,-0.02049753794895781,0.6153846153846154,4.0,135,51,49,False,False,False
20d,ACB,momentum_continuation,benchmark,0.005,-0.041638898326738616,-0.15201134050051557,-0.7719418966813627,-1.1650664490235767,-0.11631311525798482,0.5,0.2281988842516876,2,-0.02049753794895781,0.6153846153846154,4.0,135,48,46,False,False,False
20d,ACB,momentum_continuation,benchmark,0.01,-0.041638898326738616,-0.15201134050051557,-0.7719418966813627,-1.1650664490235767,-0.11631311525798482,0.5,0.2281988842516876,2,-0.02049753794895781,0.6153846153846154,4.0,135,48,46,False,False,False
20d,ACB,momentum_continuation,benchmark,0.02,-0.11323306171590097,-0.3724310932805601,-3.9767913123485124,-2.860752058802088,-0.11323306171590097,0.0,0.0,1,-0.11323306171590097,0.3076923076923077,2.0,135,36,35,False,False,False
20d,ACB,naive_flat_strategy,benchmark,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,False,False,False
20d,ACB,cart,model,0.0,-0.04880176660645941,-0.1763200884824695,-0.6305230164747642,-0.6944646556435368,-0.15317290039177434,0.0,0.0,2,-0.024691520107879505,0.6153846153846154,4.0,45,17,15,False,False,False
20d,ACB,cart,model,0.005,-0.04880176660645941,-0.1763200884824695,-0.6305230164747642,-0.6944646556435368,-0.15317290039177434,0.0,0.0,2,-0.024691520107879505,0.6153846153846154,4.0,45,17,15,False,False,False
20d,ACB,cart,model,0.01,-0.04880176660645941,-0.1763200884824695,-0.6305230164747642,-0.6944646556435368,-0.15317290039177434,0.0,0.0,2,-0.024691520107879505,0.6153846153846154,4.0,45,17,15,False,False,False
20d,ACB,cart,model,0.02,0.023850006131533208,0.0956844344680361,0.7746026904321998,0.8308054636913909,-0.052631578947368474,1.0,10.0,1,0.023850006131533208,0.3076923076923077,2.0,45,1,0,True,False,True
20d,ACB,lightgbm,model,0.0,-0.02194804111211912,-0.08244113967093158,-0.20651656053078712,-0.22484951673508427,-0.1477638278540755,0.5,0.20737646014683206,2,-0.010895648420259918,0.6153846153846154,4.0,45,7,5,False,False,False
20d,ACB,lightgbm,model,0.005,0.023850006131533208,0.0956844344680361,0.7746026904321998,0.8308054636913909,-0.052631578947368474,1.0,10.0,1,0.023850006131533208,0.3076923076923077,2.0,45,4,3,True,False,True
20d,ACB,lightgbm,model,0.01,0.023850006131533208,0.0956844344680361,0.7746026904321998,0.8308054636913909,-0.052631578947368474,1.0,10.0,1,0.023850006131533208,0.3076923076923077,2.0,45,3,2,True,False,True
20d,ACB,lightgbm,model,0.02,0.023850006131533208,0.0956844344680361,0.7746026904321998,0.8308054636913909,-0.052631578947368474,1.0,10.0,1,0.023850006131533208,0.3076923076923077,2.0,45,2,1,True,False,True
20d,ACB,xgboost,model,0.0,-0.09095056820264491,-0.30904952155561194,-1.284965292479753,-1.5929106599023093,-0.16447002571055902,0.3333333333333333,0.20928773913048723,3,-0.03003598832937911,0.9230769230769231,2.0,45,8,5,False,False,False
20d,ACB,xgboost,model,0.005,-0.024131196185646075,-0.09035610519721393,-0.22447897231848465,-0.2556202827618193,-0.14596586124617295,0.0,0.0,2,-0.012112675966315933,0.6153846153846154,4.0,45,6,4,False,False,False
20d,ACB,xgboost,model,0.01,0.004025623990222549,0.015697638104827494,0.17654607380479956,0.24849483383563253,-0.07717504191180657,0.5,1.231757375838822,2,0.002243710873263416,0.6153846153846154,4.0,45,3,1,True,False,True
20d,ACB,xgboost,model,0.02,0.023850006131533208,0.0956844344680361,0.7746026904321998,0.8308054636913909,-0.052631578947368474,1.0,10.0,1,0.023850006131533208,0.3076923076923077,2.0,45,1,0,True,False,True
20d,DGC,buy_and_hold,benchmark,,-0.21831897397011335,-0.6151567508383482,-1.2816183341328078,-2.1868209439347623,-0.39307787391841786,0.0,0.0,1,-0.21831897397011324,1.0,2.0,1,1,0,False,False,False
20d,DGC,momentum_continuation,benchmark,0.0,-0.39026766514281785,-0.8531069291257053,-3.710722772123375,-5.242725412638344,-0.3952021013597036,0.0,0.0,2,-0.2021482780291567,0.6153846153846154,4.0,135,90,88,False,False,False
20d,DGC,momentum_continuation,benchmark,0.005,-0.39026766514281785,-0.8531069291257053,-3.710722772123375,-5.242725412638344,-0.3952021013597036,0.0,0.0,2,-0.2021482780291567,0.6153846153846154,4.0,135,87,85,False,False,False
20d,DGC,momentum_continuation,benchmark,0.01,-0.39026766514281785,-0.8531069291257053,-3.710722772123375,-5.242725412638344,-0.3952021013597036,0.0,0.0,2,-0.2021482780291567,0.6153846153846154,4.0,135,84,82,False,False,False
20d,DGC,momentum_continuation,benchmark,0.02,-0.39026766514281785,-0.8531069291257053,-3.710722772123375,-5.242725412638344,-0.3952021013597036,0.0,0.0,2,-0.2021482780291567,0.6153846153846154,4.0,135,84,82,False,False,False
