ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,36,0.5833333333333334,0.47368421052631576,0.6428571428571429,0.5454545454545454,0.5941558441558441,0.47368421052631576,12,10,5,9
ACB,lightgbm,36,0.4722222222222222,0.41935483870967744,0.9285714285714286,0.5777777777777777,0.5292207792207793,0.41935483870967744,4,18,1,13
ACB,xgboost,36,0.5555555555555556,0.45,0.6428571428571429,0.5294117647058824,0.5064935064935064,0.45,11,11,5,9
DGC,cart,36,0.6944444444444444,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.6481481481481481,0.4166666666666667,20,7,4,5
DGC,lightgbm,36,0.7222222222222222,0.0,0.0,0.0,0.5555555555555556,0.0,26,1,9,0
DGC,xgboost,36,0.25,0.05,0.1111111111111111,0.06896551724137931,0.13991769547325106,0.05,8,19,8,1
HPG,cart,36,0.4722222222222222,0.07692307692307693,0.125,0.09523809523809523,0.3482142857142857,0.07692307692307693,16,12,7,1
HPG,lightgbm,36,0.2777777777777778,0.09090909090909091,0.25,0.13333333333333333,0.11160714285714285,0.09090909090909091,8,20,6,2
HPG,xgboost,36,0.16666666666666666,0.07692307692307693,0.25,0.11764705882352941,0.15625,0.07692307692307693,4,24,6,2
MWG,cart,36,0.19444444444444445,0.0,0.0,0.0,0.12962962962962965,0.0,7,20,9,0
MWG,lightgbm,36,0.05555555555555555,0.06896551724137931,0.2222222222222222,0.10526315789473684,0.09876543209876543,0.06896551724137931,0,27,7,2
MWG,xgboost,36,0.16666666666666666,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.24279835390946503,0.18181818181818182,0,27,3,6
OVERALL,cart,144,0.4861111111111111,0.234375,0.375,0.28846153846153844,0.4519230769230769,0.234375,55,49,25,15
OVERALL,lightgbm,144,0.3819444444444444,0.20481927710843373,0.425,0.2764227642276423,0.3526442307692308,0.20481927710843373,38,66,23,17
OVERALL,xgboost,144,0.2847222222222222,0.18181818181818182,0.45,0.2589928057553957,0.25432692307692306,0.18181818181818182,23,81,22,18
