ticker,exists,rows,first_date,last_date,train_rows,val_rows,eval_rows,usable,error
ACB,True,2651,2015-09-28 00:00:00,2026-05-15 00:00:00,2065,250,336,True,
BCM,True,2026,2018-02-21 07:00:00,2026-05-15 07:00:00,1440,249,336,True,
BID,True,2611,2015-11-26 00:00:00,2026-05-15 00:00:00,2025,250,336,True,
BVH,True,2611,2015-11-26 00:00:00,2026-05-15 00:00:00,2025,250,336,True,
CTG,True,2596,2015-12-17 00:00:00,2026-05-15 00:00:00,2010,250,336,True,
FPT,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
GAS,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
GVR,True,2029,2018-03-21 00:00:00,2026-05-15 00:00:00,1443,250,336,True,
HDB,True,2083,2018-01-05 00:00:00,2026-05-15 00:00:00,1497,250,336,True,
HPG,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
LPB,True,2138,2017-10-05 00:00:00,2026-05-15 00:00:00,1552,250,336,True,
MBB,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
MSN,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
MWG,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
PLX,True,2264,2017-04-21 00:00:00,2026-05-15 00:00:00,1678,250,336,True,
SAB,True,2353,2016-12-06 00:00:00,2026-05-15 00:00:00,1767,250,336,True,
SHB,True,2524,2016-04-04 00:00:00,2026-05-15 00:00:00,1938,250,336,True,
SSB,True,1282,2021-03-24 00:00:00,2026-05-15 00:00:00,696,250,336,True,
SSI,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
STB,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
TCB,True,1985,2018-06-04 00:00:00,2026-05-15 00:00:00,1399,250,336,True,
TPB,True,2014,2018-04-19 00:00:00,2026-05-15 00:00:00,1428,250,336,True,
VCB,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
VHM,True,2626,2015-01-05 00:00:00,2026-05-15 00:00:00,2040,250,336,True,
VIB,True,2322,2017-01-09 07:00:00,2026-05-15 07:00:00,1736,249,336,True,
VIC,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
VJC,True,2301,2017-02-28 00:00:00,2026-05-15 00:00:00,1715,250,336,True,
VNM,True,2835,2015-01-05 00:00:00,2026-05-15 00:00:00,2249,250,336,True,
VPB,True,2180,2017-08-17 00:00:00,2026-05-15 00:00:00,1594,250,336,True,
VRE,True,2126,2017-11-06 00:00:00,2026-05-15 00:00:00,1540,250,336,True,
