horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
3d,bear,cart,0.50-0.55,0,,,
3d,bear,cart,0.55-0.60,0,,,
3d,bear,cart,0.60-0.65,0,,,
3d,bear,cart,0.65+,12,1.0,0.25,-0.75
3d,bear,cart,lt_0.50,12,0.0,0.6666666666666666,0.6666666666666666
3d,bear,lightgbm,0.50-0.55,1,0.5258304709970587,1.0,0.4741695290029413
3d,bear,lightgbm,0.55-0.60,2,0.575709563718469,0.0,-0.575709563718469
3d,bear,lightgbm,0.60-0.65,4,0.6211525754450197,0.75,0.12884742455498033
3d,bear,lightgbm,0.65+,11,0.8445916439701247,0.45454545454545453,-0.3900461894246701
3d,bear,lightgbm,lt_0.50,6,0.363194305842635,0.3333333333333333,-0.029860972509301698
3d,bear,xgboost,0.50-0.55,1,0.5304473042488098,0.0,-0.5304473042488098
3d,bear,xgboost,0.55-0.60,1,0.5830443501472473,0.0,-0.5830443501472473
3d,bear,xgboost,0.60-0.65,3,0.6242600679397583,0.6666666666666666,0.04240659872690833
3d,bear,xgboost,0.65+,12,0.8355579723914465,0.5833333333333334,-0.2522246390581131
3d,bear,xgboost,lt_0.50,7,0.3395142065627234,0.2857142857142857,-0.05379992084843771
3d,bull,cart,0.50-0.55,0,,,
3d,bull,cart,0.55-0.60,0,,,
3d,bull,cart,0.60-0.65,0,,,
3d,bull,cart,0.65+,20,1.0,0.4,-0.6
3d,bull,cart,lt_0.50,20,0.0,0.15,0.15
3d,bull,lightgbm,0.50-0.55,0,,,
3d,bull,lightgbm,0.55-0.60,2,0.5755459351620194,0.0,-0.5755459351620194
3d,bull,lightgbm,0.60-0.65,0,,,
3d,bull,lightgbm,0.65+,12,0.883257423774369,0.25,-0.633257423774369
3d,bull,lightgbm,lt_0.50,26,0.2370119848507537,0.3076923076923077,0.07068032284155401
3d,bull,xgboost,0.50-0.55,2,0.5389236807823181,0.0,-0.5389236807823181
3d,bull,xgboost,0.55-0.60,1,0.555412232875824,0.0,-0.555412232875824
3d,bull,xgboost,0.60-0.65,0,,,
3d,bull,xgboost,0.65+,15,0.8165376504262288,0.26666666666666666,-0.5498709837595621
3d,bull,xgboost,lt_0.50,22,0.24717731773853302,0.3181818181818182,0.07100450044328516
3d,sideway,cart,0.50-0.55,0,,,
3d,sideway,cart,0.55-0.60,0,,,
3d,sideway,cart,0.60-0.65,0,,,
3d,sideway,cart,0.65+,45,1.0,0.5111111111111111,-0.48888888888888893
3d,sideway,cart,lt_0.50,39,0.0,0.5897435897435898,0.5897435897435898
3d,sideway,lightgbm,0.50-0.55,4,0.5248662881895397,0.25,-0.27486628818953973
3d,sideway,lightgbm,0.55-0.60,7,0.5752592900243905,0.2857142857142857,-0.28954500431010477
3d,sideway,lightgbm,0.60-0.65,3,0.6286857883269384,0.6666666666666666,0.037980878339728186
3d,sideway,lightgbm,0.65+,46,0.8275014178392657,0.5434782608695652,-0.2840231569697005
3d,sideway,lightgbm,lt_0.50,24,0.28794361775762994,0.6666666666666666,0.3787230489090367
3d,sideway,xgboost,0.50-0.55,5,0.5240953922271728,0.8,0.2759046077728272
3d,sideway,xgboost,0.55-0.60,5,0.5866891503334045,0.4,-0.1866891503334045
3d,sideway,xgboost,0.60-0.65,3,0.613898237546285,0.3333333333333333,-0.2805649042129517
3d,sideway,xgboost,0.65+,42,0.7900059691497258,0.5476190476190477,-0.2423869215306781
3d,sideway,xgboost,lt_0.50,29,0.31075911994638117,0.5517241379310345,0.2409650179846533
