model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,100,0.0,0.21,0.21
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,76,1.0,0.42105263157894735,-0.5789473684210527
lightgbm,lt_0.50,0.0,0.5,109,0.039211244088496675,0.22935779816513763,0.19014655407664094
lightgbm,0.50-0.55,0.5,0.55,1,0.5250044956155197,1.0,0.47499550438448035
lightgbm,0.55-0.60,0.55,0.6,2,0.5578547568334045,1.0,0.44214524316659554
lightgbm,0.60-0.65,0.6,0.65,5,0.6181785971071697,0.0,-0.6181785971071697
lightgbm,0.65+,0.65,1.0,59,0.9069809411730608,0.423728813559322,-0.4832521276137388
xgboost,lt_0.50,0.0,0.5,106,0.11616628420679774,0.22641509433962265,0.1102488101328249
xgboost,0.50-0.55,0.5,0.55,4,0.5315373092889786,0.5,-0.03153730928897858
xgboost,0.55-0.60,0.55,0.6,3,0.5760523279507955,0.0,-0.5760523279507955
xgboost,0.60-0.65,0.6,0.65,3,0.6333607832590739,0.3333333333333333,-0.30002744992574054
xgboost,0.65+,0.65,1.0,60,0.8101115037997564,0.43333333333333335,-0.37677817046642303
