horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
20d,bull,cart,0.50-0.55,0,,,
20d,bull,cart,0.55-0.60,0,,,
20d,bull,cart,0.60-0.65,0,,,
20d,bull,cart,0.65+,26,1.0,0.8846153846153846,-0.11538461538461542
20d,bull,cart,lt_0.50,22,0.0,0.8636363636363636,0.8636363636363636
20d,bull,lightgbm,0.50-0.55,0,,,
20d,bull,lightgbm,0.55-0.60,0,,,
20d,bull,lightgbm,0.60-0.65,0,,,
20d,bull,lightgbm,0.65+,13,0.9603290661740809,0.9230769230769231,-0.03725214309715774
20d,bull,lightgbm,lt_0.50,35,0.04272452804137104,0.8571428571428571,0.814418329101486
20d,bull,xgboost,0.50-0.55,1,0.51674485206604,1.0,0.48325514793395996
20d,bull,xgboost,0.55-0.60,0,,,
20d,bull,xgboost,0.60-0.65,0,,,
20d,bull,xgboost,0.65+,12,0.9251753091812134,0.9166666666666666,-0.00850864251454675
20d,bull,xgboost,lt_0.50,35,0.11611701920628542,0.8571428571428571,0.7410258379365717
20d,sideway,cart,0.50-0.55,0,,,
20d,sideway,cart,0.55-0.60,0,,,
20d,sideway,cart,0.60-0.65,0,,,
20d,sideway,cart,0.65+,44,1.0,0.7272727272727273,-0.2727272727272727
20d,sideway,cart,lt_0.50,56,0.0,0.6964285714285714,0.6964285714285714
20d,sideway,lightgbm,0.50-0.55,0,,,
20d,sideway,lightgbm,0.55-0.60,1,0.5852346313931793,1.0,0.4147653686068207
20d,sideway,lightgbm,0.60-0.65,0,,,
20d,sideway,lightgbm,0.65+,26,0.9661790279837397,0.5769230769230769,-0.3892559510606628
20d,sideway,lightgbm,lt_0.50,73,0.020151054632143707,0.7534246575342466,0.7332736029021029
20d,sideway,xgboost,0.50-0.55,0,,,
20d,sideway,xgboost,0.55-0.60,0,,,
20d,sideway,xgboost,0.60-0.65,0,,,
20d,sideway,xgboost,0.65+,25,0.8755370259284974,0.56,-0.3155370259284973
20d,sideway,xgboost,lt_0.50,75,0.07800633879378434,0.76,0.6819936612062156
