horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
20d,bull,cart,combined_rank_based,rank_based_joint_score,1,,,12,12,0.031142527178321305,0.75,0.75,0.21428571428571427,0.8571428571428571
20d,bull,cart,combined_rank_based,rank_based_joint_score,3,,,12,36,0.05538235523646129,0.8888888888888888,0.8888888888888888,0.7619047619047619,1.0158730158730158
20d,bull,cart,combined_rank_based,rank_based_joint_score,5,,,12,48,0.05495367229189074,0.875,0.875,1.0,1.0
20d,bull,cart,combined_weighted_linear,combined_score,1,,,12,12,0.031142527178321305,0.75,0.75,0.21428571428571427,0.8571428571428571
20d,bull,cart,combined_weighted_linear,combined_score,3,,,12,36,0.05538235523646129,0.8888888888888888,0.8888888888888888,0.7619047619047619,1.0158730158730158
20d,bull,cart,combined_weighted_linear,combined_score,5,,,12,48,0.05495367229189074,0.875,0.875,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.5,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.55,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.6,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.65,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.5,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.55,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.6,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.65,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.5,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.55,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.6,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.65,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.5,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.55,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.6,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.65,12,12,0.031142527178321305,0.75,0.75,0.5625,0.890625
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.5,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.55,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.6,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.65,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.5,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.55,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.6,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.65,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.5,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.55,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.6,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.65,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.5,12,19,0.03968172446342446,0.8421052631578947,0.8421052631578947,1.0,1.0
