ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,36,0.3888888888888889,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.3571428571428571,0.21428571428571427,11,11,11,3
ACB,lightgbm,36,0.6111111111111112,0.0,0.0,0.0,0.4805194805194805,0.0,22,0,14,0
ACB,xgboost,36,0.6111111111111112,0.0,0.0,0.0,0.36688311688311687,0.0,22,0,14,0
DGC,cart,36,0.3611111111111111,0.16666666666666666,0.5714285714285714,0.25806451612903225,0.4408866995073891,0.16666666666666666,9,20,3,4
DGC,lightgbm,36,0.7222222222222222,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7339901477832512,0.2857142857142857,24,5,5,2
DGC,xgboost,36,0.6111111111111112,0.29411764705882354,0.7142857142857143,0.4166666666666667,0.6748768472906405,0.29411764705882354,17,12,2,5
HPG,cart,36,0.5833333333333334,0.2857142857142857,0.16666666666666666,0.21052631578947367,0.4791666666666667,0.2857142857142857,19,5,10,2
HPG,lightgbm,36,0.4444444444444444,0.25,0.3333333333333333,0.2857142857142857,0.3263888888888889,0.25,12,12,8,4
HPG,xgboost,36,0.4166666666666667,0.2,0.25,0.2222222222222222,0.29166666666666663,0.2,12,12,9,3
MWG,cart,36,0.4444444444444444,0.25,0.75,0.375,0.5535714285714286,0.25,10,18,2,6
MWG,lightgbm,36,0.5555555555555556,0.3,0.75,0.42857142857142855,0.5758928571428572,0.3,14,14,2,6
MWG,xgboost,36,0.5833333333333334,0.26666666666666666,0.5,0.34782608695652173,0.6026785714285714,0.26666666666666666,17,11,4,4
OVERALL,cart,144,0.4444444444444444,0.21739130434782608,0.36585365853658536,0.2727272727272727,0.42079090693819554,0.21739130434782608,49,54,26,15
OVERALL,lightgbm,144,0.5833333333333334,0.27906976744186046,0.2926829268292683,0.2857142857142857,0.46199384323940323,0.27906976744186046,72,31,29,12
OVERALL,xgboost,144,0.5555555555555556,0.2553191489361702,0.2926829268292683,0.2727272727272727,0.4077669902912622,0.2553191489361702,68,35,29,12
