ticker,in_frozen_universe,in_listing_metadata,first_trading_date,source_note,status,active_universe_changed
ACB,true,true,2006-11-21,user_provided,confirmed_listing_date,false
BCM,true,true,,needs_verification,needs_verification,false
BID,true,true,2014-01-24,user_provided,confirmed_listing_date,false
BSR,false,true,2018-03-01,user_provided,extra_user_provided_symbol,false
BVH,true,true,,needs_verification,needs_verification,false
CTG,true,true,2009-07-16,user_provided,confirmed_listing_date,false
DGC,false,true,,needs_verification,extra_user_provided_symbol,false
FPT,true,true,2006-12-13,user_provided,confirmed_listing_date,false
GAS,true,true,2012-05-21,user_provided,confirmed_listing_date,false
GVR,true,true,2018-03-21,user_provided,confirmed_listing_date,false
HDB,true,true,2018-01-05,user_provided,confirmed_listing_date,false
HPG,true,true,2007-11-15,user_provided,confirmed_listing_date,false
LPB,true,true,2017-10-05,user_provided,confirmed_listing_date,false
MBB,true,true,2011-11-01,user_provided,confirmed_listing_date,false
MSN,true,true,2009-11-05,user_provided,confirmed_listing_date,false
MWG,true,true,2014-07-14,user_provided,confirmed_listing_date,false
PLX,true,true,2017-04-21,user_provided,confirmed_listing_date,false
SAB,true,true,2016-12-06,user_provided,confirmed_listing_date,false
SHB,true,true,2009-04-20,user_provided,confirmed_listing_date,false
SSB,true,true,2021-03-24,user_provided,confirmed_listing_date,false
SSI,true,true,2006-12-15,user_provided,confirmed_listing_date,false
STB,true,true,2006-07-12,user_provided,confirmed_listing_date,false
TCB,true,true,,needs_verification,needs_verification,false
TPB,true,true,,needs_verification,needs_verification,false
VCB,true,true,,needs_verification,needs_verification,false
VHM,true,true,,needs_verification,needs_verification,false
VIB,true,true,,needs_verification,needs_verification,false
VIC,true,true,,needs_verification,needs_verification,false
VJC,true,true,,needs_verification,needs_verification,false
VNM,true,true,,needs_verification,needs_verification,false
VPB,true,true,,needs_verification,needs_verification,false
VPL,false,true,,needs_verification,extra_user_provided_symbol,false
VRE,true,true,,needs_verification,needs_verification,false
