experiment_id,policy_id,candidate_type,basket_date,horizon,top_n,candidate_count,average_realized_return,median_realized_return,hit_ratio,return_volatility_proxy,max_drawdown,var_95,cvar_95,worst_period_return,missing_outcome_rate,diagnostic_only,basket_count
EXP-RK-002,candidate_policy_forecast_only,forecast_only,ALL,1,1,120,-0.0007247382211796,-0.0011937048000105,0.425,-0.0508878736432739,-0.1466244616433266,-0.0174005941445023,-0.0388861443908151,-0.0550605666232856,0.0,True,120
EXP-RK-002,candidate_policy_forecast_only,forecast_only,ALL,1,3,284,-0.0001996538833849,-0.0003776207198528,0.5,-0.0165111685014708,-0.0970679370585657,-0.0135516616353762,-0.0327625081285654,-0.0515285219730254,0.0,True,120
EXP-RK-002,candidate_policy_forecast_only,forecast_only,ALL,1,5,284,-0.0001996538833849,-0.0003776207198528,0.5,-0.0165111685014708,-0.0970679370585657,-0.0135516616353762,-0.0327625081285654,-0.0515285219730254,0.0,True,120
EXP-RK-002,candidate_policy_forecast_only,forecast_only,ALL,3,1,112,0.0049634108964371,0.0053053248656569,0.5892857142857143,0.2024637110447544,-0.2091287766468104,-0.0287949519119391,-0.049892850839979,-0.0964005360903694,0.0,True,112
EXP-RK-002,candidate_policy_forecast_only,forecast_only,ALL,3,3,262,0.0014482649262396,0.0021987174596903,0.5357142857142857,0.0696683079299817,-0.2003999607855074,-0.0323436623411663,-0.0511883468692096,-0.0713586271100281,0.0,True,112
EXP-RK-002,candidate_policy_forecast_only,forecast_only,ALL,3,5,268,0.0014409071949368,0.0021987174596903,0.5357142857142857,0.0700913930049204,-0.2003999607855074,-0.0285963783276741,-0.0508249868974028,-0.0713586271100281,0.0,True,112
EXP-RK-002,candidate_policy_forecast_only,forecast_only,ALL,5,1,113,0.00862069894258,0.0071225071225071,0.6637168141592921,0.2773977504412089,-0.295401510508255,-0.0484119873463852,-0.0646174046845437,-0.1044592030360531,0.0,True,113
EXP-RK-002,candidate_policy_forecast_only,forecast_only,ALL,5,3,315,0.0042074774448724,0.006729079295949,0.5663716814159292,0.1672105480849101,-0.2378208886355475,-0.034658297818364,-0.0609497823587701,-0.0925241496336503,0.0,True,113
EXP-RK-002,candidate_policy_forecast_only,forecast_only,ALL,5,5,338,0.0045809878505931,0.0069891553578838,0.5752212389380531,0.1810839838143172,-0.2380231656946009,-0.0388688721692011,-0.0603905388265543,-0.0925241496336503,0.0,True,113
EXP-RK-002,candidate_policy_risk_aware,risk_aware,ALL,1,1,120,-0.0011528064930302,-0.0017225368123862,0.4,-0.0832651406650748,-0.221674968632984,-0.0184340131690876,-0.0330813767994717,-0.0479964773227652,0.0,True,120
EXP-RK-002,candidate_policy_risk_aware,risk_aware,ALL,1,3,284,-0.0001996538833849,-0.0003776207198528,0.5,-0.0165111685014708,-0.0970679370585662,-0.0135516616353762,-0.0327625081285654,-0.0515285219730254,0.0,True,120
EXP-RK-002,candidate_policy_risk_aware,risk_aware,ALL,1,5,284,-0.0001996538833849,-0.0003776207198528,0.5,-0.0165111685014708,-0.0970679370585662,-0.0135516616353762,-0.0327625081285654,-0.0515285219730254,0.0,True,120
EXP-RK-002,candidate_policy_risk_aware,risk_aware,ALL,3,1,112,0.0006583087375213,0.0008833922261484,0.5,0.0285561343780321,-0.2856210342367573,-0.0367575881808104,-0.0515097458250003,-0.0619544592030361,0.0,True,112
EXP-RK-002,candidate_policy_risk_aware,risk_aware,ALL,3,3,262,0.0011140513654093,0.0014798764410424,0.5267857142857143,0.0551854163039771,-0.2003999607855074,-0.0285963783276741,-0.0508249868974028,-0.0713586271100281,0.0,True,112
EXP-RK-002,candidate_policy_risk_aware,risk_aware,ALL,3,5,268,0.0014409071949368,0.0021987174596903,0.5357142857142857,0.0700913930049204,-0.2003999607855074,-0.0285963783276741,-0.0508249868974028,-0.0713586271100281,0.0,True,112
EXP-RK-002,candidate_policy_risk_aware,risk_aware,ALL,5,1,113,0.0053884263634947,0.0038022813688214,0.5575221238938053,0.1732298521024511,-0.2458496761493045,-0.0425997897283679,-0.0589257242319957,-0.0805890962312476,0.0,True,113
EXP-RK-002,candidate_policy_risk_aware,risk_aware,ALL,5,3,315,0.0052623290218489,0.0069891553578838,0.5752212389380531,0.2075733780824754,-0.2243824720454179,-0.034658297818364,-0.0582878095046424,-0.0925241496336503,0.0,True,113
EXP-RK-002,candidate_policy_risk_aware,risk_aware,ALL,5,5,338,0.0045809878505931,0.0069891553578838,0.5752212389380531,0.1810839838143173,-0.2380231656946009,-0.0388688721692011,-0.0603905388265543,-0.0925241496336503,0.0,True,113
