source,candidate_type,horizon,top_n,average_realized_volatility,average_max_drawdown,average_var_95,average_cvar_95,average_realized_return,return_volatility_proxy,hit_ratio,diagnostic_only
candidate_comparison,forecast_only,1,,0.013344171716641543,-0.06294781097181719,-0.020265158434859192,-0.027026415352442486,7.242271133531147e-06,,0.45422535211267606,True
candidate_comparison,forecast_only,3,,0.01353018977482982,-0.06920383045971885,-0.021595517127420857,-0.028368439859205043,0.0023490980321633076,,0.5522388059701493,True
candidate_comparison,forecast_only,5,,0.0134003525114016,-0.06721917054374857,-0.020845062288499774,-0.027286791329097636,0.0052500622567284725,,0.5739644970414202,True
candidate_comparison,risk_aware,1,,0.013344171716641541,-0.06294781097181719,-0.020265158434859192,-0.027026415352442486,7.2422711335312196e-06,,0.45422535211267606,True
candidate_comparison,risk_aware,3,,0.01353018977482982,-0.06920383045971885,-0.021595517127420857,-0.028368439859205043,0.002349098032163308,,0.5522388059701493,True
candidate_comparison,risk_aware,5,,0.0134003525114016,-0.06721917054374857,-0.020845062288499774,-0.027286791329097636,0.0052500622567284725,,0.5739644970414202,True
basket_outcome,forecast_only,1,1,,-0.1466244616433266,-0.0174005941445023,-0.0388861443908151,-0.0007247382211796,-0.0508878736432739,0.425,True
basket_outcome,forecast_only,1,3,,-0.0970679370585657,-0.0135516616353762,-0.0327625081285654,-0.0001996538833849,-0.0165111685014708,0.5,True
basket_outcome,forecast_only,1,5,,-0.0970679370585657,-0.0135516616353762,-0.0327625081285654,-0.0001996538833849,-0.0165111685014708,0.5,True
basket_outcome,forecast_only,3,1,,-0.2091287766468104,-0.0287949519119391,-0.049892850839979,0.0049634108964371,0.2024637110447544,0.5892857142857143,True
basket_outcome,forecast_only,3,3,,-0.2003999607855074,-0.0323436623411663,-0.0511883468692096,0.0014482649262396,0.0696683079299817,0.5357142857142857,True
basket_outcome,forecast_only,3,5,,-0.2003999607855074,-0.0285963783276741,-0.0508249868974028,0.0014409071949368,0.0700913930049204,0.5357142857142857,True
basket_outcome,forecast_only,5,1,,-0.295401510508255,-0.0484119873463852,-0.0646174046845437,0.00862069894258,0.2773977504412089,0.6637168141592921,True
basket_outcome,forecast_only,5,3,,-0.2378208886355475,-0.034658297818364,-0.0609497823587701,0.0042074774448724,0.1672105480849101,0.5663716814159292,True
basket_outcome,forecast_only,5,5,,-0.2380231656946009,-0.0388688721692011,-0.0603905388265543,0.0045809878505931,0.1810839838143172,0.5752212389380531,True
basket_outcome,risk_aware,1,1,,-0.221674968632984,-0.0184340131690876,-0.0330813767994717,-0.0011528064930302,-0.0832651406650748,0.4,True
basket_outcome,risk_aware,1,3,,-0.0970679370585662,-0.0135516616353762,-0.0327625081285654,-0.0001996538833849,-0.0165111685014708,0.5,True
basket_outcome,risk_aware,1,5,,-0.0970679370585662,-0.0135516616353762,-0.0327625081285654,-0.0001996538833849,-0.0165111685014708,0.5,True
basket_outcome,risk_aware,3,1,,-0.2856210342367573,-0.0367575881808104,-0.0515097458250003,0.0006583087375213,0.0285561343780321,0.5,True
basket_outcome,risk_aware,3,3,,-0.2003999607855074,-0.0285963783276741,-0.0508249868974028,0.0011140513654093,0.0551854163039771,0.5267857142857143,True
basket_outcome,risk_aware,3,5,,-0.2003999607855074,-0.0285963783276741,-0.0508249868974028,0.0014409071949368,0.0700913930049204,0.5357142857142857,True
basket_outcome,risk_aware,5,1,,-0.2458496761493045,-0.0425997897283679,-0.0589257242319957,0.0053884263634947,0.1732298521024511,0.5575221238938053,True
basket_outcome,risk_aware,5,3,,-0.2243824720454179,-0.034658297818364,-0.0582878095046424,0.0052623290218489,0.2075733780824754,0.5752212389380531,True
basket_outcome,risk_aware,5,5,,-0.2380231656946009,-0.0388688721692011,-0.0603905388265543,0.0045809878505931,0.1810839838143173,0.5752212389380531,True
