ticker,index,frequency,first_available_hourly_timestamp,last_available_hourly_timestamp,hourly_rows,benchmark_usable,missing_reason
ACB,VN30,hourly,2024-01-02 10:00:00,2026-05-11 14:00:00,1296,False,training_start_after_requested_start:2024-01-02 10:00:00>2005-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
BID,VN30,hourly,2024-01-02 10:00:00,2026-05-11 14:00:00,2648,False,training_start_after_requested_start:2024-01-02 10:00:00>2005-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
CTG,VN30,hourly,2025-11-18 09:00:00,2026-05-11 14:00:00,575,False,training_start_after_requested_start:2025-11-18 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-18 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
DGC,VN30,hourly,2025-11-25 09:00:00,2026-05-11 14:00:00,550,False,training_start_after_requested_start:2025-11-25 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-25 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
FPT,VN30,hourly,2025-11-05 09:00:00,2026-05-11 14:00:00,620,False,training_start_after_requested_start:2025-11-05 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-05 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
GAS,VN30,hourly,2025-10-27 09:00:00,2026-05-11 14:00:00,655,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
GVR,VN30,hourly,2025-10-27 09:00:00,2026-05-11 14:00:00,655,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
HDB,VN30,hourly,2025-11-19 09:00:00,2026-05-11 14:00:00,570,False,training_start_after_requested_start:2025-11-19 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-19 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
HPG,VN30,hourly,2026-02-11 14:00:00,2026-05-11 14:00:00,201,False,training_start_after_requested_start:2026-02-11 14:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2026-02-11 14:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
LPB,VN30,hourly,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
MBB,VN30,hourly,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
MSN,VN30,hourly,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
MWG,VN30,hourly,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
