fold_id,horizon,regime,model_name,observations_regression,mae,rmse,directional_accuracy,average_actual_return_x,average_predicted_return,observations_classification,accuracy,precision,recall,f1,roc_auc,positive_class_precision,realized_profit_rate,ranking_method,profit_rate,average_actual_return_y,rank_regression_rmse,rank_classification_f1,rank_combined_profit_rate,overall_rank
fold_002,20d,bull,xgboost,136,0.10311952924982236,0.12087030892791623,0.6691176470588235,0.06735135167424955,0.03472273051053943,136,0.7205882352941176,0.8539325842696629,0.7524752475247525,0.8,0.6760961810466761,0.8539325842696629,0.7426470588235294,combined_weighted_linear_gated,0.8888888888888888,0.10128431554178438,8.0,1.0,1.0,3.3333333333333335
fold_002,20d,bull,lightgbm,136,0.09322968354227457,0.1114749361501564,0.6764705882352942,0.06735135167424955,0.03719964172259616,136,0.7279411764705882,0.8902439024390244,0.7227722772277227,0.7978142076502732,0.6435643564356436,0.8902439024390244,0.7426470588235294,combined_weighted_linear_gated,0.8831168831168831,0.10047298215449159,7.0,2.0,2.0,3.6666666666666665
fold_002,3d,bull,lightgbm,120,0.028929265534090403,0.038215897452150746,0.6166666666666667,-5.0989712781857506e-05,-0.00851971974340032,120,0.625,0.4482758620689655,0.30952380952380953,0.36619718309859156,0.5683760683760684,0.4482758620689655,0.35,combined_weighted_linear_gated,0.5238095238095238,0.006953023010160938,2.0,6.0,4.0,4.0
fold_002,5d,bull,xgboost,128,0.03291929552636245,0.04324375392816301,0.546875,0.0017897923871672376,0.006063799603452933,128,0.5703125,0.5,0.4,0.4444444444444444,0.5920298879202989,0.5,0.4296875,combined_weighted_linear_gated,0.5,0.012556128306299569,3.0,4.0,5.0,4.0
fold_002,20d,bull,cart,136,0.1112187379631942,0.13172313303819175,0.5073529411764706,0.06735135167424955,0.012073182122746946,136,0.5588235294117647,0.7411764705882353,0.6237623762376238,0.6774193548387096,0.49759547383309766,0.7411764705882353,0.7426470588235294,combined_weighted_linear_gated,0.7804878048780488,0.09270784187804171,9.0,3.0,3.0,5.0
fold_002,3d,bull,xgboost,120,0.026657774004102137,0.03575372768886139,0.575,-5.0989712781857506e-05,-0.006575501071559587,120,0.6166666666666667,0.43333333333333335,0.30952380952380953,0.3611111111111111,0.5616605616605617,0.43333333333333335,0.35,combined_weighted_linear_gated,0.4444444444444444,0.007919648154352,1.0,8.0,6.0,5.0
fold_002,5d,bull,lightgbm,128,0.0368230835380182,0.04769893977713525,0.53125,0.0017897923871672376,-0.006297081905100754,128,0.5625,0.48484848484848486,0.2909090909090909,0.36363636363636365,0.5950186799501868,0.48484848484848486,0.4296875,combined_weighted_linear_gated,0.5,0.01679247617173743,4.0,7.0,5.0,5.333333333333333
fold_002,3d,bull,cart,120,0.07041947357405988,0.0986133602617517,0.5,-5.0989712781857506e-05,-0.04290501311861043,120,0.5416666666666666,0.37254901960784315,0.4523809523809524,0.40860215053763443,0.521062271062271,0.37254901960784315,0.35,combined_weighted_linear_gated,0.38095238095238093,0.003702370197931429,6.0,5.0,8.0,6.333333333333333
fold_002,5d,bull,cart,128,0.06431231916444931,0.09033420727157909,0.4609375,0.0017897923871672376,-0.01758913091647989,128,0.453125,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.44209215442092165,0.36363636363636365,0.4296875,combined_weighted_linear_gated,0.42105263157894735,0.0025903593811554943,5.0,7.0,7.0,6.333333333333333
fold_002,3d,sideway,xgboost,48,0.03506191416807143,0.05017482880140897,0.4791666666666667,0.026163346382660418,0.004767195393924317,48,0.625,0.68,0.6296296296296297,0.6538461538461539,0.6278659611992945,0.68,0.5625,combined_weighted_linear_gated,0.75,0.06661756736858178,1.0,4.0,3.0,2.6666666666666665
