candidate_id,source,model,feature_set,horizon,decision_threshold,ticker,n_rows,n_correct,accuracy,positive_rate,predicted_positive_rate,scope,n_errors,majority_baseline_accuracy,model_minus_majority_pp,candidate_overall_accuracy,candidate_total_errors,delta_to_candidate_accuracy_pp,error_share,expected_errors_at_overall_accuracy,excess_errors_vs_overall
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,VIC,296,106,0.3581081081081081,0.902027027027027,0.26013513513513514,ticker,190,0.902027027027027,-54.39189189189189,0.5757882882882883,3767,-21.76801801801802,0.0504380143350146,125.56666666666666,64.43333333333334
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,VJC,296,111,0.375,0.5945945945945946,0.4222972972972973,ticker,185,0.5945945945945946,-21.959459459459463,0.5757882882882883,3767,-20.078828828828833,0.04911069816830369,125.56666666666666,59.43333333333334
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,VIB,296,119,0.40202702702702703,0.3885135135135135,0.8986486486486487,ticker,177,0.6114864864864865,-20.945945945945947,0.5757882882882883,3767,-17.376126126126128,0.046986992301566236,125.56666666666666,51.43333333333334
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ACB,296,122,0.41216216216216217,0.44932432432432434,0.7601351351351351,ticker,174,0.5506756756756757,-13.851351351351349,0.5757882882882883,3767,-16.362612612612615,0.04619060260153968,125.56666666666666,48.43333333333334
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,BVH,296,122,0.41216216216216217,0.6385135135135135,0.375,ticker,174,0.6385135135135135,-22.63513513513513,0.5757882882882883,3767,-16.362612612612615,0.04619060260153968,125.56666666666666,48.43333333333334
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,VPB,296,139,0.46959459459459457,0.49324324324324326,0.4560810810810811,ticker,157,0.5067567567567568,-3.716216216216223,0.5757882882882883,3767,-10.619369369369375,0.04167772763472259,125.56666666666666,31.433333333333337
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,GAS,296,140,0.47297297297297297,0.5337837837837838,0.6351351351351351,ticker,156,0.5337837837837838,-6.08108108108108,0.5757882882882883,3767,-10.281531531531535,0.04141226440138041,125.56666666666666,30.433333333333337
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,SSB,296,145,0.48986486486486486,0.34121621621621623,0.7094594594594594,ticker,151,0.6587837837837838,-16.89189189189189,0.5757882882882883,3767,-8.592342342342347,0.0400849482346695,125.56666666666666,25.433333333333337
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,CTG,296,159,0.5371621621621622,0.5878378378378378,0.7668918918918919,ticker,137,0.5878378378378378,-5.067567567567566,0.5757882882882883,3767,-3.862612612612615,0.03636846296787895,125.56666666666666,11.433333333333337
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,MSN,296,162,0.5472972972972973,0.5168918918918919,0.543918918918919,ticker,134,0.5168918918918919,3.0405405405405372,0.5757882882882883,3767,-2.849099099099106,0.0355720732678524,125.56666666666666,8.433333333333337
