candidate_id,source,model,feature_set,horizon,decision_threshold,scope,group,n_rows,positive_rate,negative_rate,predicted_positive_rate,model_accuracy,majority_baseline_accuracy,model_minus_majority_pp,true_positive,true_negative,false_positive,false_negative
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,overall,all,8880,0.5625,0.4375,0.6056306306306306,0.5757882882882883,0.5625,1.328828828828832,3303,1810,2075,1692
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,ACB,296,0.44932432432432434,0.5506756756756757,0.7601351351351351,0.41216216216216217,0.5506756756756757,-13.851351351351349,92,30,133,41
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,BCM,296,0.4189189189189189,0.5810810810810811,0.34121621621621623,0.6385135135135135,0.5810810810810811,5.743243243243235,59,130,42,65
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,BID,296,0.5236486486486487,0.4763513513513513,0.5608108108108109,0.5506756756756757,0.5236486486486487,2.7027027027026973,94,69,72,61
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,BVH,296,0.6385135135135135,0.3614864864864865,0.375,0.41216216216216217,0.6385135135135135,-22.63513513513513,63,59,48,126
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,CTG,296,0.5878378378378378,0.41216216216216217,0.7668918918918919,0.5371621621621622,0.5878378378378378,-5.067567567567566,132,27,95,42
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,FPT,296,0.34459459459459457,0.6554054054054055,0.34459459459459457,0.7364864864864865,0.6554054054054055,8.108108108108103,63,155,39,39
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,GAS,296,0.5337837837837838,0.46621621621621623,0.6351351351351351,0.47297297297297297,0.5337837837837838,-6.08108108108108,95,45,93,63
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,GVR,296,0.4864864864864865,0.5135135135135135,0.5777027027027027,0.7533783783783784,0.5135135135135135,23.98648648648649,121,102,50,23
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,HDB,296,0.6182432432432432,0.3817567567567568,0.6756756756756757,0.7128378378378378,0.6182432432432432,9.459459459459463,149,62,51,34
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,HPG,296,0.597972972972973,0.402027027027027,0.8277027027027027,0.6351351351351351,0.597972972972973,3.716216216216206,157,31,88,20
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,LPB,296,0.625,0.375,0.6925675675675675,0.6013513513513513,0.625,-2.3648648648648685,136,42,69,49
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,MBB,296,0.6418918918918919,0.3581081081081081,0.8851351351351351,0.6148648648648649,0.6418918918918919,-2.7027027027026973,169,13,93,21
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,MSN,296,0.5168918918918919,0.4831081081081081,0.543918918918919,0.5472972972972973,0.5168918918918919,3.0405405405405372,90,72,71,63
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,MWG,296,0.7533783783783784,0.2466216216216216,0.4189189189189189,0.5641891891891891,0.7533783783783784,-18.918918918918926,109,58,15,114
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,PLX,296,0.46621621621621623,0.5337837837837838,0.5371621621621622,0.7398648648648649,0.5337837837837838,20.608108108108112,110,109,49,28
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,SAB,296,0.4527027027027027,0.5472972972972974,0.4797297297297297,0.6418918918918919,0.5472972972972974,9.459459459459453,85,105,57,49
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,SHB,296,0.5878378378378378,0.41216216216216217,0.9121621621621622,0.6148648648648649,0.5878378378378378,2.7027027027027084,165,17,105,9
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,SSB,296,0.34121621621621623,0.6587837837837838,0.7094594594594594,0.48986486486486486,0.6587837837837838,-16.89189189189189,80,65,130,21
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,SSI,296,0.5202702702702703,0.4797297297297297,0.6925675675675675,0.625,0.5202702702702703,10.472972972972972,124,61,81,30
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,ticker,STB,296,0.7702702702702703,0.22972972972972971,0.6858108108108109,0.6114864864864865,0.7702702702702703,-15.878378378378377,158,23,45,70
