candidate_id,source,model,feature_set,horizon,decision_threshold,month_id,n_rows,n_correct,accuracy,positive_rate,predicted_positive_rate,scope,n_errors,majority_baseline_accuracy,model_minus_majority_pp,quarter_id,candidate_overall_accuracy,candidate_total_errors,delta_to_candidate_accuracy_pp,error_share,expected_errors_at_overall_accuracy,excess_errors_vs_overall
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-09,600,251,0.41833333333333333,0.2683333333333333,0.62,month,349,0.7316666666666667,-31.333333333333336,,0.5757882882882883,3767,-15.745495495495499,0.09264666843642155,254.527027027027,94.472972972973
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-10,690,289,0.41884057971014493,0.3898550724637681,0.5739130434782609,month,401,0.6101449275362318,-19.130434782608692,,0.5757882882882883,3767,-15.694770857814339,0.10645075657021502,292.70608108108104,108.29391891891896
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-11,600,278,0.4633333333333333,0.7516666666666667,0.5116666666666667,month,322,0.7516666666666667,-28.83333333333334,,0.5757882882882883,3767,-11.2454954954955,0.08547916113618263,254.527027027027,67.472972972973
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-03,630,293,0.4650793650793651,0.25873015873015875,0.6603174603174603,month,337,0.7412698412698413,-27.61904761904762,,0.5757882882882883,3767,-11.070892320892323,0.08946110963631537,267.2533783783784,69.74662162162161
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2026-01,600,309,0.515,0.14166666666666666,0.43666666666666665,month,291,0.8583333333333334,-34.333333333333336,,0.5757882882882883,3767,-6.078828828828831,0.077249800902575,254.527027027027,36.472972972973
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-02,600,317,0.5283333333333333,0.27166666666666667,0.64,month,283,0.7283333333333333,-19.999999999999996,,0.5757882882882883,3767,-4.7454954954955,0.07512609503583753,254.527027027027,28.472972972972997
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-12,690,370,0.5362318840579711,0.6521739130434783,0.6,month,320,0.6521739130434783,-11.594202898550721,,0.5757882882882883,3767,-3.9556404230317255,0.08494823466949827,292.70608108108104,27.293918918918962
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-08,630,354,0.5619047619047619,0.5206349206349207,0.726984126984127,month,276,0.5206349206349207,4.126984126984123,,0.5757882882882883,3767,-1.3883526383526412,0.07326785240244227,267.2533783783784,8.746621621621614
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-04,600,356,0.5933333333333334,0.8166666666666667,0.5033333333333333,month,244,0.8166666666666667,-22.33333333333333,,0.5757882882882883,3767,1.754504504504506,0.06477302893549243,254.527027027027,-10.527027027027003
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2026-03,360,217,0.6027777777777777,0.5,0.36944444444444446,month,143,0.5,10.277777777777775,,0.5757882882882883,3767,2.6989489489489427,0.03796124236793204,152.7162162162162,-9.716216216216196
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-01,510,337,0.6607843137254902,0.8117647058823529,0.711764705882353,month,173,0.8117647058823529,-15.098039215686276,,0.5757882882882883,3767,8.499602543720187,0.045925139368197504,216.34797297297297,-43.34797297297297
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2026-02,450,301,0.6688888888888889,0.24444444444444444,0.32222222222222224,month,149,0.7555555555555555,-8.666666666666668,,0.5757882882882883,3767,9.310060060060055,0.039554021767985136,190.89527027027026,-41.89527027027026
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-05,600,404,0.6733333333333333,0.9633333333333334,0.6833333333333333,month,196,0.9633333333333334,-29.000000000000004,,0.5757882882882883,3767,9.754504504504503,0.05203079373506769,254.527027027027,-58.527027027027
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-07,690,523,0.7579710144927536,0.8028985507246377,0.7231884057971014,month,167,0.8028985507246377,-4.492753623188406,,0.5757882882882883,3767,18.21827262044653,0.044332359968144414,292.70608108108104,-125.70608108108104
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,2025-06,630,514,0.8158730158730159,0.9507936507936507,0.8206349206349206,month,116,0.9507936507936507,-13.492063492063489,,0.5757882882882883,3767,24.008472758472756,0.030793735067693125,267.2533783783784,-151.2533783783784
canonical_v1_lightgbm_h40_daily_cross_nl20_d3_lr0.02_n700_t500,v1_best_final_reproduced,lightgbm,daily_cross,40,0.5,,1980,937,0.4732323232323232,0.5909090909090909,0.5641414141414142,quarter,1043,0.5909090909090909,-11.767676767676772,2025-Q4,0.5757882882882883,3767,-10.25559650559651,0.2768781523758959,839.9391891891892,203.06081081081084
