date,ticker,model_name,prediction_date,entry_date,target_date,horizon,horizon_days,actual_net_trade_return,actual_profit_label,predicted_profit_label,predicted_profit_probability
2023-12-27,ACB,cart,2023-12-20,2023-12-21,2023-12-27,5d,5,-0.002705824454703243,0,0,0.0
2023-12-28,ACB,cart,2023-12-21,2023-12-22,2023-12-28,5d,5,0.016813082956580905,1,0,0.0
2023-12-29,ACB,cart,2023-12-22,2023-12-25,2023-12-29,5d,5,0.020405602450247473,1,0,0.0
2024-01-02,ACB,cart,2023-12-25,2023-12-26,2024-01-02,5d,5,0.037777037372848765,1,0,0.0
2024-01-03,ACB,cart,2023-12-26,2023-12-27,2024-01-03,5d,5,0.0704900783376119,1,0,0.0
2024-01-04,ACB,cart,2023-12-27,2023-12-28,2024-01-04,5d,5,0.0786613824092739,1,0,0.0
2024-01-05,ACB,cart,2023-12-28,2023-12-29,2024-01-05,5d,5,0.05756804077796884,1,0,0.0
2024-01-08,ACB,cart,2023-12-29,2024-01-02,2024-01-08,5d,5,0.050916379228322484,1,0,0.0
2024-01-09,ACB,cart,2024-01-02,2024-01-03,2024-01-09,5d,5,0.013820737366859959,1,0,0.0
2024-01-10,ACB,cart,2024-01-03,2024-01-04,2024-01-10,5d,5,-0.005291541785773846,0,0,0.0
2024-01-11,ACB,cart,2024-01-04,2024-01-05,2024-01-11,5d,5,-0.009212126925131736,0,1,1.0
2024-01-12,ACB,cart,2024-01-05,2024-01-08,2024-01-12,5d,5,-0.0031223865031149156,0,0,0.0
2024-01-15,ACB,cart,2024-01-08,2024-01-09,2024-01-15,5d,5,-0.0047339953503593435,0,0,0.0
2024-01-16,ACB,cart,2024-01-09,2024-01-10,2024-01-16,5d,5,0.0008832849864364167,1,1,1.0
2024-01-17,ACB,cart,2024-01-10,2024-01-11,2024-01-17,5d,5,-0.006975585450921806,0,0,0.0
2024-01-18,ACB,cart,2024-01-11,2024-01-12,2024-01-18,5d,5,0.0110282566258888,1,0,0.0
2024-01-19,ACB,cart,2024-01-12,2024-01-15,2024-01-19,5d,5,-0.009152077318426377,0,0,0.0
2024-01-22,ACB,cart,2024-01-15,2024-01-16,2024-01-22,5d,5,0.02811164848995995,1,0,0.0
2024-01-23,ACB,cart,2024-01-16,2024-01-17,2024-01-23,5d,5,0.016376612427612125,1,0,0.0
2024-01-24,ACB,cart,2024-01-17,2024-01-18,2024-01-24,5d,5,0.006924532333919764,1,0,0.0
2024-01-25,ACB,cart,2024-01-18,2024-01-19,2024-01-25,5d,5,-0.006975585450921806,0,0,0.0
2024-01-26,ACB,cart,2024-01-19,2024-01-22,2024-01-26,5d,5,-0.003195720903970467,0,0,0.0
2024-01-29,ACB,cart,2024-01-22,2024-01-23,2024-01-29,5d,5,-0.018296710698223917,0,0,0.0
2024-01-30,ACB,cart,2024-01-23,2024-01-24,2024-01-30,5d,5,-0.010778195353461917,0,0,0.0
2024-01-31,ACB,cart,2024-01-24,2024-01-25,2024-01-31,5d,5,-0.010807542949181737,0,0,0.0
2024-02-01,ACB,cart,2024-01-25,2024-01-26,2024-02-01,5d,5,-0.0009539379536562809,0,0,0.0
2024-02-02,ACB,cart,2024-01-26,2024-01-29,2024-02-02,5d,5,-0.01658549914010643,0,0,0.0
2024-02-05,ACB,cart,2024-01-29,2024-01-30,2024-02-05,5d,5,0.059841702836570976,1,0,0.0
2024-02-06,ACB,cart,2024-01-30,2024-01-31,2024-02-06,5d,5,0.05969581356083409,1,0,0.0
2024-02-07,ACB,cart,2024-01-31,2024-02-01,2024-02-07,5d,5,0.08164799034863557,1,0,0.0
2024-02-15,ACB,cart,2024-02-01,2024-02-02,2024-02-15,5d,5,0.04101241481284479,1,0,0.0
2024-02-16,ACB,cart,2024-02-02,2024-02-05,2024-02-16,5d,5,0.04423902876306429,1,0,0.0
2024-02-19,ACB,cart,2024-02-05,2024-02-06,2024-02-19,5d,5,-0.012562935098000994,0,1,1.0
2024-02-20,ACB,cart,2024-02-06,2024-02-07,2024-02-20,5d,5,-0.017642343868073063,0,0,0.0
2024-02-21,ACB,cart,2024-02-07,2024-02-15,2024-02-21,5d,5,-0.019583818241031947,0,0,0.0
2024-02-22,ACB,cart,2024-02-15,2024-02-16,2024-02-22,5d,5,-0.00131586080841406,0,0,0.0
2024-02-23,ACB,cart,2024-02-16,2024-02-19,2024-02-23,5d,5,-0.02127840623660804,0,0,0.0
2023-12-27,ACB,lightgbm,2023-12-20,2023-12-21,2023-12-27,5d,5,-0.002705824454703243,0,0,0.002107309385396081
2023-12-28,ACB,lightgbm,2023-12-21,2023-12-22,2023-12-28,5d,5,0.016813082956580905,1,0,0.0037019433284172453
2023-12-29,ACB,lightgbm,2023-12-22,2023-12-25,2023-12-29,5d,5,0.020405602450247473,1,0,0.02062368196691678
2024-01-02,ACB,lightgbm,2023-12-25,2023-12-26,2024-01-02,5d,5,0.037777037372848765,1,0,0.0021699095865656656
2024-01-03,ACB,lightgbm,2023-12-26,2023-12-27,2024-01-03,5d,5,0.0704900783376119,1,0,0.02825404360580583
2024-01-04,ACB,lightgbm,2023-12-27,2023-12-28,2024-01-04,5d,5,0.0786613824092739,1,0,0.02404903151803611
2024-01-05,ACB,lightgbm,2023-12-28,2023-12-29,2024-01-05,5d,5,0.05756804077796884,1,0,0.0035739254563671996
2024-01-08,ACB,lightgbm,2023-12-29,2024-01-02,2024-01-08,5d,5,0.050916379228322484,1,0,0.008025074357975873
2024-01-09,ACB,lightgbm,2024-01-02,2024-01-03,2024-01-09,5d,5,0.013820737366859959,1,0,0.01609709613433876
2024-01-10,ACB,lightgbm,2024-01-03,2024-01-04,2024-01-10,5d,5,-0.005291541785773846,0,0,0.0012078640026073019
2024-01-11,ACB,lightgbm,2024-01-04,2024-01-05,2024-01-11,5d,5,-0.009212126925131736,0,0,0.003577876296740918
2024-01-12,ACB,lightgbm,2024-01-05,2024-01-08,2024-01-12,5d,5,-0.0031223865031149156,0,0,0.007567953855749523
2024-01-15,ACB,lightgbm,2024-01-08,2024-01-09,2024-01-15,5d,5,-0.0047339953503593435,0,0,0.016433393705673784
2024-01-16,ACB,lightgbm,2024-01-09,2024-01-10,2024-01-16,5d,5,0.0008832849864364167,1,0,0.013732800745967251
2024-01-17,ACB,lightgbm,2024-01-10,2024-01-11,2024-01-17,5d,5,-0.006975585450921806,0,0,0.005534972842856357
2024-01-18,ACB,lightgbm,2024-01-11,2024-01-12,2024-01-18,5d,5,0.0110282566258888,1,0,0.005252371972896566
