model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,44,0.0,0.38636363636363635,0.38636363636363635
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,104,1.0,0.5576923076923077,-0.4423076923076923
lightgbm,lt_0.50,0.0,0.5,37,0.1244069919993565,0.32432432432432434,0.19991733232496783
lightgbm,0.50-0.55,0.5,0.55,2,0.5074701207526692,0.5,-0.007470120752669174
lightgbm,0.55-0.60,0.55,0.6,3,0.5776087530306685,1.0,0.4223912469693315
lightgbm,0.60-0.65,0.6,0.65,4,0.6129706789678739,0.5,-0.11297067896787394
lightgbm,0.65+,0.65,1.0,102,0.9638389551969694,0.5588235294117647,-0.40501542578520466
xgboost,lt_0.50,0.0,0.5,31,0.27788829034374607,0.2903225806451613,0.01243429030141524
xgboost,0.50-0.55,0.5,0.55,6,0.5297492444515228,0.6666666666666666,0.1369174222151438
xgboost,0.55-0.60,0.55,0.6,5,0.5735394716262817,0.8,0.22646052837371833
xgboost,0.60-0.65,0.6,0.65,6,0.614519457022349,0.5,-0.114519457022349
xgboost,0.65+,0.65,1.0,100,0.9298456329107284,0.55,-0.37984563291072837
