horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
3d,bear,cart,0.50-0.55,3,0.5294117647058824,0.6666666666666666,0.13725490196078427
3d,bear,cart,0.55-0.60,0,,,
3d,bear,cart,0.60-0.65,3,0.603448275862069,0.0,-0.603448275862069
3d,bear,cart,0.65+,15,0.7239331650438755,0.13333333333333333,-0.5905998317105422
3d,bear,cart,lt_0.50,83,0.27144851628715666,0.5783132530120482,0.3068647367248915
3d,bear,lightgbm,0.50-0.55,4,0.5090285213331003,0.5,-0.009028521333100281
3d,bear,lightgbm,0.55-0.60,5,0.5765015502485317,0.2,-0.37650155024853166
3d,bear,lightgbm,0.60-0.65,2,0.6371172204437281,0.5,-0.1371172204437281
3d,bear,lightgbm,0.65+,13,0.7877503202997695,0.38461538461538464,-0.4031349356843849
3d,bear,lightgbm,lt_0.50,80,0.2733178525142591,0.5375,0.26418214748574087
3d,bear,xgboost,0.50-0.55,5,0.533337938785553,0.0,-0.533337938785553
3d,bear,xgboost,0.55-0.60,5,0.583279824256897,0.6,0.016720175743103027
3d,bear,xgboost,0.60-0.65,3,0.6281744043032328,0.0,-0.6281744043032328
3d,bear,xgboost,0.65+,6,0.7682870725790659,0.5,-0.2682870725790659
3d,bear,xgboost,lt_0.50,85,0.24893831816666268,0.5411764705882353,0.2922381524215726
3d,bull,cart,0.50-0.55,1,0.5294117647058824,0.0,-0.5294117647058824
3d,bull,cart,0.55-0.60,0,,,
3d,bull,cart,0.60-0.65,0,,,
3d,bull,cart,0.65+,9,0.7137476459510358,0.3333333333333333,-0.3804143126177025
3d,bull,cart,lt_0.50,62,0.2192807144282288,0.4032258064516129,0.18394509202338408
3d,bull,lightgbm,0.50-0.55,2,0.5310287941167431,0.5,-0.031028794116743086
3d,bull,lightgbm,0.55-0.60,1,0.5755634730567026,1.0,0.42443652694329737
3d,bull,lightgbm,0.60-0.65,3,0.6331759462026559,0.6666666666666666,0.03349072046401069
3d,bull,lightgbm,0.65+,12,0.8076850929158005,0.5833333333333334,-0.22435175958246711
3d,bull,lightgbm,lt_0.50,54,0.17846028500925315,0.3148148148148148,0.13635452980556168
3d,bull,xgboost,0.50-0.55,1,0.5117402672767639,0.0,-0.5117402672767639
3d,bull,xgboost,0.55-0.60,3,0.5852098067601522,1.0,0.4147901932398478
3d,bull,xgboost,0.60-0.65,1,0.6044100522994995,1.0,0.3955899477005005
3d,bull,xgboost,0.65+,6,0.7047606408596039,0.3333333333333333,-0.37142730752627057
3d,bull,xgboost,lt_0.50,61,0.2142588223223803,0.36065573770491804,0.14639691538253774
3d,sideway,cart,0.50-0.55,1,0.5294117647058824,0.0,-0.5294117647058824
3d,sideway,cart,0.55-0.60,0,,,
3d,sideway,cart,0.60-0.65,4,0.603448275862069,0.75,0.14655172413793105
3d,sideway,cart,0.65+,13,0.7429563464543631,0.07692307692307693,-0.6660332695312863
3d,sideway,cart,lt_0.50,66,0.23359821084031715,0.3333333333333333,0.09973512249301617
3d,sideway,lightgbm,0.50-0.55,0,,,
3d,sideway,lightgbm,0.55-0.60,1,0.56458618689766,0.0,-0.56458618689766
3d,sideway,lightgbm,0.60-0.65,3,0.6311874663580027,0.3333333333333333,-0.2978541330246694
3d,sideway,lightgbm,0.65+,11,0.7816837360386192,0.09090909090909091,-0.6907746451295282
3d,sideway,lightgbm,lt_0.50,69,0.22606952649462309,0.34782608695652173,0.12175656046189864
3d,sideway,xgboost,0.50-0.55,5,0.5169890642166137,0.0,-0.5169890642166137
3d,sideway,xgboost,0.55-0.60,3,0.5536666313807169,0.3333333333333333,-0.2203332980473836
3d,sideway,xgboost,0.60-0.65,2,0.629249781370163,0.0,-0.629249781370163
3d,sideway,xgboost,0.65+,7,0.7171997938837323,0.2857142857142857,-0.43148550816944664
3d,sideway,xgboost,lt_0.50,67,0.23414130336535507,0.34328358208955223,0.10914227872419716
