horizon,regime,model_name,signal_bucket,observations,avg_actual_return,median_actual_return,hit_rate,realized_profit_rate,positive_precision,recall_of_profitable_cases,lift_vs_base_rate
3d,bear,cart,moderate_positive,4,-0.08795929629080693,-0.099236708012975,0.25,0.0,0.0,0.0,0.0
3d,bear,cart,reject,37,0.01424589376961265,0.0089285714285713,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.4230769230769231,1.1891891891891893
3d,bear,cart,strong_or_moderate_positive,8,-0.03240667429605029,-0.0183089604385028,0.375,0.125,0.125,0.019230769230769232,0.25
3d,bear,cart,strong_positive,4,0.023145947698706346,-0.00522779416584725,0.5,0.25,0.25,0.019230769230769232,0.5
3d,bear,cart,weak_or_uncertain,59,-0.006176491526131502,0.0056074766355138,0.576271186440678,0.4915254237288136,0.4915254237288136,0.5576923076923077,0.9830508474576272
3d,bear,lightgbm,moderate_positive,7,0.020403366189147804,0.0987012987012987,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.07692307692307693,1.1428571428571428
3d,bear,lightgbm,reject,54,-0.004298282758076142,0.0098522167487684,0.5740740740740741,0.5740740740740741,0.5740740740740741,0.5961538461538461,1.1481481481481481
3d,bear,lightgbm,strong_or_moderate_positive,13,0.011360484991844501,0.0037037037037037,0.5384615384615384,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.6153846153846154
3d,bear,lightgbm,strong_positive,6,0.0008104569283239833,-0.00481481481481485,0.5,0.0,0.0,0.0,0.0
3d,bear,lightgbm,weak_or_uncertain,37,-0.00032830705114485177,0.0044313146233381,0.5675675675675675,0.4594594594594595,0.4594594594594595,0.3269230769230769,0.918918918918919
3d,bear,xgboost,moderate_positive,1,-0.025096525096525,-0.025096525096525,0.0,0.0,0.0,0.0,0.0
3d,bear,xgboost,reject,62,-0.005065014613290036,0.00613947071365855,0.5806451612903226,0.5483870967741935,0.5483870967741935,0.6538461538461539,1.096774193548387
3d,bear,xgboost,strong_or_moderate_positive,3,0.049968811122217266,0.0495049504950495,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.038461538461538464,1.3333333333333333
3d,bear,xgboost,strong_positive,2,0.0875014792315884,0.0875014792315884,1.0,1.0,1.0,0.038461538461538464,2.0
3d,bear,xgboost,weak_or_uncertain,39,0.0017322089159701969,0.0037313432835819,0.5384615384615384,0.41025641025641024,0.41025641025641024,0.3076923076923077,0.8205128205128205
3d,bull,cart,moderate_positive,2,-0.0819251460444239,-0.0819251460444239,0.0,0.0,0.0,0.0,0.0
3d,bull,cart,reject,21,0.014677176967366899,0.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.25,0.8571428571428571
3d,bull,cart,strong_or_moderate_positive,2,-0.0819251460444239,-0.0819251460444239,0.0,0.0,0.0,0.0,0.0
3d,bull,cart,strong_positive,0,,,,,,0.0,
3d,bull,cart,weak_or_uncertain,49,0.003730181407466978,0.0,0.4897959183673469,0.42857142857142855,0.42857142857142855,0.75,1.1020408163265305
3d,bull,lightgbm,moderate_positive,2,0.0090047921206941,0.0090047921206941,1.0,0.5,0.5,0.03571428571428571,1.2857142857142856
3d,bull,lightgbm,reject,47,-0.002368410668760232,-0.0020080321285139,0.3829787234042553,0.3191489361702128,0.3191489361702128,0.5357142857142857,0.8206686930091186
3d,bull,lightgbm,strong_or_moderate_positive,6,0.008867140931832768,0.0090047921206941,0.6666666666666666,0.5,0.5,0.10714285714285714,1.2857142857142856
3d,bull,lightgbm,strong_positive,4,0.008798315337402102,0.0128281730943328,0.5,0.5,0.5,0.07142857142857142,1.2857142857142856
3d,bull,lightgbm,weak_or_uncertain,19,0.020276935212235433,0.0165137614678898,0.5789473684210527,0.5263157894736842,0.5263157894736842,0.35714285714285715,1.3533834586466165
3d,bull,xgboost,moderate_positive,2,0.0598646436829388,0.0598646436829388,1.0,1.0,1.0,0.07142857142857142,2.571428571428571
3d,bull,xgboost,reject,52,0.003627815609616745,0.0,0.4423076923076923,0.36538461538461536,0.36538461538461536,0.6785714285714286,0.9395604395604394
3d,bull,xgboost,strong_or_moderate_positive,5,0.0181382063475613,0.0304182509505703,0.8,0.6,0.6,0.10714285714285714,1.5428571428571427
3d,bull,xgboost,strong_positive,3,-0.009679418542690365,0.0047770700636944,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.03571428571428571,0.8571428571428571
3d,bull,xgboost,weak_or_uncertain,15,0.003187457983590779,-0.0028985507246377,0.4,0.4,0.4,0.21428571428571427,1.0285714285714287
3d,sideway,cart,moderate_positive,2,-0.0032465675057208503,-0.0032465675057208503,0.5,0.0,0.0,0.0,0.0
3d,sideway,cart,reject,25,0.0026380980390021598,-0.0062761506276149,0.44,0.24,0.24,0.23076923076923078,0.7753846153846153
3d,sideway,cart,strong_or_moderate_positive,3,-0.0033943906372702337,-0.003690036900369,0.3333333333333333,0.0,0.0,0.0,0.0
3d,sideway,cart,strong_positive,1,-0.003690036900369,-0.003690036900369,0.0,0.0,0.0,0.0,0.0
3d,sideway,cart,weak_or_uncertain,56,-0.010451550457056234,-0.00851003935227725,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.7692307692307693,1.1538461538461537
3d,sideway,lightgbm,moderate_positive,3,-0.019478608168279735,-0.0337423312883435,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.038461538461538464,1.0769230769230769
