ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,44,0.6136363636363636,0.3333333333333333,0.13333333333333333,0.19047619047619047,0.4977011494252873,0.3333333333333333,25,4,13,2
ACB,lightgbm,44,0.6363636363636364,0.0,0.0,0.0,0.767816091954023,0.0,28,1,15,0
ACB,xgboost,44,0.6590909090909091,0.0,0.0,0.0,0.7724137931034483,0.0,29,0,15,0
DGC,cart,44,0.5454545454545454,0.4827586206896552,0.7368421052631579,0.5833333333333334,0.5684210526315789,0.4827586206896552,10,15,5,14
DGC,lightgbm,44,0.5454545454545454,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.47789473684210515,0.3333333333333333,23,2,18,1
DGC,xgboost,44,0.45454545454545453,0.0,0.0,0.0,0.4631578947368421,0.0,20,5,19,0
HPG,cart,44,0.6818181818181818,0.375,0.6,0.46153846153846156,0.6529411764705882,0.375,24,10,4,6
HPG,lightgbm,44,0.6818181818181818,0.3,0.3,0.3,0.5264705882352941,0.3,27,7,7,3
HPG,xgboost,44,0.75,0.45454545454545453,0.5,0.47619047619047616,0.6,0.45454545454545453,28,6,5,5
MWG,cart,44,0.6590909090909091,0.6666666666666666,0.6956521739130435,0.6808510638297872,0.6573498964803313,0.6666666666666666,13,8,7,16
MWG,lightgbm,44,0.6363636363636364,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.7432712215320911,0.6842105263157895,15,6,10,13
MWG,xgboost,44,0.6818181818181818,0.8,0.5217391304347826,0.631578947368421,0.7950310559006211,0.8,18,3,11,12
OVERALL,cart,176,0.625,0.5066666666666667,0.5671641791044776,0.5352112676056338,0.6138573189100369,0.5066666666666667,72,37,29,38
OVERALL,lightgbm,176,0.625,0.5151515151515151,0.2537313432835821,0.34,0.6202930302615364,0.5151515151515151,93,16,50,17
OVERALL,xgboost,176,0.6363636363636364,0.5483870967741935,0.2537313432835821,0.3469387755102041,0.6293304121593866,0.5483870967741935,95,14,50,17
