date,ticker,model_name,prediction_date,entry_date,target_date,horizon,horizon_days,actual_net_trade_return,actual_profit_label,predicted_profit_label,predicted_profit_probability
2024-06-24,ACB,cart,2024-05-27,2024-05-28,2024-06-24,20d,20,-0.04033053219681215,0,0,0.0
2024-06-25,ACB,cart,2024-05-28,2024-05-29,2024-06-25,20d,20,-0.042713028392947106,0,0,0.0
2024-06-26,ACB,cart,2024-05-29,2024-05-30,2024-06-26,20d,20,-0.02250675909000799,0,0,0.0
2024-06-27,ACB,cart,2024-05-30,2024-05-31,2024-06-27,20d,20,-0.04880715485270193,0,0,0.0
2024-06-28,ACB,cart,2024-05-31,2024-06-03,2024-06-28,20d,20,-0.04906910591350333,0,0,0.0
2024-07-01,ACB,cart,2024-06-03,2024-06-04,2024-07-01,20d,20,-0.047233331986695215,0,0,0.0
2024-07-02,ACB,cart,2024-06-04,2024-06-05,2024-07-02,20d,20,-0.03530655279057149,0,0,0.0
2024-07-03,ACB,cart,2024-06-05,2024-06-06,2024-07-03,20d,20,-0.013306785739856442,0,0,0.0
2024-07-04,ACB,cart,2024-06-06,2024-06-07,2024-07-04,20d,20,-0.02295306262309127,0,0,0.0
2024-07-05,ACB,cart,2024-06-07,2024-06-10,2024-07-05,20d,20,-0.019056174435703732,0,0,0.0
2024-07-08,ACB,cart,2024-06-10,2024-06-11,2024-07-08,20d,20,-0.013306785739856442,0,0,0.0
2024-07-09,ACB,cart,2024-06-11,2024-06-12,2024-07-09,20d,20,-0.0010705839768935244,0,0,0.0
2024-07-10,ACB,cart,2024-06-12,2024-06-13,2024-07-10,20d,20,-0.01907973482377745,0,0,0.0
2024-07-11,ACB,cart,2024-06-13,2024-06-14,2024-07-11,20d,20,-0.029106943527112406,0,0,0.0
2024-07-12,ACB,cart,2024-06-14,2024-06-17,2024-07-12,20d,20,-0.031136763420485658,0,0,0.0
2024-07-15,ACB,cart,2024-06-17,2024-06-18,2024-07-15,20d,20,-0.03728592368570449,0,0,0.0
2024-07-16,ACB,cart,2024-06-18,2024-06-19,2024-07-16,20d,20,-0.024889726522748234,0,0,0.0
2024-07-17,ACB,cart,2024-06-19,2024-06-20,2024-07-17,20d,20,-0.008912249350578882,0,0,0.0
2024-07-18,ACB,cart,2024-06-20,2024-06-21,2024-07-18,20d,20,-0.008888927290130133,0,0,0.0
2024-07-19,ACB,cart,2024-06-21,2024-06-24,2024-07-19,20d,20,0.013319804043511851,1,0,0.0
2024-07-22,ACB,cart,2024-06-24,2024-06-25,2024-07-22,20d,20,0.024226677948874675,1,0,0.0
2024-07-23,ACB,cart,2024-06-25,2024-06-26,2024-07-23,20d,20,-0.006975585450921806,0,0,0.0
2024-07-24,ACB,cart,2024-06-26,2024-06-27,2024-07-24,20d,20,0.0014440729268008212,1,1,1.0
2024-07-25,ACB,cart,2024-06-27,2024-06-28,2024-07-25,20d,20,0.0035141090689629895,1,1,1.0
2024-07-26,ACB,cart,2024-06-28,2024-07-01,2024-07-26,20d,20,0.006011655383221015,1,1,1.0
