index_code,provider_package,source,interval,sample_start,sample_end,success,rows,columns,first_timestamp,last_timestamp,exception_type,exception_message
VNINDEX,vnstock_data,KBS,1H,2024-01-02,2024-01-05,True,20,"time,open,high,low,close,volume",2024-01-02 09:00:00,2024-01-05 14:00:00,,
VNINDEX,vnstock_data,KBS,1H,2025-01-02,2025-01-06,True,15,"time,open,high,low,close,volume",2025-01-02 09:00:00,2025-01-06 14:00:00,,
VNINDEX,vnstock_data,KBS,1H,2026-05-04,2026-05-14,True,47,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-13 15:00:00,,
HNXINDEX,vnstock_data,KBS,1H,2024-01-02,2024-01-05,True,20,"time,open,high,low,close,volume",2024-01-02 09:00:00,2024-01-05 14:00:00,,
HNXINDEX,vnstock_data,KBS,1H,2025-01-02,2025-01-06,True,15,"time,open,high,low,close,volume",2025-01-02 09:00:00,2025-01-06 14:00:00,,
HNXINDEX,vnstock_data,KBS,1H,2026-05-04,2026-05-14,True,47,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-13 15:00:00,,
UPCOMINDEX,vnstock_data,KBS,1H,2024-01-02,2024-01-05,True,24,"time,open,high,low,close,volume",2024-01-02 09:00:00,2024-01-05 15:00:00,,
UPCOMINDEX,vnstock_data,KBS,1H,2025-01-02,2025-01-06,True,18,"time,open,high,low,close,volume",2025-01-02 09:00:00,2025-01-06 15:00:00,,
UPCOMINDEX,vnstock_data,KBS,1H,2026-05-04,2026-05-14,True,55,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-13 15:00:00,,
VN30,vnstock_data,KBS,1H,2024-01-02,2024-01-05,True,20,"time,open,high,low,close,volume",2024-01-02 09:00:00,2024-01-05 14:00:00,,
VN30,vnstock_data,KBS,1H,2025-01-02,2025-01-06,True,15,"time,open,high,low,close,volume",2025-01-02 09:00:00,2025-01-06 14:00:00,,
VN30,vnstock_data,KBS,1H,2026-05-04,2026-05-14,True,47,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-13 15:00:00,,
HNX30,vnstock_data,KBS,1H,2024-01-02,2024-01-05,True,20,"time,open,high,low,close,volume",2024-01-02 09:00:00,2024-01-05 14:00:00,,
HNX30,vnstock_data,KBS,1H,2025-01-02,2025-01-06,True,15,"time,open,high,low,close,volume",2025-01-02 09:00:00,2025-01-06 14:00:00,,
HNX30,vnstock_data,KBS,1H,2026-05-04,2026-05-14,True,47,"time,open,high,low,close,volume",2026-05-04 09:00:00,2026-05-13 15:00:00,,
VN100,vnstock_data,KBS,1H,2024-01-02,2024-01-05,True,0,,,,,
VN100,vnstock_data,VCI,1H,2024-01-02,2024-01-05,True,16,"time,open,high,low,close,volume",2024-01-02 10:00:00,2024-01-05 14:00:00,,
VN100,vnstock_data,KBS,1H,2025-01-02,2025-01-06,True,0,,,,,
VN100,vnstock_data,VCI,1H,2025-01-02,2025-01-06,True,12,"time,open,high,low,close,volume",2025-01-02 10:00:00,2025-01-06 14:00:00,,
VN100,vnstock_data,KBS,1H,2026-05-04,2026-05-14,True,7,"time,open,high,low,close,volume",2026-05-13 09:00:00,2026-05-13 15:00:00,,
