horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate,rank_in_regime
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.5,34,81,0.10128431554178438,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.5,34,81,0.10128431554178438,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.55,34,80,0.10178177130791902,0.8875,0.8875,1.0,1.0,2.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.6,34,80,0.10178177130791902,0.8875,0.8875,1.0,1.0,2.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.65,34,80,0.10178177130791902,0.8875,0.8875,1.0,1.0,2.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.55,34,80,0.10178177130791902,0.8875,0.8875,1.0,1.0,2.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.6,34,80,0.10178177130791902,0.8875,0.8875,1.0,1.0,2.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.65,34,80,0.10178177130791902,0.8875,0.8875,1.0,1.0,2.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.5,34,80,0.09991436704106889,0.8875,0.8875,1.0,1.0,2.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.55,34,79,0.1004007785953734,0.8860759493670886,0.8860759493670886,1.0,1.0,3.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.6,34,79,0.1004007785953734,0.8860759493670886,0.8860759493670886,1.0,1.0,3.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.65,34,79,0.1004007785953734,0.8860759493670886,0.8860759493670886,1.0,1.0,3.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.5,34,78,0.09787189352781119,0.8846153846153846,0.8846153846153846,1.0,1.0,4.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.5,34,77,0.10047298215449159,0.8831168831168831,0.8831168831168831,1.0,1.0,5.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.55,34,77,0.10047298215449159,0.8831168831168831,0.8831168831168831,1.0,1.0,5.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.5,34,77,0.10047298215449159,0.8831168831168831,0.8831168831168831,1.0,1.0,5.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.55,34,77,0.10047298215449159,0.8831168831168831,0.8831168831168831,1.0,1.0,5.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.5,34,77,0.10047298215449159,0.8831168831168831,0.8831168831168831,1.0,1.0,5.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.55,34,77,0.10047298215449159,0.8831168831168831,0.8831168831168831,1.0,1.0,5.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.55,34,77,0.09834441351841895,0.8831168831168831,0.8831168831168831,1.0,1.0,5.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.6,34,77,0.09834441351841895,0.8831168831168831,0.8831168831168831,1.0,1.0,5.0
20d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.65,34,77,0.09834441351841895,0.8831168831168831,0.8831168831168831,1.0,1.0,5.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.6,34,76,0.10124026740587755,0.881578947368421,0.881578947368421,1.0,1.0,6.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.6,34,76,0.10124026740587755,0.881578947368421,0.881578947368421,1.0,1.0,6.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.6,34,76,0.10124026740587755,0.881578947368421,0.881578947368421,1.0,1.0,6.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.5,34,74,0.09522525531909065,0.8783783783783784,0.8783783783783784,1.0,1.0,7.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.55,34,74,0.09522525531909065,0.8783783783783784,0.8783783783783784,1.0,1.0,7.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.65,34,73,0.10243510388555381,0.8767123287671232,0.8767123287671232,1.0,1.0,8.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.65,34,73,0.10243510388555381,0.8767123287671232,0.8767123287671232,1.0,1.0,8.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.65,34,73,0.10243510388555381,0.8767123287671232,0.8767123287671232,1.0,1.0,8.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.6,34,73,0.0959521861721034,0.8767123287671232,0.8767123287671232,1.0,1.0,8.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.65,34,70,0.09697159787660407,0.8714285714285714,0.8714285714285714,1.0,1.0,9.0
20d,bull,xgboost,predicted_profit_probability,predicted_profit_probability,3,,,34,102,0.08578213719791555,0.803921568627451,0.803921568627451,0.8118811881188119,1.0825082508250825,10.0
20d,bull,xgboost,combined_weighted_linear,combined_score,3,,,34,102,0.08353790200362192,0.7941176470588235,0.7941176470588235,0.801980198019802,1.0693069306930691,11.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.5,32,41,0.09270784187804171,0.7804878048780488,0.7804878048780488,1.0,1.0,12.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.55,32,41,0.09270784187804171,0.7804878048780488,0.7804878048780488,1.0,1.0,12.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.6,32,41,0.09270784187804171,0.7804878048780488,0.7804878048780488,1.0,1.0,12.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.65,32,41,0.09270784187804171,0.7804878048780488,0.7804878048780488,1.0,1.0,12.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.5,32,40,0.08804415494626934,0.775,0.775,1.0,1.0,13.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.55,32,40,0.08804415494626934,0.775,0.775,1.0,1.0,13.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.6,32,40,0.08804415494626934,0.775,0.775,1.0,1.0,13.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.65,32,40,0.08804415494626934,0.775,0.775,1.0,1.0,13.0
20d,bull,cart,predicted_return,predicted_return,3,,,34,102,0.08239738503625224,0.7745098039215687,0.7745098039215687,0.7821782178217822,1.0429042904290429,14.0
20d,bull,lightgbm,combined_rank_based,rank_based_joint_score,3,,,34,102,0.08213915713099064,0.7745098039215687,0.7745098039215687,0.7821782178217822,1.0429042904290429,14.0
20d,bull,lightgbm,combined_weighted_linear,combined_score,3,,,34,102,0.08188440326879878,0.7745098039215687,0.7745098039215687,0.7821782178217822,1.0429042904290429,14.0
20d,bull,lightgbm,predicted_profit_probability,predicted_profit_probability,3,,,34,102,0.08322895280947618,0.7745098039215687,0.7745098039215687,0.7821782178217822,1.0429042904290429,14.0
20d,bull,lightgbm,predicted_return,predicted_return,3,,,34,102,0.08213915713099064,0.7745098039215687,0.7745098039215687,0.7821782178217822,1.0429042904290429,14.0
20d,bull,xgboost,combined_rank_based,rank_based_joint_score,3,,,34,102,0.08195512249020907,0.7745098039215687,0.7745098039215687,0.7821782178217822,1.0429042904290429,14.0
20d,bull,xgboost,predicted_return,predicted_return,3,,,34,102,0.08224216921344313,0.7745098039215687,0.7745098039215687,0.7821782178217822,1.0429042904290429,14.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.5,31,39,0.08535920996166614,0.7692307692307693,0.7692307692307693,1.0,1.0,15.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.55,31,39,0.08535920996166614,0.7692307692307693,0.7692307692307693,1.0,1.0,15.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.6,31,39,0.08535920996166614,0.7692307692307693,0.7692307692307693,1.0,1.0,15.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.65,31,39,0.08535920996166614,0.7692307692307693,0.7692307692307693,1.0,1.0,15.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.5,31,38,0.0855144452273661,0.7631578947368421,0.7631578947368421,1.0,1.0,16.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.55,31,38,0.0855144452273661,0.7631578947368421,0.7631578947368421,1.0,1.0,16.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.6,31,38,0.0855144452273661,0.7631578947368421,0.7631578947368421,1.0,1.0,16.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.65,31,38,0.0855144452273661,0.7631578947368421,0.7631578947368421,1.0,1.0,16.0
20d,bull,cart,combined_rank_based,rank_based_joint_score,3,,,34,102,0.07691202491536799,0.7450980392156863,0.7450980392156863,0.7524752475247525,1.0033003300330032,17.0
20d,bull,cart,combined_weighted_linear,combined_score,3,,,34,102,0.07691202491536799,0.7450980392156863,0.7450980392156863,0.7524752475247525,1.0033003300330032,17.0
20d,bull,cart,predicted_profit_probability,predicted_profit_probability,3,,,34,102,0.0655257449810997,0.7352941176470589,0.7352941176470589,0.7425742574257426,0.9900990099009901,18.0
3d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.65,17,21,0.006953023010160938,0.5238095238095238,0.5238095238095238,1.0,1.0,19.0
3d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.65,17,20,0.006044740616365199,0.5,0.5,1.0,1.0,20.0
3d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.65,17,20,0.006044740616365199,0.5,0.5,1.0,1.0,20.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.65,19,24,0.01679247617173743,0.5,0.5,1.0,1.0,20.0
5d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.65,17,20,0.013731742367297007,0.5,0.5,1.0,1.0,20.0
5d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.5,22,34,0.012556128306299569,0.5,0.5,1.0,1.0294117647058825,20.0
5d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.5,24,37,0.00975994067649108,0.4864864864864865,0.4864864864864865,1.0,1.0270270270270272,21.0
5d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.55,23,35,0.01001686665013747,0.4857142857142857,0.4857142857142857,1.0,1.0,22.0
5d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.55,22,33,0.011459145997320234,0.48484848484848486,0.48484848484848486,1.0,1.0,23.0
5d,bull,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.6,21,31,0.013808223800225465,0.4838709677419355,0.4838709677419355,1.0,1.0,24.0
