horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
5d,bull,cart,0.50-0.55,0,,,
5d,bull,cart,0.55-0.60,0,,,
5d,bull,cart,0.60-0.65,0,,,
5d,bull,cart,0.65+,3,1.0,0.6666666666666666,-0.33333333333333337
5d,bull,cart,lt_0.50,9,0.0,0.4444444444444444,0.4444444444444444
5d,bull,lightgbm,0.50-0.55,1,0.5236047408472919,1.0,0.4763952591527081
5d,bull,lightgbm,0.55-0.60,0,,,
5d,bull,lightgbm,0.60-0.65,0,,,
5d,bull,lightgbm,0.65+,6,0.7899775312412759,0.3333333333333333,-0.4566441979079426
5d,bull,lightgbm,lt_0.50,5,0.1390882813603377,0.6,0.4609117186396623
5d,bull,xgboost,0.50-0.55,1,0.5412123799324036,0.0,-0.5412123799324036
5d,bull,xgboost,0.55-0.60,1,0.5866826772689819,0.0,-0.5866826772689819
5d,bull,xgboost,0.60-0.65,1,0.6379890441894531,1.0,0.3620109558105469
5d,bull,xgboost,0.65+,3,0.7729315360387167,0.6666666666666666,-0.10626486937205004
5d,bull,xgboost,lt_0.50,6,0.23373513917128244,0.5,0.2662648608287176
5d,sideway,cart,0.50-0.55,0,,,
5d,sideway,cart,0.55-0.60,0,,,
5d,sideway,cart,0.60-0.65,0,,,
5d,sideway,cart,0.65+,63,1.0,0.2698412698412698,-0.7301587301587302
5d,sideway,cart,lt_0.50,69,0.0,0.3188405797101449,0.3188405797101449
5d,sideway,lightgbm,0.50-0.55,6,0.5245293596107341,0.3333333333333333,-0.1911960262774008
5d,sideway,lightgbm,0.55-0.60,9,0.5724579061857025,0.1111111111111111,-0.46134679507459136
5d,sideway,lightgbm,0.60-0.65,10,0.6224260667187173,0.3,-0.32242606671871726
5d,sideway,lightgbm,0.65+,50,0.8225954959011683,0.22,-0.6025954959011683
5d,sideway,lightgbm,lt_0.50,57,0.27141179671996657,0.38596491228070173,0.11455311556073516
5d,sideway,xgboost,0.50-0.55,8,0.5319918841123581,0.25,-0.2819918841123581
5d,sideway,xgboost,0.55-0.60,9,0.5828680396080017,0.5555555555555556,-0.02731248405244613
5d,sideway,xgboost,0.60-0.65,9,0.6266586780548096,0.1111111111111111,-0.5155475669436984
5d,sideway,xgboost,0.65+,41,0.7767942664099903,0.12195121951219512,-0.6548430468977952
5d,sideway,xgboost,lt_0.50,65,0.3021979059164341,0.4,0.09780209408356594
