date,ticker,model_name,prediction_date,horizon,horizon_days,current_close,actual_close,predicted_close,predicted_close_baseline,predicted_return,absolute_error,absolute_error_baseline,pct_error,pct_error_baseline,predicted_direction,predicted_direction_baseline,actual_direction
2026-01-05,ACB,cart,2025-12-31,daily,1,24.0,24.0,24.020468986886478,24.0,0.0008528744536030864,0.02046898688647758,0.0,0.08528744536032326,0.0,1,0,0
2026-01-06,ACB,cart,2026-01-05,daily,1,24.0,24.0,24.020468986886478,24.0,0.0008528744536030864,0.02046898688647758,0.0,0.08528744536032326,0.0,1,0,0
2026-01-07,ACB,cart,2026-01-06,daily,1,24.0,24.65,24.020468986886478,24.0,0.0008528744536030864,0.629531013113521,0.6499999999999986,2.5538783493449126,2.6369168356997914,1,0,1
2026-01-08,ACB,cart,2026-01-07,daily,1,24.65,24.55,24.671023355281317,24.65,0.0008528744536030864,0.12102335528131647,0.09999999999999787,0.49296682395648256,0.4073319755600728,1,0,0
2026-01-09,ACB,cart,2026-01-08,daily,1,24.55,24.55,24.570938067835957,24.55,0.0008528744536030864,0.02093806783595653,0.0,0.08528744536031173,0.0,0,0,0
2026-01-12,ACB,cart,2026-01-09,daily,1,24.55,25.5,24.570938067835957,24.55,0.0008528744536030864,0.9290619321640428,0.9499999999999993,3.643380126133501,3.7254901960784284,1,0,1
2026-01-13,ACB,cart,2026-01-12,daily,1,25.5,24.9,25.52174829856688,25.5,0.0008528744536030864,0.6217482985668816,0.6000000000000014,2.4969811187424966,2.409638554216873,0,0,0
2026-01-14,ACB,cart,2026-01-13,daily,1,24.9,24.65,24.921236573894717,24.9,0.0008528744536030864,0.27123657389471845,0.25,1.1003512125546389,1.0141987829614605,0,0,0
2026-01-15,ACB,cart,2026-01-14,daily,1,24.65,24.9,24.671023355281317,24.65,0.0008528744536030864,0.2289766447186814,0.25,0.9195849185489213,1.0040160642570282,0,0,1
2026-01-16,ACB,cart,2026-01-15,daily,1,24.9,24.85,24.921236573894717,24.9,0.0008528744536030864,0.0712365738947156,0.04999999999999716,0.28666629333889576,0.20120724346075317,1,0,0
2026-01-19,ACB,cart,2026-01-16,daily,1,24.85,25.1,24.87119393017204,24.85,0.0008528744536030864,0.2288060698279608,0.25,0.911577967442075,0.9960159362549801,1,0,1
2026-01-20,ACB,cart,2026-01-19,daily,1,25.1,25.05,25.12140714878544,25.1,0.0008528744536030864,0.07140714878543974,0.05000000000000071,0.28505847818538815,0.19960079840319644,1,0,0
2026-01-21,ACB,cart,2026-01-20,daily,1,25.05,24.85,25.07136450506276,25.05,0.0008528744536030864,0.22136450506275906,0.1999999999999993,0.8908028372746843,0.8048289738430555,1,0,0
2026-01-22,ACB,cart,2026-01-21,daily,1,24.85,24.85,24.87119393017204,24.85,0.0008528744536030864,0.021193930172039188,0.0,0.08528744536031865,0.0,0,0,0
2026-01-23,ACB,cart,2026-01-22,daily,1,24.85,25.05,24.87119393017204,24.85,0.0008528744536030864,0.1788060698279601,0.1999999999999993,0.7137966859399605,0.7984031936127716,1,0,1
