ticker,model_name,observations,mae,rmse,mape,directional_accuracy,baseline_mae,baseline_rmse,baseline_mape,baseline_directional_accuracy,beats_naive_baseline,beats_baseline_mae,beats_baseline_rmse,beats_baseline_mape,beats_baseline_directional_accuracy
ACB,cart,65,0.3096581758265862,0.4567790866420443,1.309159245342218,0.46153846153846156,0.29000000000000015,0.43327908930707626,1.2256929761419975,0.6615384615384615,False,False,False,False,False
ACB,lightgbm,65,0.3128534950918203,0.44134053490674413,1.3211072844063563,0.6307692307692307,0.29000000000000015,0.43327908930707626,1.2256929761419975,0.6615384615384615,False,False,False,False,False
ACB,naive_previous_close,65,0.29000000000000015,0.4332790893070762,1.2256929761419972,0.6615384615384615,,,,,False,False,False,False,False
ACB,xgboost,65,0.30185214726496135,0.4330599716495941,1.2750981162607913,0.7076923076923077,0.29000000000000015,0.43327908930707626,1.2256929761419975,0.6615384615384615,False,False,True,False,True
DGC,cart,65,1.956224817757907,2.4684384135186686,3.0382835935575794,0.6,1.9984615384615385,2.483205124895584,3.102162586854054,0.47692307692307695,True,True,True,True,True
DGC,lightgbm,65,2.159647326509838,2.6396880830059164,3.341454492309917,0.4307692307692308,1.9984615384615385,2.483205124895584,3.102162586854054,0.47692307692307695,False,False,False,False,False
DGC,naive_previous_close,65,1.998461538461538,2.483205124895584,3.1021625868540537,0.47692307692307695,,,,,False,False,False,False,False
DGC,xgboost,65,2.0510608934282435,2.6112139507725107,3.175125088763539,0.4307692307692308,1.9984615384615385,2.483205124895584,3.102162586854054,0.47692307692307695,False,False,False,False,False
HPG,cart,65,0.42347456624534996,0.5846396205772729,1.564970004206385,0.5538461538461539,0.41076923076923083,0.58124534737592,1.5170588531261937,0.5538461538461539,False,False,False,False,False
HPG,lightgbm,65,0.44675514591097976,0.6244003828054554,1.6506396638441185,0.5076923076923077,0.41076923076923083,0.58124534737592,1.5170588531261937,0.5538461538461539,False,False,False,False,False
HPG,naive_previous_close,65,0.4107692307692309,0.58124534737592,1.5170588531261935,0.5538461538461539,,,,,False,False,False,False,False
HPG,xgboost,65,0.49411121886864967,0.6573115818621915,1.8241455801814255,0.5230769230769231,0.41076923076923083,0.58124534737592,1.5170588531261937,0.5538461538461539,False,False,False,False,False
MWG,cart,65,1.677307429356014,2.1498904321802192,1.997932574508214,0.5076923076923077,1.6753846153846155,2.1443665013956204,1.9924838895213466,0.5538461538461539,False,False,False,False,False
MWG,lightgbm,65,1.6394851318217485,2.2061631378259587,1.9448073034039237,0.6,1.6753846153846155,2.1443665013956204,1.9924838895213466,0.5538461538461539,True,True,False,True,True
MWG,naive_previous_close,65,1.6753846153846157,2.1443665013956204,1.9924838895213468,0.5538461538461539,,,,,False,False,False,False,False
MWG,xgboost,65,1.6808610362440681,2.1578768053871915,1.9873138856642867,0.5076923076923077,1.6753846153846155,2.1443665013956204,1.9924838895213466,0.5538461538461539,False,False,False,True,False
