model_name,ticker,horizon,horizon_days,algorithm,artifact_type,sequence_length,feature_columns,data_start,data_end,raw_rows,indicator_warmup_rows,target_rows_lost,sequence_rows_lost,final_usable_rows,train_window_start,train_window_end,validation_window_start,validation_window_end,risk_engine_enabled,regime_switching_enabled,accuracy,balanced_accuracy,f1,mae,rmse,residual_std,volatility_proxy_source,cagr,sharpe,sortino,max_drawdown,train_seconds,inference_latency_ms
cart,ACB,daily,1,cart,joblib,,176,2020-01-02,2025-12-31,1494,61,1,0,1493,2020-01-02,2025-02-11,2025-02-12,2025-12-30,False,False,0.4732142857142857,0.5153082163670688,0.5461538461538461,0.010043619021616169,0.01715743982612148,0.0171321647444308,test_residuals_std,-0.3408,-2.04,-2.49,-0.325,0.08681979996617883,0.001523660622686813
cart,DGC,daily,1,cart,joblib,,176,2020-01-02,2025-12-31,1493,61,1,0,1492,2020-01-02,2025-02-11,2025-02-12,2025-12-30,False,False,0.5089285714285714,0.5191982612895436,0.5338983050847458,0.015867804354439432,0.02471109631551792,0.024320283882904713,test_residuals_std,-0.5275,-2.24,-2.44,-0.5499,0.08394139999290928,0.0008821428179674383
cart,HPG,daily,1,cart,joblib,,176,2020-01-02,2025-12-31,1499,61,1,0,1498,2020-01-02,2025-02-10,2025-02-11,2025-12-30,False,False,0.5111111111111111,0.513095238095238,0.5089285714285714,0.013315735641099854,0.019542344423790946,0.019478850504838465,test_residuals_std,-0.2642,-1.26,-1.53,-0.306,0.08116380003048107,0.0007666668130291833
cart,MWG,daily,1,cart,joblib,,176,2020-01-02,2025-12-31,1499,61,1,0,1498,2020-01-02,2025-02-10,2025-02-11,2025-12-30,False,False,0.4888888888888889,0.5044962597485279,0.40414507772020725,0.014687880079418186,0.021270075314736115,0.021189522560270204,test_residuals_std,-0.3546,-2.59,-2.23,-0.3562,0.08356539998203516,0.000771555480443769
lightgbm,ACB,daily,1,lightgbm,joblib,,176,2020-01-02,2025-12-31,1494,61,1,0,1493,2020-01-02,2025-02-11,2025-02-12,2025-12-30,False,False,0.5669642857142857,0.5206024788639908,0.32167832167832167,0.011447637833841496,0.01835742467597098,0.018350700498519137,test_residuals_std,-0.199,-1.24,-0.95,-0.1881,0.6311591999838129,0.012904464321244242
lightgbm,DGC,daily,1,lightgbm,joblib,,176,2020-01-02,2025-12-31,1493,61,1,0,1492,2020-01-02,2025-02-11,2025-02-12,2025-12-30,False,False,0.5,0.49247363760766316,0.42857142857142855,0.015614683494340129,0.02272417149033775,0.0225674835536939,test_residuals_std,-0.4682,-2.11,-2.26,-0.492,0.1733457000227645,0.011093303588235617
lightgbm,HPG,daily,1,lightgbm,joblib,,176,2020-01-02,2025-12-31,1499,61,1,0,1498,2020-01-02,2025-02-10,2025-02-11,2025-12-30,False,False,0.5822222222222222,0.5738095238095238,0.5,0.014057055509231383,0.021012471094397963,0.020924268918967637,test_residuals_std,-0.3551,-1.91,-2.15,-0.373,0.15594319999217987,0.011319555600898134
lightgbm,MWG,daily,1,lightgbm,joblib,,176,2020-01-02,2025-12-31,1499,61,1,0,1498,2020-01-02,2025-02-10,2025-02-11,2025-12-30,False,False,0.5022222222222222,0.5205713830972465,0.3978494623655914,0.015569692293036598,0.022159606833272796,0.021930624350513107,test_residuals_std,-0.0088,0.07,0.07,-0.2311,0.14985809999052435,0.011318222257412143
xgboost,ACB,daily,1,xgboost,joblib,,176,2020-01-02,2025-12-31,1494,61,1,0,1493,2020-01-02,2025-02-11,2025-02-12,2025-12-30,False,False,0.5803571428571429,0.5351719609291636,0.3472222222222222,0.010889032598101771,0.017495163278811784,0.017487222390892825,test_residuals_std,-0.1244,-0.75,-0.78,-0.1402,0.3777293000021018,0.004038392944494262
xgboost,DGC,daily,1,xgboost,joblib,,176,2020-01-02,2025-12-31,1493,61,1,0,1492,2020-01-02,2025-02-11,2025-02-12,2025-12-30,False,False,0.5044642857142857,0.48768413426708523,0.3657142857142857,0.015713749675033823,0.023170672975388027,0.022912490605819177,test_residuals_std,-0.4513,-2.6,-2.38,-0.4597,0.417104400054086,0.004765178476061139
xgboost,HPG,daily,1,xgboost,joblib,,176,2020-01-02,2025-12-31,1499,61,1,0,1498,2020-01-02,2025-02-10,2025-02-11,2025-12-30,False,False,0.52,0.5077380952380952,0.38636363636363635,0.014272439336263388,0.021495637777940283,0.02148340332506537,test_residuals_std,-0.2601,-1.31,-1.37,-0.2981,0.44751969998469576,0.004585777771555715
xgboost,MWG,daily,1,xgboost,joblib,,176,2020-01-02,2025-12-31,1499,61,1,0,1498,2020-01-02,2025-02-10,2025-02-11,2025-12-30,False,False,0.48,0.49554353016075126,0.39378238341968913,0.015374789966226595,0.022081151651770936,0.021863602409509374,test_residuals_std,0.26,1.13,1.4,-0.187,0.43447889998788014,0.005453333206888702
