horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
3d,bull,cart,0.50-0.55,0,,,
3d,bull,cart,0.55-0.60,0,,,
3d,bull,cart,0.60-0.65,0,,,
3d,bull,cart,0.65+,51,1.0,0.37254901960784315,-0.6274509803921569
3d,bull,cart,lt_0.50,69,0.0,0.3333333333333333,0.3333333333333333
3d,bull,lightgbm,0.50-0.55,1,0.5428840476039714,0.0,-0.5428840476039714
3d,bull,lightgbm,0.55-0.60,0,,,
3d,bull,lightgbm,0.60-0.65,3,0.6265361709680892,0.0,-0.6265361709680892
3d,bull,lightgbm,0.65+,25,0.8268336858121813,0.52,-0.3068336858121813
3d,bull,lightgbm,lt_0.50,91,0.12422043177209835,0.31868131868131866,0.1944608869092203
3d,bull,xgboost,0.50-0.55,5,0.5230232357978821,0.4,-0.1230232357978821
3d,bull,xgboost,0.55-0.60,4,0.5672639608383179,0.25,-0.31726396083831787
3d,bull,xgboost,0.60-0.65,3,0.6404207150141398,0.6666666666666666,0.026245951652526855
3d,bull,xgboost,0.65+,18,0.7957801487710741,0.4444444444444444,-0.35133570432662964
3d,bull,xgboost,lt_0.50,90,0.18092659862918986,0.32222222222222224,0.14129562359303238
3d,sideway,cart,0.50-0.55,0,,,
3d,sideway,cart,0.55-0.60,0,,,
3d,sideway,cart,0.60-0.65,0,,,
3d,sideway,cart,0.65+,25,1.0,0.6,-0.4
3d,sideway,cart,lt_0.50,23,0.0,0.5217391304347826,0.5217391304347826
3d,sideway,lightgbm,0.50-0.55,2,0.514460412605691,0.0,-0.514460412605691
3d,sideway,lightgbm,0.55-0.60,2,0.5814502077379917,1.0,0.4185497922620083
3d,sideway,lightgbm,0.60-0.65,2,0.6369692675292649,1.0,0.36303073247073514
3d,sideway,lightgbm,0.65+,8,0.8197521183995701,0.5,-0.3197521183995701
3d,sideway,lightgbm,lt_0.50,34,0.21652085813528263,0.5588235294117647,0.34230267127648206
3d,sideway,xgboost,0.50-0.55,5,0.5213181018829346,0.6,0.07868189811706539
3d,sideway,xgboost,0.55-0.60,3,0.5700353582700094,0.6666666666666666,0.09663130839665723
3d,sideway,xgboost,0.60-0.65,5,0.6187995433807373,0.6,-0.018799543380737305
3d,sideway,xgboost,0.65+,12,0.7682007700204849,0.75,-0.018200770020484924
3d,sideway,xgboost,lt_0.50,23,0.249945056827172,0.43478260869565216,0.18483755186848017
