model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,71,0.0,0.4788732394366197,0.4788732394366197
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,77,1.0,0.44155844155844154,-0.5584415584415585
lightgbm,lt_0.50,0.0,0.5,56,0.2723593619171165,0.4642857142857143,0.19192635236859779
lightgbm,0.50-0.55,0.5,0.55,5,0.5250591247510435,0.4,-0.12505912475104353
lightgbm,0.55-0.60,0.55,0.6,11,0.5753932752665191,0.18181818181818182,-0.39357509344833724
lightgbm,0.60-0.65,0.6,0.65,7,0.6243810952515563,0.7142857142857143,0.08990461903415803
lightgbm,0.65+,0.65,1.0,69,0.8399226433271019,0.4782608695652174,-0.36166177376188446
xgboost,lt_0.50,0.0,0.5,58,0.2901123261143421,0.43103448275862066,0.14092215664427854
xgboost,0.50-0.55,0.5,0.55,8,0.5285964533686638,0.5,-0.028596453368663788
xgboost,0.55-0.60,0.55,0.6,7,0.5817003335271563,0.2857142857142857,-0.29598604781287063
xgboost,0.60-0.65,0.6,0.65,6,0.6190791527430216,0.5,-0.11907915274302161
xgboost,0.65+,0.65,1.0,69,0.8036958134692648,0.4927536231884058,-0.31094219028085895
