ticker,chunk_start,chunk_end,granularity,exception_type,exception_message
CTG,2022-01-01,2022-12-31,year,ProviderFetchError,"CTG: no provider/source returned validated OHLCV rows; failures=[{'symbol': 'CTG', 'provider': 'vnstock_data', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac4ae50 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'KBS', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cacccad0 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252caccfad0 state=finished raised ValueError>]'}]"
CTG,2022-12-01,2022-12-31,month,ProviderFetchError,"CTG: no provider/source returned validated OHLCV rows; failures=[{'symbol': 'CTG', 'provider': 'vnstock_data', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252caccd650 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'KBS', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac808d0 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac817d0 state=finished raised ValueError>]'}]"
CTG,2022-12-27,2022-12-31,5day,ProviderFetchError,"CTG: no provider/source returned validated OHLCV rows; failures=[{'symbol': 'CTG', 'provider': 'vnstock_data', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac4a150 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'KBS', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac18b50 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac816d0 state=finished raised ValueError>]'}]"
CTG,2022-12-31,2022-12-31,1day,ProviderFetchError,"CTG: no provider/source returned validated OHLCV rows; failures=[{'symbol': 'CTG', 'provider': 'vnstock_data', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252caccf650 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'KBS', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac4b750 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cacce0d0 state=finished raised ValueError>]'}]"
CTG,2022-12-30,2022-12-30,1day,ProviderFetchError,"CTG: no provider/source returned validated OHLCV rows; failures=[{'symbol': 'CTG', 'provider': 'vnstock_data', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252caccc050 state=finished raised ConnectionError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'KBS', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252caccdcd0 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac4b8d0 state=finished raised ValueError>]'}]"
CTG,2022-12-29,2022-12-29,1day,ProviderFetchError,"CTG: no provider/source returned validated OHLCV rows; failures=[{'symbol': 'CTG', 'provider': 'vnstock_data', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac832d0 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'KBS', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac81cd0 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac195d0 state=finished raised ValueError>]'}]"
CTG,2022-12-28,2022-12-28,1day,ProviderFetchError,"CTG: no provider/source returned validated OHLCV rows; failures=[{'symbol': 'CTG', 'provider': 'vnstock_data', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac81350 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'KBS', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac83b50 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac4a0d0 state=finished raised ValueError>]'}]"
CTG,2022-12-27,2022-12-27,1day,ProviderFetchError,"CTG: no provider/source returned validated OHLCV rows; failures=[{'symbol': 'CTG', 'provider': 'vnstock_data', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252caccf850 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'KBS', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252caccd9d0 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252caccd1d0 state=finished raised ValueError>]'}]"
CTG,2022-12-22,2022-12-26,5day,ProviderFetchError,"CTG: no provider/source returned validated OHLCV rows; failures=[{'symbol': 'CTG', 'provider': 'vnstock_data', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cac4a3d0 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'KBS', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cabde950 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cabdca50 state=finished raised ValueError>]'}]"
CTG,2022-12-26,2022-12-26,1day,ProviderFetchError,"CTG: no provider/source returned validated OHLCV rows; failures=[{'symbol': 'CTG', 'provider': 'vnstock_data', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cad3ff50 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'KBS', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cad3d150 state=finished raised ValueError>]'}, {'symbol': 'CTG', 'provider': 'legacy_vnstock', 'source': 'VCI', 'error_type': 'RetryError', 'error_message': 'RetryError[<Future at 0x252cad3d750 state=finished raised ValueError>]'}]"
