ticker,model_name,observations,mae,rmse,mape,directional_accuracy
ACB,cart,65,0.02011268352072202,0.025713694878147102,103.28857496094288,0.6
ACB,lightgbm,65,0.02536553050463659,0.030933857670795345,206.8656270969976,0.5230769230769231
ACB,xgboost,65,0.024793337694196074,0.029949503447538637,201.21696975824776,0.47692307692307695
DGC,cart,65,0.07593489186510767,0.0916854201168073,549.2752784219049,0.4153846153846154
DGC,lightgbm,65,0.059789967513510726,0.07937376857165372,247.6276340401818,0.46153846153846156
DGC,xgboost,65,0.056890202911905066,0.0757782288302499,226.22228587141754,0.46153846153846156
HPG,cart,65,0.027825630263463325,0.03455725436241545,128.83748478006117,0.5538461538461539
HPG,lightgbm,65,0.03661627744968952,0.04415870884364673,261.89433550354806,0.4461538461538462
HPG,xgboost,65,0.030425504754578895,0.03791605734613666,184.7214580548132,0.46153846153846156
MWG,cart,65,0.038734835132478836,0.05178605159118635,233.86072616722907,0.47692307692307695
MWG,lightgbm,65,0.04011224275732465,0.04878230276959829,395.7564790574951,0.5230769230769231
MWG,xgboost,65,0.03951814321356969,0.048183973241386825,348.0193838210393,0.5538461538461539
OVERALL,cart,260,0.04065201019544296,0.05688455268074892,256.2549770801881,0.5115384615384615
OVERALL,lightgbm,260,0.04047100455629037,0.053821007324989255,278.6907683644666,0.48846153846153845
OVERALL,xgboost,260,0.03790679714356243,0.050986849783561966,240.23066303923386,0.48846153846153845
