horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
20d,bull,cart,0.50-0.55,0,,,
20d,bull,cart,0.55-0.60,0,,,
20d,bull,cart,0.60-0.65,0,,,
20d,bull,cart,0.65+,18,1.0,0.5555555555555556,-0.4444444444444444
20d,bull,cart,lt_0.50,22,0.0,0.18181818181818182,0.18181818181818182
20d,bull,lightgbm,0.50-0.55,1,0.5250044956155197,1.0,0.47499550438448035
20d,bull,lightgbm,0.55-0.60,1,0.5558783849182092,1.0,0.4441216150817908
20d,bull,lightgbm,0.60-0.65,3,0.6198860499874196,0.0,-0.6198860499874196
20d,bull,lightgbm,0.65+,13,0.9442152506441837,0.6153846153846154,-0.32883063525956824
20d,bull,lightgbm,lt_0.50,22,0.025698208718755586,0.18181818181818182,0.15611997309942624
20d,bull,xgboost,0.50-0.55,2,0.5323269665241241,0.5,-0.032326966524124146
20d,bull,xgboost,0.55-0.60,0,,,
20d,bull,xgboost,0.60-0.65,1,0.6228500008583069,0.0,-0.6228500008583069
20d,bull,xgboost,0.65+,16,0.7904791794717312,0.5625,-0.22797917947173119
20d,bull,xgboost,lt_0.50,21,0.14210991326364728,0.19047619047619047,0.04836627721254319
20d,sideway,cart,0.50-0.55,0,,,
20d,sideway,cart,0.55-0.60,0,,,
20d,sideway,cart,0.60-0.65,0,,,
20d,sideway,cart,0.65+,58,1.0,0.3793103448275862,-0.6206896551724138
20d,sideway,cart,lt_0.50,78,0.0,0.21794871794871795,0.21794871794871795
20d,sideway,lightgbm,0.50-0.55,0,,,
20d,sideway,lightgbm,0.55-0.60,1,0.5598311287485996,1.0,0.44016887125140036
20d,sideway,lightgbm,0.60-0.65,2,0.6156174177867951,0.0,-0.6156174177867951
20d,sideway,lightgbm,0.65+,46,0.8964582015399174,0.3695652173913043,-0.5268929841486131
20d,sideway,lightgbm,lt_0.50,87,0.04262833349233925,0.2413793103448276,0.19875097685248835
20d,sideway,xgboost,0.50-0.55,2,0.530747652053833,0.5,-0.030747652053833008
20d,sideway,xgboost,0.55-0.60,3,0.5760523279507955,0.0,-0.5760523279507955
20d,sideway,xgboost,0.60-0.65,2,0.6386161744594574,0.5,-0.1386161744594574
20d,sideway,xgboost,0.65+,44,0.8172505308281292,0.38636363636363635,-0.4308868944644928
20d,sideway,xgboost,lt_0.50,85,0.10975668173392902,0.23529411764705882,0.1255374359131298
