horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
3d,bull,cart,combined_rank_based,rank_based_joint_score,1,,,22,22,0.0007069239398284733,0.36363636363636365,0.36363636363636365,0.22857142857142856,0.9142857142857144
3d,bull,cart,combined_rank_based,rank_based_joint_score,3,,,22,66,0.002720441468268051,0.36363636363636365,0.36363636363636365,0.6857142857142857,0.9142857142857144
3d,bull,cart,combined_rank_based,rank_based_joint_score,5,,,22,88,0.005150798960670163,0.3977272727272727,0.3977272727272727,1.0,1.0
3d,bull,cart,combined_weighted_linear,combined_score,1,,,22,22,0.005734779234409868,0.5,0.5,0.3142857142857143,1.2571428571428571
3d,bull,cart,combined_weighted_linear,combined_score,3,,,22,66,0.0027204414682680516,0.36363636363636365,0.36363636363636365,0.6857142857142857,0.9142857142857144
3d,bull,cart,combined_weighted_linear,combined_score,5,,,22,88,0.005150798960670163,0.3977272727272727,0.3977272727272727,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.5,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.55,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.6,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.65,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.5,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.55,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.6,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.65,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.5,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.55,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.6,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.65,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.5,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.55,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.6,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.65,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.5,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.55,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.6,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.65,8,8,0.00705553241310225,0.5,0.5,1.0,1.0
