component,regime,model_name,horizon,fold_win_count,folds_observed,win_rate,average_rank,rank_std,stability_level
classification_model,bear,lightgbm,5d,1,2,0.5,3.0,2.0,medium
classification_model,bear,cart,3d,1,2,0.5,4.5,3.5,medium
classification_model,bull,cart,20d,2,5,0.4,2.8,1.8330302779823362,low
classification_model,bull,lightgbm,20d,1,5,0.2,2.6,1.8547236990991407,low
classification_model,bull,xgboost,20d,1,5,0.2,2.8,1.7204650534085253,low
classification_model,bull,cart,3d,1,5,0.2,3.5,1.5,low
classification_model,sideway,xgboost,20d,2,5,0.4,3.2,2.0396078054371136,low
classification_model,sideway,cart,20d,1,5,0.2,2.0,0.6324555320336759,low
classification_model,sideway,cart,5d,1,5,0.2,4.8,2.785677655436824,low
classification_model,sideway,cart,3d,1,5,0.2,6.0,2.6832815729997477,low
regression_model,bear,lightgbm,3d,1,2,0.5,1.5,0.5,medium
regression_model,bear,xgboost,3d,1,2,0.5,1.5,0.5,medium
regression_model,bull,xgboost,3d,2,5,0.4,2.0,1.224744871391589,low
regression_model,bull,lightgbm,3d,1,5,0.2,1.75,0.4330127018922193,low
regression_model,bull,lightgbm,5d,1,5,0.2,3.25,1.479019945774904,low
regression_model,bull,xgboost,20d,1,5,0.2,7.0,3.03315017762062,low
regression_model,sideway,xgboost,3d,3,5,0.6,1.4,0.4898979485566356,medium
regression_model,sideway,lightgbm,3d,2,5,0.4,1.8,0.7483314773547883,low
