component,regime,horizon,fold_win_count,folds_observed,win_rate,stability_level
classification_horizon,bear,3d,1,2,0.5,medium
classification_horizon,bear,5d,1,2,0.5,medium
classification_horizon,bull,20d,4,5,0.8,high
classification_horizon,bull,3d,1,5,0.2,low
classification_horizon,sideway,20d,3,5,0.6,medium
classification_horizon,sideway,3d,1,5,0.2,low
classification_horizon,sideway,5d,1,5,0.2,low
combined_horizon,bear,3d,1,2,0.5,medium
combined_horizon,bear,5d,1,2,0.5,medium
combined_horizon,bull,20d,2,5,0.4,low
combined_horizon,bull,3d,2,5,0.4,low
combined_horizon,bull,5d,1,5,0.2,low
combined_horizon,sideway,5d,3,5,0.6,medium
combined_horizon,sideway,20d,1,5,0.2,low
combined_horizon,sideway,3d,1,5,0.2,low
regression_horizon,bear,3d,2,2,1.0,high
regression_horizon,bull,3d,3,5,0.6,medium
regression_horizon,bull,20d,1,5,0.2,low
regression_horizon,bull,5d,1,5,0.2,low
regression_horizon,sideway,3d,5,5,1.0,high
