regime,ranking_method,model_name,horizon,fold_win_count,folds_observed,win_rate,average_profit_rate,average_actual_return,stability_level
bear,combined_weighted_linear_gated,xgboost,3d,2,3,0.6666666666666666,0.8571428571428572,0.031405270438521496,medium
bear,combined_weighted_linear_gated,cart,5d,1,3,0.3333333333333333,1.0,0.0455151756104491,low
bear,combined_weighted_linear_gated,lightgbm,3d,1,3,0.3333333333333333,1.0,0.0361005331302359,low
bear,combined_weighted_linear_gated,lightgbm,5d,1,3,0.3333333333333333,1.0,0.0455151756104491,low
bear,combined_weighted_linear_gated,xgboost,5d,1,3,0.3333333333333333,1.0,0.0455151756104491,low
bull,combined_weighted_linear_gated,lightgbm,3d,2,6,0.3333333333333333,1.0,0.02245532955511515,low
bull,combined_weighted_linear_gated,cart,3d,2,6,0.3333333333333333,0.7857142857142857,0.010555210455297899,low
bull,combined_weighted_linear_gated,xgboost,3d,1,6,0.16666666666666666,1.0,0.0078736220731931,low
bull,combined_weighted_linear_gated,xgboost,5d,1,6,0.16666666666666666,1.0,0.0240725770232641,low
bull,combined_weighted_linear_gated,xgboost,20d,1,6,0.16666666666666666,0.8888888888888888,0.1012843155417843,low
bull,combined_weighted_linear_gated,lightgbm,20d,1,6,0.16666666666666666,0.6363636363636364,0.0235166740692984,low
sideway,combined_weighted_linear_gated,lightgbm,3d,2,6,0.3333333333333333,0.8461538461538461,0.016405502893483602,low
sideway,combined_weighted_linear_gated,lightgbm,5d,1,6,0.16666666666666666,1.0,0.0678606962470367,low
sideway,combined_weighted_linear_gated,xgboost,3d,1,6,0.16666666666666666,1.0,0.0249882131070249,low
sideway,combined_weighted_linear_gated,xgboost,5d,1,6,0.16666666666666666,1.0,0.0309160704039735,low
sideway,combined_rank_based,lightgbm,20d,1,6,0.16666666666666666,0.75,0.0392516319763032,low
sideway,combined_rank_based,xgboost,20d,1,6,0.16666666666666666,0.75,0.0392516319763032,low
sideway,combined_weighted_linear,lightgbm,20d,1,6,0.16666666666666666,0.75,0.0392516319763032,low
sideway,combined_weighted_linear,xgboost,20d,1,6,0.16666666666666666,0.75,0.0392516319763032,low
sideway,combined_weighted_linear_gated,lightgbm,20d,1,6,0.16666666666666666,0.75,0.0392516319763032,low
sideway,combined_weighted_linear_gated,xgboost,20d,1,6,0.16666666666666666,0.75,0.0392516319763032,low
sideway,predicted_profit_probability,lightgbm,20d,1,6,0.16666666666666666,0.75,0.0392516319763032,low
sideway,predicted_profit_probability,xgboost,20d,1,6,0.16666666666666666,0.75,0.0374437458677176,low
sideway,predicted_return,lightgbm,20d,1,6,0.16666666666666666,0.75,0.0392516319763032,low
sideway,predicted_return,xgboost,20d,1,6,0.16666666666666666,0.75,0.0392516319763032,low
sideway,combined_weighted_linear_gated,cart,5d,1,6,0.16666666666666666,0.36,-0.0042433772333658,low
