ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,36,0.5833333333333334,0.5555555555555556,0.3125,0.4,0.55625,0.5555555555555556,16,4,11,5
ACB,lightgbm,36,0.6388888888888888,0.8,0.25,0.38095238095238093,0.85,0.8,19,1,12,4
ACB,xgboost,36,0.6388888888888888,1.0,0.1875,0.3157894736842105,0.825,1.0,20,0,13,3
DGC,cart,36,0.3055555555555556,0.2727272727272727,0.9,0.4186046511627907,0.48846153846153845,0.2727272727272727,2,24,1,9
DGC,lightgbm,36,0.3888888888888889,0.2,0.4,0.26666666666666666,0.35,0.2,10,16,6,4
DGC,xgboost,36,0.4166666666666667,0.07692307692307693,0.1,0.08695652173913043,0.3653846153846154,0.07692307692307693,14,12,9,1
HPG,cart,36,0.6944444444444444,0.0,0.0,0.0,0.46296296296296297,0.0,25,2,9,0
HPG,lightgbm,36,0.16666666666666666,0.08,0.2222222222222222,0.11764705882352941,0.06584362139917696,0.08,4,23,7,2
HPG,xgboost,36,0.25,0.125,0.3333333333333333,0.18181818181818182,0.1646090534979424,0.125,6,21,6,3
MWG,cart,36,0.3888888888888889,0.22727272727272727,0.5,0.3125,0.423076923076923,0.22727272727272727,9,17,5,5
MWG,lightgbm,36,0.3888888888888889,0.3125,1.0,0.47619047619047616,0.6461538461538462,0.3125,4,22,0,10
MWG,xgboost,36,0.3055555555555556,0.2727272727272727,0.9,0.4186046511627907,0.3653846153846154,0.2727272727272727,2,24,1,9
OVERALL,cart,144,0.4930555555555556,0.2878787878787879,0.4222222222222222,0.34234234234234234,0.4737373737373738,0.2878787878787879,52,47,26,19
OVERALL,lightgbm,144,0.3958333333333333,0.24390243902439024,0.4444444444444444,0.31496062992125984,0.41885521885521887,0.24390243902439024,37,62,25,20
OVERALL,xgboost,144,0.4027777777777778,0.2191780821917808,0.35555555555555557,0.2711864406779661,0.3921436588103255,0.2191780821917808,42,57,29,16
