date,ticker,model_name,prediction_date,entry_date,target_date,horizon,horizon_days,actual_net_trade_return,actual_profit_label,predicted_profit_label,predicted_profit_probability
2024-12-23,ACB,cart,2024-12-16,2024-12-17,2024-12-23,5d,5,-0.02109441598953421,0,0,0.0
2024-12-24,ACB,cart,2024-12-17,2024-12-18,2024-12-24,5d,5,-0.01685876682795051,0,0,0.0
2024-12-25,ACB,cart,2024-12-18,2024-12-19,2024-12-25,5d,5,0.008681273450234395,1,0,0.0
2024-12-26,ACB,cart,2024-12-19,2024-12-20,2024-12-26,5d,5,0.021246206677399737,1,0,0.0
2024-12-27,ACB,cart,2024-12-20,2024-12-23,2024-12-27,5d,5,0.021246206677399737,1,0,0.0
2024-12-30,ACB,cart,2024-12-23,2024-12-24,2024-12-30,5d,5,0.013075869073626789,1,0,0.0
2024-12-31,ACB,cart,2024-12-24,2024-12-25,2024-12-31,5d,5,0.02487345034361521,1,1,1.0
2025-01-02,ACB,cart,2024-12-25,2024-12-26,2025-01-02,5d,5,-0.0009034700279970664,0,0,0.0
2025-01-03,ACB,cart,2024-12-26,2024-12-27,2025-01-03,5d,5,-0.02647396105216604,0,0,0.0
2025-01-06,ACB,cart,2024-12-27,2024-12-30,2025-01-06,5d,5,-0.028542687938767575,0,0,0.0
2025-01-07,ACB,cart,2024-12-30,2024-12-31,2025-01-07,5d,5,-0.022418472199328687,0,0,0.0
2025-01-08,ACB,cart,2024-12-31,2025-01-02,2025-01-08,5d,5,-0.03018793735716485,0,0,0.0
2025-01-09,ACB,cart,2025-01-02,2025-01-03,2025-01-09,5d,5,-0.028411119505007854,0,0,0.0
2025-01-10,ACB,cart,2025-01-03,2025-01-06,2025-01-10,5d,5,-0.018859554030972947,0,0,0.0
2025-01-13,ACB,cart,2025-01-06,2025-01-07,2025-01-13,5d,5,-0.008892621000244239,0,1,1.0
2025-01-14,ACB,cart,2025-01-07,2025-01-08,2025-01-14,5d,5,-0.020760989003781094,0,0,0.0
2025-01-15,ACB,cart,2025-01-08,2025-01-09,2025-01-15,5d,5,-0.009356938963029804,0,0,0.0
2025-01-16,ACB,cart,2025-01-09,2025-01-10,2025-01-16,5d,5,-0.008885247786593053,0,1,1.0
2025-01-17,ACB,cart,2025-01-10,2025-01-13,2025-01-17,5d,5,0.011458673343833992,1,1,1.0
2025-01-20,ACB,cart,2025-01-13,2025-01-14,2025-01-20,5d,5,0.0031083181784450353,1,1,1.0
2025-01-21,ACB,cart,2025-01-14,2025-01-15,2025-01-21,5d,5,-0.0026705663127033485,0,1,1.0
2025-01-22,ACB,cart,2025-01-15,2025-01-16,2025-01-22,5d,5,-0.006975585450921806,0,0,0.0
2025-01-23,ACB,cart,2025-01-16,2025-01-17,2025-01-23,5d,5,0.01120116202155641,1,1,1.0
2025-01-24,ACB,cart,2025-01-17,2025-01-20,2025-01-24,5d,5,0.00874134772899171,1,0,0.0
2025-02-03,ACB,cart,2025-01-20,2025-01-21,2025-02-03,5d,5,-0.005077784371993688,0,0,0.0
2025-02-04,ACB,cart,2025-01-21,2025-01-22,2025-02-04,5d,5,0.0030069481563212985,1,0,0.0
2025-02-05,ACB,cart,2025-01-22,2025-01-23,2025-02-05,5d,5,0.013075869073626789,1,0,0.0
2025-02-06,ACB,cart,2025-01-23,2025-01-24,2025-02-06,5d,5,0.005289799241845916,1,0,0.0
2025-02-07,ACB,cart,2025-01-24,2025-02-03,2025-02-07,5d,5,0.01864472911460635,1,0,0.0
2025-02-10,ACB,cart,2025-02-03,2025-02-04,2025-02-10,5d,5,0.01467328804161716,1,0,0.0
2025-02-11,ACB,cart,2025-02-04,2025-02-05,2025-02-11,5d,5,0.01655579878009905,1,1,1.0
2025-02-12,ACB,cart,2025-02-05,2025-02-06,2025-02-12,5d,5,-0.0013837070020297215,0,1,1.0
2025-02-13,ACB,cart,2025-02-06,2025-02-07,2025-02-13,5d,5,0.0004802524809341957,1,0,0.0
2025-02-14,ACB,cart,2025-02-07,2025-02-10,2025-02-14,5d,5,-0.003268541439539141,0,0,0.0
2025-02-17,ACB,cart,2025-02-10,2025-02-11,2025-02-17,5d,5,-0.008814519551938793,0,0,0.0
2025-02-18,ACB,cart,2025-02-11,2025-02-12,2025-02-18,5d,5,-0.012941074078064885,0,0,0.0
2024-12-23,ACB,lightgbm,2024-12-16,2024-12-17,2024-12-23,5d,5,-0.02109441598953421,0,0,0.06743497112303708
2024-12-24,ACB,lightgbm,2024-12-17,2024-12-18,2024-12-24,5d,5,-0.01685876682795051,0,0,0.03579636781107346
2024-12-25,ACB,lightgbm,2024-12-18,2024-12-19,2024-12-25,5d,5,0.008681273450234395,1,0,0.3810808419009873
2024-12-26,ACB,lightgbm,2024-12-19,2024-12-20,2024-12-26,5d,5,0.021246206677399737,1,1,0.7702952660080211
2024-12-27,ACB,lightgbm,2024-12-20,2024-12-23,2024-12-27,5d,5,0.021246206677399737,1,1,0.6637048064949209
2024-12-30,ACB,lightgbm,2024-12-23,2024-12-24,2024-12-30,5d,5,0.013075869073626789,1,1,0.6139263115170914
2024-12-31,ACB,lightgbm,2024-12-24,2024-12-25,2024-12-31,5d,5,0.02487345034361521,1,0,0.3422352430010982
2025-01-02,ACB,lightgbm,2024-12-25,2024-12-26,2025-01-02,5d,5,-0.0009034700279970664,0,0,0.3635950657334822
2025-01-03,ACB,lightgbm,2024-12-26,2024-12-27,2025-01-03,5d,5,-0.02647396105216604,0,0,0.18630409745146506
2025-01-06,ACB,lightgbm,2024-12-27,2024-12-30,2025-01-06,5d,5,-0.028542687938767575,0,0,0.08866695874790784
2025-01-07,ACB,lightgbm,2024-12-30,2024-12-31,2025-01-07,5d,5,-0.022418472199328687,0,0,0.032457366904013275
2025-01-08,ACB,lightgbm,2024-12-31,2025-01-02,2025-01-08,5d,5,-0.03018793735716485,0,0,0.043401246654824754
2025-01-09,ACB,lightgbm,2025-01-02,2025-01-03,2025-01-09,5d,5,-0.028411119505007854,0,1,0.5374294157890821
2025-01-10,ACB,lightgbm,2025-01-03,2025-01-06,2025-01-10,5d,5,-0.018859554030972947,0,0,0.06599784866651291
2025-01-13,ACB,lightgbm,2025-01-06,2025-01-07,2025-01-13,5d,5,-0.008892621000244239,0,0,0.025046728873999086
2025-01-14,ACB,lightgbm,2025-01-07,2025-01-08,2025-01-14,5d,5,-0.020760989003781094,0,0,0.04417616284196493
