horizon,ticker,model_name,regression_observations,regression_mae,regression_rmse,regression_mape,regression_directional_accuracy,classification_observations,classification_accuracy,classification_precision,classification_recall,classification_f1,classification_roc_auc,classification_positive_class_precision,classification_true_negative,classification_false_positive,classification_false_negative,classification_true_positive
20d,ACB,cart,37,0.0814801167403263,0.09245682576267895,485.3933801535975,0.7837837837837838,37,0.8108108108108109,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.6865079365079365,0.8387096774193549,4,5,2,26
20d,ACB,lightgbm,37,0.05081671766998153,0.06081888323110931,223.51585596352118,0.8108108108108109,37,0.7837837837837838,0.7941176470588235,0.9642857142857143,0.8709677419354839,0.873015873015873,0.7941176470588235,2,7,1,27
20d,ACB,xgboost,37,0.049118783220023665,0.056006109080727486,257.68197292280183,0.8108108108108109,37,0.8108108108108109,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.8214285714285715,0.8181818181818182,3,6,1,27
20d,DGC,cart,37,0.33624216235730114,0.34293209354823806,4577.777698073089,0.13513513513513514,37,0.10810810810810811,0.10810810810810811,1.0,0.1951219512195122,0.5,0.10810810810810811,0,33,0,4
20d,DGC,lightgbm,37,0.3905617923533934,0.3945057351563155,5912.508488288971,0.13513513513513514,37,0.10810810810810811,0.10810810810810811,1.0,0.1951219512195122,0.23484848484848486,0.10810810810810811,0,33,0,4
20d,DGC,xgboost,37,0.3881807573815963,0.39215083574422643,5738.962435041529,0.13513513513513514,37,0.10810810810810811,0.10810810810810811,1.0,0.1951219512195122,0.303030303030303,0.10810810810810811,0,33,0,4
20d,HPG,cart,37,0.11382436355638491,0.12853872766965427,419.66858808157326,0.6216216216216216,37,0.7027027027027027,0.8461538461538461,0.7586206896551724,0.8,0.6293103448275862,0.8461538461538461,4,4,7,22
20d,HPG,lightgbm,37,0.07082381281416163,0.08476319020280668,315.4157580562914,0.7837837837837838,37,0.7837837837837838,0.7837837837837838,1.0,0.8787878787878788,0.8232758620689655,0.7837837837837838,0,8,0,29
20d,HPG,xgboost,37,0.07160334612758365,0.08397525885181188,305.1158230117595,0.7837837837837838,37,0.8108108108108109,0.8055555555555556,1.0,0.8923076923076924,0.8405172413793104,0.8055555555555556,1,7,0,29
20d,MWG,cart,37,0.1146915247672991,0.1356281395288066,425.16370313605086,0.4864864864864865,37,0.6756756756756757,0.6,0.42857142857142855,0.5,0.6273291925465838,0.6,19,4,8,6
