date,ticker,horizon,model_name,actual_return,predicted_return,actual_profit_label,predicted_profit_label,predicted_profit_probability
2023-01-03,ACB,20d,cart,-0.03829479768786126,0.04121110176619003,0,0,0.0
2023-01-04,ACB,20d,cart,0.016067329762815552,0.22196442382057247,0,1,1.0
2023-01-05,ACB,20d,cart,0.025248661055853105,0.018479033404406486,1,1,1.0
2023-01-06,ACB,20d,cart,0.021837349397590522,0.15532425940752592,1,1,1.0
2023-01-09,ACB,20d,cart,0.0022205773501109416,0.1380686352753393,0,1,1.0
2023-01-10,ACB,20d,cart,0.04245640636846093,0.15532425940752592,1,1,1.0
2023-01-11,ACB,20d,cart,0.050333086602516675,0.1380686352753393,1,1,1.0
2023-01-12,ACB,20d,cart,0.05821665438467205,0.1380686352753393,1,1,1.0
2023-01-13,ACB,20d,cart,0.04117647058823537,0.1380686352753393,1,1,1.0
2023-01-16,ACB,20d,cart,0.08753709198813064,0.15532425940752592,1,1,1.0
2023-01-17,ACB,20d,cart,0.11169415292353824,0.15532425940752592,1,1,1.0
2023-01-18,ACB,20d,cart,0.13086232980332824,0.013157894736842035,1,1,1.0
2023-01-19,ACB,20d,cart,0.1398653702318624,0.15532425940752592,1,1,1.0
2023-01-27,ACB,20d,cart,0.15126676602086442,0.1380686352753393,1,1,1.0
2023-01-30,ACB,20d,cart,0.10953800298062588,0.1380686352753393,1,1,1.0
2023-01-31,ACB,20d,cart,0.1782407407407407,0.026785714285714413,1,1,1.0
2023-02-01,ACB,20d,cart,0.1396604938271604,0.026785714285714413,1,1,1.0
2023-02-02,ACB,20d,cart,0.13643410852713167,0.02419882275997387,1,1,1.0
2023-02-03,ACB,20d,cart,0.11317829457364326,0.026785714285714413,1,1,1.0
2023-02-06,ACB,20d,cart,0.1370716510903427,0.1460423634336676,1,1,1.0
2023-02-07,ACB,20d,cart,0.08339594290007502,0.21802325581395343,1,0,0.0
2023-02-08,ACB,20d,cart,0.08810240963855431,0.1542247744052503,1,1,1.0
2023-02-09,ACB,20d,cart,0.07164179104477597,0.11578112609040447,1,0,0.0
2023-02-10,ACB,20d,cart,0.04568901989683116,-0.01615271659324513,1,1,1.0
2023-02-13,ACB,20d,cart,0.03471196454948311,0.004243281471004057,1,1,1.0
2023-02-14,ACB,20d,cart,0.016727272727272702,0.10996835443037956,1,1,1.0
2023-02-15,ACB,20d,cart,0.014094432699083947,0.1081777205408887,1,1,1.0
2023-02-16,ACB,20d,cart,0.012534818941504211,0.08164556962025316,1,1,1.0
