ticker,has_daily_cache_file,has_hourly_cache_file,daily_cache_rows,hourly_cache_rows,daily_cache_first_date,daily_cache_last_date,hourly_cache_first_date,hourly_cache_last_date,official_daily_actual_start,official_daily_actual_end,official_hourly_actual_start,official_hourly_actual_end,daily_pre_eval_rows,daily_eval_rows,hourly_pre_eval_rows,hourly_eval_rows,daily_benchmark_usable_2025,hourly_benchmark_usable_2025,benchmark_usable_2025,benchmark_usable_frequency,effective_daily_start,effective_daily_end,effective_hourly_start,effective_hourly_end,missing_data_reason,can_enter_expanded_benchmark
AAA,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
ACB,True,True,248,1296,2015-01-05,2015-12-31,,,2015-01-05,2015-12-31,2024-01-02,2025-12-31,248,0,431,450,False,False,False,,2015-01-05,2015-12-31,2024-01-02,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:pre_eval_rows_below_min:431<500; eval_rows_below_min:450<500,False
ANV,True,True,248,2648,2015-01-05,2015-12-31,,,2015-01-05,2015-12-31,2024-01-02,2025-12-31,248,0,1001,1232,False,True,True,hourly,2015-01-05,2015-12-31,2024-01-02,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60,True
ASM,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
BAF,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
BCG,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
BCM,False,True,0,2649,,,,,,,2024-01-02,2025-12-31,0,0,1001,1233,False,True,True,hourly,,,2024-01-02,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60,True
BID,True,True,248,2648,2015-01-05,2015-12-31,,,2015-01-05,2015-12-31,2024-01-02,2025-12-31,248,0,1001,1232,False,True,True,hourly,2015-01-05,2015-12-31,2024-01-02,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60,True
BMI,False,False,0,0,,,,,,,,,0,0,0,0,False,False,False,,,,,,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
BMP,True,True,248,2649,2015-01-05,2015-12-31,,,2015-01-05,2015-12-31,2024-01-02,2025-12-31,248,0,1001,1233,False,True,True,hourly,2015-01-05,2015-12-31,2024-01-02,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60,True
BVH,True,True,248,2649,2015-01-05,2015-12-31,,,2015-01-05,2015-12-31,2024-01-02,2025-12-31,248,0,1001,1233,False,True,True,hourly,2015-01-05,2015-12-31,2024-01-02,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60,True
BWE,False,True,0,2642,,,,,,,2024-01-02,2025-12-31,0,0,1000,1229,False,True,True,hourly,,,2024-01-02,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60,True
CII,True,True,248,2649,2015-01-05,2015-12-31,,,2015-01-05,2015-12-31,2024-01-02,2025-12-31,248,0,1001,1233,False,True,True,hourly,2015-01-05,2015-12-31,2024-01-02,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60,True
CMG,True,True,1479,480,2010-01-22,2015-12-31,,,2010-01-22,2015-12-31,2025-12-15,2025-12-31,1479,0,0,65,False,False,False,,2010-01-22,2015-12-31,2025-12-15,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:65<500,False
CTD,True,True,1481,180,2010-01-20,2015-12-31,,,2010-01-20,2015-12-31,,,1481,0,0,0,False,False,False,,2010-01-20,2015-12-31,,,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:cache_missing; pre_eval_rows_below_min:0<500; eval_rows_below_min:0<500,False
CTG,True,True,1613,575,2009-07-16,2015-12-31,,,2009-07-16,2015-12-31,2025-11-18,2025-12-31,1613,0,0,160,False,False,False,,2009-07-16,2015-12-31,2025-11-18,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:160<500,False
CTR,False,True,0,655,,,,,,,2025-10-27,2025-12-31,0,0,0,240,False,False,False,,,,2025-10-27,2025-12-31,daily:cache_missing; pre_eval_rows_below_min:0<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
DBC,True,True,1944,860,2008-03-18,2015-12-31,,,2008-03-18,2015-12-31,2025-08-27,2025-12-31,1944,0,0,445,False,False,False,,2008-03-18,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
DCM,True,True,193,860,2015-03-31,2015-12-31,,,2015-03-31,2015-12-31,2025-08-27,2025-12-31,193,0,0,445,False,False,False,,2015-03-31,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
DGC,True,True,338,550,2014-08-26,2015-12-31,,,2014-08-26,2015-12-31,2025-11-25,2025-12-31,338,0,0,135,False,False,False,,2014-08-26,2015-12-31,2025-11-25,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:135<500,False
DGW,True,True,108,860,2015-08-03,2015-12-31,,,2015-08-03,2015-12-31,2025-08-27,2025-12-31,108,0,0,445,False,False,False,,2015-08-03,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; pre_eval_rows_below_min:108<120; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
DIG,True,True,1589,655,2009-08-19,2015-12-31,,,2009-08-19,2015-12-31,2025-10-27,2025-12-31,1589,0,0,240,False,False,False,,2009-08-19,2015-12-31,2025-10-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:240<500,False
DPM,True,True,2029,860,2007-11-05,2015-12-31,,,2007-11-05,2015-12-31,2025-08-27,2025-12-31,2029,0,0,445,False,False,False,,2007-11-05,2015-12-31,2025-08-27,2025-12-31,daily:ends_before_eval_end_tolerance; eval_rows_below_min:0<60 | hourly:starts_at_or_after_eval_start; pre_eval_rows_below_min:0<500; eval_rows_below_min:445<500,False
