frequency,exante_regime,model,horizon,n_obs,accuracy,passed_60pct,passed_63pct,reliable
daily,bear,lightgbm,5,85,0.5882352941176471,False,False,True
daily,bear,lightgbm,10,240,0.575,False,False,True
daily,bear,lightgbm,20,309,0.6634304207119741,True,True,True
daily,bear,random_forest,5,85,0.5764705882352941,False,False,True
daily,bear,random_forest,10,240,0.525,False,False,True
daily,bear,random_forest,20,309,0.6666666666666666,True,True,True
daily,bear,stacking,5,85,0.5647058823529412,False,False,True
daily,bear,stacking,10,240,0.4875,False,False,True
daily,bear,stacking,20,309,0.5048543689320388,False,False,True
daily,bear,xgboost,5,85,0.6,True,False,True
daily,bear,xgboost,10,240,0.5541666666666667,False,False,True
daily,bear,xgboost,20,309,0.6504854368932039,True,True,True
daily,bull,lightgbm,1,2,0.5,False,False,False
daily,bull,lightgbm,5,242,0.49173553719008267,False,False,True
daily,bull,lightgbm,10,457,0.42669584245076586,False,False,True
daily,bull,lightgbm,20,614,0.4592833876221498,False,False,True
daily,bull,random_forest,1,2,0.5,False,False,False
daily,bull,random_forest,5,242,0.5041322314049587,False,False,True
daily,bull,random_forest,10,457,0.4135667396061269,False,False,True
daily,bull,random_forest,20,614,0.4739413680781759,False,False,True
daily,bull,stacking,1,2,0.5,False,False,False
daily,bull,stacking,5,242,0.4669421487603306,False,False,True
daily,bull,stacking,10,457,0.5776805251641138,False,False,True
daily,bull,stacking,20,614,0.6205211726384365,True,False,True
daily,bull,xgboost,1,2,0.5,False,False,False
daily,bull,xgboost,5,242,0.49173553719008267,False,False,True
daily,bull,xgboost,10,457,0.4201312910284464,False,False,True
daily,bull,xgboost,20,614,0.4755700325732899,False,False,True
daily,insufficient_history,lightgbm,1,35,0.6857142857142857,True,True,False
daily,insufficient_history,lightgbm,5,35,0.6571428571428571,True,True,False
daily,insufficient_history,lightgbm,10,35,0.7428571428571429,True,True,False
daily,insufficient_history,lightgbm,20,35,0.9428571428571428,True,True,False
daily,insufficient_history,random_forest,1,35,0.6857142857142857,True,True,False
daily,insufficient_history,random_forest,5,35,0.6857142857142857,True,True,False
daily,insufficient_history,random_forest,10,35,0.7142857142857143,True,True,False
daily,insufficient_history,random_forest,20,35,0.9142857142857143,True,True,False
daily,insufficient_history,stacking,1,35,0.4857142857142857,False,False,False
daily,insufficient_history,stacking,5,35,0.34285714285714286,False,False,False
daily,insufficient_history,stacking,10,35,0.5142857142857142,False,False,False
daily,insufficient_history,stacking,20,35,0.5714285714285714,False,False,False
daily,insufficient_history,xgboost,1,35,0.7428571428571429,True,True,False
daily,insufficient_history,xgboost,5,35,0.6857142857142857,True,True,False
daily,insufficient_history,xgboost,10,35,0.8,True,True,False
daily,insufficient_history,xgboost,20,35,0.9142857142857143,True,True,False
daily,sideways,lightgbm,1,1564,0.5038363171355499,False,False,True
daily,sideways,lightgbm,5,1315,0.532319391634981,False,False,True
daily,sideways,lightgbm,10,924,0.5800865800865801,False,False,True
daily,sideways,lightgbm,20,634,0.5851735015772871,False,False,True
daily,sideways,random_forest,1,1564,0.5083120204603581,False,False,True
daily,sideways,random_forest,5,1315,0.5193916349809886,False,False,True
daily,sideways,random_forest,10,924,0.5865800865800865,False,False,True
daily,sideways,random_forest,20,634,0.5962145110410094,False,False,True
daily,sideways,stacking,1,1564,0.518542199488491,False,False,True
daily,sideways,stacking,5,1315,0.5125475285171103,False,False,True
daily,sideways,stacking,10,924,0.5054112554112554,False,False,True
daily,sideways,stacking,20,634,0.45741324921135645,False,False,True
daily,sideways,xgboost,1,1564,0.5025575447570333,False,False,True
daily,sideways,xgboost,5,1315,0.5376425855513308,False,False,True
daily,sideways,xgboost,10,924,0.5876623376623377,False,False,True
daily,sideways,xgboost,20,634,0.6025236593059937,True,False,True
hourly,bear,lightgbm,4,63,0.4444444444444444,False,False,True
hourly,bear,lightgbm,8,233,0.463519313304721,False,False,True
hourly,bear,lightgbm,20,952,0.44642857142857145,False,False,True
hourly,bear,random_forest,4,63,0.5555555555555556,False,False,True
hourly,bear,random_forest,8,233,0.5064377682403434,False,False,True
hourly,bear,random_forest,20,952,0.4495798319327731,False,False,True
hourly,bear,stacking,4,63,0.49206349206349204,False,False,True
hourly,bear,stacking,8,233,0.44635193133047213,False,False,True
hourly,bear,stacking,20,952,0.4107142857142857,False,False,True
hourly,bear,xgboost,4,63,0.4126984126984127,False,False,True
hourly,bear,xgboost,8,233,0.48497854077253216,False,False,True
hourly,bear,xgboost,20,952,0.4485294117647059,False,False,True
hourly,bull,lightgbm,4,96,0.3541666666666667,False,False,True
hourly,bull,lightgbm,8,468,0.38247863247863245,False,False,True
hourly,bull,lightgbm,20,1374,0.5385735080058224,False,False,True
hourly,bull,random_forest,4,96,0.3541666666666667,False,False,True
hourly,bull,random_forest,8,468,0.40384615384615385,False,False,True
hourly,bull,random_forest,20,1374,0.5531295487627366,False,False,True
hourly,bull,stacking,4,96,0.3541666666666667,False,False,True
hourly,bull,stacking,8,468,0.5085470085470085,False,False,True
hourly,bull,stacking,20,1374,0.6004366812227074,True,False,True
hourly,bull,xgboost,4,96,0.375,False,False,True
hourly,bull,xgboost,8,468,0.37606837606837606,False,False,True
hourly,bull,xgboost,20,1374,0.5451237263464338,False,False,True
hourly,insufficient_history,lightgbm,1,35,0.5428571428571428,False,False,False
hourly,insufficient_history,lightgbm,4,35,0.2857142857142857,False,False,False
hourly,insufficient_history,lightgbm,8,35,0.45714285714285713,False,False,False
hourly,insufficient_history,lightgbm,20,35,0.2,False,False,False
hourly,insufficient_history,random_forest,1,35,0.6,True,False,False
hourly,insufficient_history,random_forest,4,35,0.3142857142857143,False,False,False
hourly,insufficient_history,random_forest,8,35,0.34285714285714286,False,False,False
hourly,insufficient_history,random_forest,20,35,0.2857142857142857,False,False,False
hourly,insufficient_history,stacking,1,35,0.6,True,False,False
hourly,insufficient_history,stacking,4,35,0.4857142857142857,False,False,False
hourly,insufficient_history,stacking,8,35,0.42857142857142855,False,False,False
hourly,insufficient_history,stacking,20,35,0.5714285714285714,False,False,False
hourly,insufficient_history,xgboost,1,35,0.6,True,False,False
hourly,insufficient_history,xgboost,4,35,0.2857142857142857,False,False,False
hourly,insufficient_history,xgboost,8,35,0.6,True,False,False
hourly,insufficient_history,xgboost,20,35,0.2571428571428571,False,False,False
hourly,sideways,lightgbm,1,7304,0.5472343921139102,False,False,True
hourly,sideways,lightgbm,4,7881,0.5179545742926025,False,False,True
