frequency,model,horizon,posthoc_regime,posthoc_n_obs,posthoc_accuracy,posthoc_passed_60pct,exante_regime,exante_n_obs,exante_accuracy,exante_passed_60pct,exante_passed_63pct,survives_exante_63pct,comparison_status
daily,lightgbm,1,bear,469,0.4968017057569296,False,,,,,,False,no_matching_exante_label
daily,lightgbm,5,bear,485,0.534020618556701,False,bear,85,0.5882352941176471,False,False,False,matched_exante_label
daily,lightgbm,10,bear,465,0.5913978494623656,False,bear,240,0.575,False,False,False,matched_exante_label
daily,lightgbm,20,bear,444,0.6959459459459459,True,bear,309,0.6634304207119741,True,True,True,matched_exante_label
daily,random_forest,1,bear,469,0.5010660980810234,False,,,,,,False,no_matching_exante_label
daily,random_forest,5,bear,485,0.5381443298969072,False,bear,85,0.5764705882352941,False,False,False,matched_exante_label
daily,random_forest,10,bear,465,0.5849462365591398,False,bear,240,0.525,False,False,False,matched_exante_label
daily,random_forest,20,bear,444,0.6891891891891891,True,bear,309,0.6666666666666666,True,True,True,matched_exante_label
daily,stacking,1,bear,469,0.5138592750533049,False,,,,,,False,no_matching_exante_label
daily,stacking,5,bear,485,0.5422680412371134,False,bear,85,0.5647058823529412,False,False,False,matched_exante_label
daily,stacking,10,bear,465,0.5548387096774193,False,bear,240,0.4875,False,False,False,matched_exante_label
daily,stacking,20,bear,444,0.5630630630630631,False,bear,309,0.5048543689320388,False,False,False,matched_exante_label
daily,xgboost,1,bear,469,0.511727078891258,False,,,,,,False,no_matching_exante_label
daily,xgboost,5,bear,485,0.5463917525773195,False,bear,85,0.6,True,False,False,matched_exante_label
daily,xgboost,10,bear,465,0.5827956989247312,False,bear,240,0.5541666666666667,False,False,False,matched_exante_label
daily,xgboost,20,bear,444,0.6914414414414415,True,bear,309,0.6504854368932039,True,True,True,matched_exante_label
daily,lightgbm,1,bull,611,0.5122749590834698,False,bull,2,0.5,False,False,False,matched_exante_label
daily,lightgbm,5,bull,629,0.5294117647058824,False,bull,242,0.49173553719008267,False,False,False,matched_exante_label
daily,lightgbm,10,bull,631,0.4849445324881141,False,bull,457,0.42669584245076586,False,False,False,matched_exante_label
daily,lightgbm,20,bull,615,0.46991869918699186,False,bull,614,0.4592833876221498,False,False,False,matched_exante_label
daily,random_forest,1,bull,611,0.5220949263502455,False,bull,2,0.5,False,False,False,matched_exante_label
daily,random_forest,5,bull,629,0.5325914149443561,False,bull,242,0.5041322314049587,False,False,False,matched_exante_label
daily,random_forest,10,bull,631,0.4786053882725832,False,bull,457,0.4135667396061269,False,False,False,matched_exante_label
daily,random_forest,20,bull,615,0.5024390243902439,False,bull,614,0.4739413680781759,False,False,False,matched_exante_label
daily,stacking,1,bull,611,0.49918166939443537,False,bull,2,0.5,False,False,False,matched_exante_label
daily,stacking,5,bull,629,0.4562798092209857,False,bull,242,0.4669421487603306,False,False,False,matched_exante_label
daily,stacking,10,bull,631,0.5182250396196514,False,bull,457,0.5776805251641138,False,False,False,matched_exante_label
daily,stacking,20,bull,615,0.5073170731707317,False,bull,614,0.6205211726384365,True,False,False,matched_exante_label
daily,xgboost,1,bull,611,0.5057283142389526,False,bull,2,0.5,False,False,False,matched_exante_label
daily,xgboost,5,bull,629,0.5230524642289348,False,bull,242,0.49173553719008267,False,False,False,matched_exante_label
daily,xgboost,10,bull,631,0.48177496038034867,False,bull,457,0.4201312910284464,False,False,False,matched_exante_label
daily,xgboost,20,bull,615,0.4878048780487805,False,bull,614,0.4755700325732899,False,False,False,matched_exante_label
daily,lightgbm,1,high_volatility,607,0.5238879736408567,False,,,,,,False,no_matching_exante_label
daily,lightgbm,5,high_volatility,627,0.5964912280701754,False,,,,,,False,no_matching_exante_label
daily,lightgbm,10,high_volatility,624,0.5785256410256411,False,,,,,,False,no_matching_exante_label
daily,lightgbm,20,high_volatility,622,0.5771704180064309,False,,,,,,False,no_matching_exante_label
daily,random_forest,1,high_volatility,607,0.5255354200988468,False,,,,,,False,no_matching_exante_label
daily,random_forest,5,high_volatility,627,0.5821371610845295,False,,,,,,False,no_matching_exante_label
daily,random_forest,10,high_volatility,624,0.5785256410256411,False,,,,,,False,no_matching_exante_label
daily,random_forest,20,high_volatility,622,0.6093247588424437,True,,,,,,False,no_matching_exante_label
daily,stacking,1,high_volatility,607,0.48599670510708404,False,,,,,,False,no_matching_exante_label
daily,stacking,5,high_volatility,627,0.5342902711323764,False,,,,,,False,no_matching_exante_label
daily,stacking,10,high_volatility,624,0.5849358974358975,False,,,,,,False,no_matching_exante_label
daily,stacking,20,high_volatility,622,0.5643086816720257,False,,,,,,False,no_matching_exante_label
daily,xgboost,1,high_volatility,607,0.515650741350906,False,,,,,,False,no_matching_exante_label
daily,xgboost,5,high_volatility,627,0.5917065390749602,False,,,,,,False,no_matching_exante_label
daily,xgboost,10,high_volatility,624,0.5785256410256411,False,,,,,,False,no_matching_exante_label
daily,xgboost,20,high_volatility,622,0.5787781350482315,False,,,,,,False,no_matching_exante_label
daily,lightgbm,1,low_volatility,461,0.4837310195227766,False,,,,,,False,no_matching_exante_label
daily,lightgbm,5,low_volatility,481,0.4594594594594595,False,,,,,,False,no_matching_exante_label
daily,lightgbm,10,low_volatility,462,0.5216450216450217,False,,,,,,False,no_matching_exante_label
daily,lightgbm,20,low_volatility,413,0.5907990314769975,False,,,,,,False,no_matching_exante_label
daily,random_forest,1,low_volatility,461,0.45770065075921906,False,,,,,,False,no_matching_exante_label
daily,random_forest,5,low_volatility,481,0.4573804573804574,False,,,,,,False,no_matching_exante_label
daily,random_forest,10,low_volatility,462,0.5064935064935064,False,,,,,,False,no_matching_exante_label
daily,random_forest,20,low_volatility,413,0.5254237288135594,False,,,,,,False,no_matching_exante_label
daily,stacking,1,low_volatility,461,0.544468546637744,False,,,,,,False,no_matching_exante_label
daily,stacking,5,low_volatility,481,0.4781704781704782,False,,,,,,False,no_matching_exante_label
daily,stacking,10,low_volatility,462,0.461038961038961,False,,,,,,False,no_matching_exante_label
daily,stacking,20,low_volatility,413,0.5060532687651331,False,,,,,,False,no_matching_exante_label
daily,xgboost,1,low_volatility,461,0.48590021691973967,False,,,,,,False,no_matching_exante_label
daily,xgboost,5,low_volatility,481,0.4698544698544699,False,,,,,,False,no_matching_exante_label
daily,xgboost,10,low_volatility,462,0.5108225108225108,False,,,,,,False,no_matching_exante_label
daily,xgboost,20,low_volatility,413,0.585956416464891,False,,,,,,False,no_matching_exante_label
daily,lightgbm,1,sideways,521,0.5124760076775432,False,sideways,1564,0.5038363171355499,False,False,False,matched_exante_label
daily,lightgbm,5,sideways,563,0.5328596802841918,False,sideways,1315,0.532319391634981,False,False,False,matched_exante_label
daily,lightgbm,10,sideways,560,0.5607142857142857,False,sideways,924,0.5800865800865801,False,False,False,matched_exante_label
daily,lightgbm,20,sideways,533,0.549718574108818,False,sideways,634,0.5851735015772871,False,False,False,matched_exante_label
daily,random_forest,1,sideways,521,0.510556621880998,False,sideways,1564,0.5083120204603581,False,False,False,matched_exante_label
daily,random_forest,5,sideways,563,0.5008880994671403,False,sideways,1315,0.5193916349809886,False,False,False,matched_exante_label
daily,random_forest,10,sideways,560,0.55,False,sideways,924,0.5865800865800865,False,False,False,matched_exante_label
daily,random_forest,20,sideways,533,0.5478424015009381,False,sideways,634,0.5962145110410094,False,False,False,matched_exante_label
daily,stacking,1,sideways,521,0.5431861804222649,False,sideways,1564,0.518542199488491,False,False,False,matched_exante_label
daily,stacking,5,sideways,563,0.5275310834813499,False,sideways,1315,0.5125475285171103,False,False,False,matched_exante_label
daily,stacking,10,sideways,560,0.5017857142857143,False,sideways,924,0.5054112554112554,False,False,False,matched_exante_label
daily,stacking,20,sideways,533,0.5347091932457786,False,sideways,634,0.45741324921135645,False,False,False,matched_exante_label
daily,xgboost,1,sideways,521,0.5067178502879078,False,sideways,1564,0.5025575447570333,False,False,False,matched_exante_label
daily,xgboost,5,sideways,563,0.5452930728241563,False,sideways,1315,0.5376425855513308,False,False,False,matched_exante_label
daily,xgboost,10,sideways,560,0.5732142857142857,False,sideways,924,0.5876623376623377,False,False,False,matched_exante_label
daily,xgboost,20,sideways,533,0.5628517823639775,False,sideways,634,0.6025236593059937,True,False,False,matched_exante_label
hourly,lightgbm,1,bear,1134,0.5326278659611993,False,,,,,,False,no_matching_exante_label
hourly,lightgbm,4,bear,1271,0.5413060582218725,False,bear,63,0.4444444444444444,False,False,False,matched_exante_label
hourly,lightgbm,8,bear,1290,0.5248062015503876,False,bear,233,0.463519313304721,False,False,False,matched_exante_label
hourly,lightgbm,20,bear,1277,0.5324980422866092,False,bear,952,0.44642857142857145,False,False,False,matched_exante_label
