frequency,model,horizon,threshold,total_rows,evaluated_rows,coverage_ratio,filtered_accuracy,passed_60pct,coverage_ok_50pct,selected_at_50pct_floor,coverage_ok_40pct,selected_at_40pct_floor,coverage_ok_30pct,selected_at_30pct_floor,coverage_ok_20pct,selected_at_20pct_floor
daily,lightgbm,1,0.5,1601,1601,1.0,0.5078076202373517,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.51,1601,1563,0.9762648344784509,0.509277031349968,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.52,1601,1525,0.9525296689569019,0.5095081967213114,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.53,1601,1489,0.9300437226733291,0.5097380792478173,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.54,1601,1445,0.9025608994378513,0.5100346020761246,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.55,1601,1404,0.876951905059338,0.5092592592592593,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.56,1601,1363,0.8513429106808245,0.5121056493030081,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.57,1601,1314,0.820737039350406,0.5121765601217656,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.58,1601,1264,0.7895065584009994,0.5134493670886076,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.59,1601,1219,0.7613991255465334,0.5110746513535686,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.6,1601,1191,0.7439100562148657,0.5088161209068011,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.61,1601,1140,0.712054965646471,0.5131578947368421,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.62,1601,1096,0.6845721424109932,0.5118613138686131,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.63,1601,1067,0.6664584634603373,0.5098406747891284,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.64,1601,1027,0.641474078700812,0.5082765335929893,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.65,1601,980,0.6121174266083698,0.5142857142857142,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.66,1601,946,0.5908806995627732,0.5137420718816068,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.67,1601,899,0.561524047470331,0.5139043381535039,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.68,1601,852,0.5321673953778888,0.5164319248826291,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.69,1601,815,0.5090568394753279,0.5190184049079755,False,True,False,True,False,True,False,True,False
daily,lightgbm,1,0.7,1601,777,0.4853216739537789,0.5263835263835264,False,False,False,True,False,True,False,True,False
daily,lightgbm,1,0.71,1601,736,0.45971267957526546,0.5271739130434783,False,False,False,True,False,True,False,True,False
daily,lightgbm,1,0.72,1601,698,0.43597751405371643,0.5243553008595988,False,False,False,True,False,True,False,True,False
daily,lightgbm,1,0.73,1601,653,0.40787008119925044,0.5283307810107197,False,False,False,True,False,True,False,True,False
daily,lightgbm,1,0.74,1601,614,0.3835103060587133,0.5260586319218241,False,False,False,False,False,True,False,True,False
daily,lightgbm,1,0.75,1601,576,0.35977514053716425,0.5329861111111112,False,False,False,False,False,True,False,True,False
daily,lightgbm,1,0.76,1601,548,0.3422860712054966,0.5328467153284672,False,False,False,False,False,True,False,True,False
daily,lightgbm,1,0.77,1601,522,0.32604622111180515,0.5306513409961686,False,False,False,False,False,True,False,True,False
daily,lightgbm,1,0.78,1601,492,0.30730793254216116,0.5304878048780488,False,False,False,False,False,True,False,True,False
daily,lightgbm,1,0.79,1601,457,0.28544659587757654,0.5361050328227571,False,False,False,False,False,False,False,True,False
daily,lightgbm,1,0.8,1601,414,0.2585883822610868,0.533816425120773,False,False,False,False,False,False,False,True,False
daily,lightgbm,1,0.81,1601,372,0.23235477826358525,0.5241935483870968,False,False,False,False,False,False,False,True,False
daily,lightgbm,1,0.82,1601,336,0.2098688319800125,0.5208333333333334,False,False,False,False,False,False,False,True,False
daily,lightgbm,1,0.83,1601,305,0.1905059337913804,0.5016393442622951,False,False,False,False,False,False,False,False,False
daily,lightgbm,1,0.84,1601,275,0.1717676452217364,0.49818181818181817,False,False,False,False,False,False,False,False,False
daily,lightgbm,1,0.85,1601,242,0.15115552779512806,0.49173553719008267,False,False,False,False,False,False,False,False,False
daily,lightgbm,1,0.86,1601,217,0.13554028732042472,0.47465437788018433,False,False,False,False,False,False,False,False,False
daily,lightgbm,1,0.87,1601,180,0.11242973141786383,0.4722222222222222,False,False,False,False,False,False,False,False,False
daily,lightgbm,1,0.88,1601,160,0.09993753903810118,0.46875,False,False,False,False,False,False,False,False,False
daily,lightgbm,1,0.89,1601,132,0.08244846970643348,0.5,False,False,False,False,False,False,False,False,False
daily,lightgbm,1,0.9,1601,116,0.07245471580262336,0.5172413793103449,False,False,False,False,False,False,False,False,False
daily,lightgbm,5,0.5,1677,1677,1.0,0.531902206320811,False,True,False,True,False,True,False,True,False
daily,lightgbm,5,0.51,1677,1656,0.9874776386404294,0.5344202898550725,False,True,False,True,False,True,False,True,False
daily,lightgbm,5,0.52,1677,1631,0.9725700655933214,0.5370938074800736,False,True,False,True,False,True,False,True,False
