timestamp_sort,gross_period_return,net_period_return,turnover_period,exposure,gross_equity,net_equity,slice_name,baseline,transaction_cost_bps,slippage_bps
2025-01-02 10:00:00,0.0,0.0,0.0,0.0,1.0,1.0,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-02 11:00:00,0.0,0.0,0.0,0.0,1.0,1.0,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-02 14:00:00,0.0,0.0,0.0,0.0,1.0,1.0,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-03 10:00:00,0.0,0.0,0.0,0.0,1.0,1.0,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-03 11:00:00,0.0,0.0,0.0,0.0,1.0,1.0,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-03 13:00:00,0.0,0.0,0.0,0.0,1.0,1.0,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-03 14:00:00,0.0,0.0,0.0,0.0,1.0,1.0,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-06 10:00:00,0.0,0.0,0.0,0.0,1.0,1.0,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-06 11:00:00,0.0,0.0,0.0,0.0,1.0,1.0,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-06 13:00:00,0.0023806053539328,0.0017139386872661335,0.3333333333333333,0.3333333333333333,1.0023806053539328,1.0017139386872662,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-06 14:00:00,-0.0041528239202657,-0.0061528239202657,1.0,0.5,0.9982178951988085,0.9955505692040476,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-07 10:00:00,0.0027917364600781665,0.0027917364600781665,0.0,0.3333333333333333,1.0010046564919377,0.9983298840259462,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-07 11:00:00,0.0,0.0,0.0,0.0,1.0010046564919377,0.9983298840259462,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-07 13:00:00,0.00249169435215945,0.00249169435215945,0.0,0.5,1.003498854141004,1.0008174169595656,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-07 14:00:00,0.0,0.0,0.0,0.0,1.003498854141004,1.0008174169595656,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-08 10:00:00,0.0,-0.0006666666666666666,0.3333333333333333,0.0,1.003498854141004,1.0001502053482592,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-08 11:00:00,0.0,0.0,0.0,0.0,1.003498854141004,1.0001502053482592,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-08 13:00:00,0.0,0.0,0.0,0.0,1.003498854141004,1.0001502053482592,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-08 14:00:00,0.0,0.0,0.0,0.0,1.003498854141004,1.0001502053482592,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-09 10:00:00,0.0,0.0,0.0,0.0,1.003498854141004,1.0001502053482592,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-09 11:00:00,0.0,0.0,0.0,0.0,1.003498854141004,1.0001502053482592,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-09 13:00:00,0.0,0.0,0.0,0.0,1.003498854141004,1.0001502053482592,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-09 14:00:00,0.0,0.0,0.0,0.0,1.003498854141004,1.0001502053482592,hourly_stacking_h1_confidence_0.57,model_signal,10,10
2025-01-10 10:00:00,0.0,0.0,0.0,0.0,1.003498854141004,1.0001502053482592,hourly_stacking_h1_confidence_0.57,model_signal,10,10
