horizon,regime,model_name,observations_regression,mae,rmse,directional_accuracy,average_actual_return_x,average_predicted_return,observations_classification,accuracy,precision,recall,f1,roc_auc,positive_class_precision,realized_profit_rate,ranking_method,profit_rate,average_actual_return_y,rank_regression_rmse,rank_classification_f1,rank_combined_profit_rate,overall_rank
3d,bear,xgboost,104,0.042891430001035236,0.055795984325324885,0.46153846153846156,-0.0009285415859085841,-0.008753176637513259,104,0.4326923076923077,0.3157894736842105,0.11538461538461539,0.16901408450704225,0.4681952662721893,0.3157894736842105,0.5,combined_weighted_linear_gated,1.0,0.09159976415846553,1.0,7.0,1.0,3.0
20d,bear,cart,48,0.11008338465045797,0.15352236502324695,0.5208333333333334,-0.03003807158968505,-0.07534206723265598,48,0.6666666666666666,0.56,0.7368421052631579,0.6363636363636364,0.689655172413793,0.56,0.3958333333333333,combined_weighted_linear_gated,1.0,0.0714285714285714,9.0,1.0,1.0,3.6666666666666665
5d,bear,cart,104,0.05710076426376914,0.07874287126163973,0.4807692307692308,-0.0008211881132876981,-0.018507926709081413,104,0.49038461538461536,0.55,0.38596491228070173,0.4536082474226804,0.5425531914893617,0.55,0.5480769230769231,combined_rank_based,0.5769230769230769,-0.0009918057722502534,5.0,2.0,4.0,3.6666666666666665
5d,bear,xgboost,104,0.054109225635488964,0.07405423602304442,0.4519230769230769,-0.0008211881132876981,0.0002577181439846914,104,0.4326923076923077,0.45,0.15789473684210525,0.23376623376623376,0.35349010824934674,0.45,0.5480769230769231,combined_weighted_linear_gated,0.6363636363636364,0.005161504782335492,4.0,4.0,3.0,3.6666666666666665
3d,bear,lightgbm,104,0.0466087916422241,0.06042692062221183,0.49038461538461536,-0.0009285415859085841,-0.003700944432877534,104,0.4423076923076923,0.375,0.17307692307692307,0.23684210526315788,0.44304733727810647,0.375,0.5,combined_weighted_linear,0.47435897435897434,-0.0011515099606588955,2.0,3.0,7.0,4.0
5d,bear,lightgbm,104,0.05786458759738876,0.07897514803381854,0.4519230769230769,-0.0008211881132876981,-0.002593617948576991,104,0.40384615384615385,0.391304347826087,0.15789473684210525,0.225,0.4412094064949609,0.391304347826087,0.5480769230769231,combined_weighted_linear_gated,0.6666666666666666,0.026092049059436705,6.0,5.0,2.0,4.333333333333333
20d,bear,lightgbm,48,0.08450296044439132,0.1306817415781197,0.6458333333333334,-0.03003807158968505,-0.07050054796976996,48,0.625,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.7168784029038112,0.6666666666666666,0.3958333333333333,combined_weighted_linear_gated,1.0,0.0541044776119403,8.0,6.0,1.0,5.0
3d,bear,cart,104,0.045006703771808404,0.06115123042477653,0.5384615384615384,-0.0009285415859085841,0.0021832381184895703,104,0.375,0.19047619047619047,0.07692307692307693,0.1095890410958904,0.3818417159763314,0.19047619047619047,0.5,combined_rank_based,0.48717948717948717,-0.001011648227363734,3.0,8.0,6.0,5.666666666666667
20d,bear,xgboost,48,0.08337314326338015,0.12613752332941952,0.5625,-0.03003807158968505,-0.06848511671705633,48,0.5833333333333334,0.0,0.0,0.0,0.6842105263157895,0.0,0.3958333333333333,combined_rank_based,0.5277777777777778,0.004973974997984981,7.0,9.0,5.0,7.0
5d,bull,xgboost,76,0.041102158406300465,0.0543578074937455,0.5657894736842105,0.006220967051318054,-0.007950207639767426,76,0.7236842105263158,0.8,0.4,0.5333333333333333,0.6565217391304349,0.8,0.39473684210526316,combined_weighted_linear_gated,0.7777777777777778,0.034609288962920086,5.0,1.0,1.0,2.3333333333333335
