horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate,rank_in_regime
20d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.5,1,1,0.0714285714285714,1.0,1.0,1.0,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.55,1,1,0.0714285714285714,1.0,1.0,1.0,1.0,1.0
20d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.65,1,1,0.0541044776119403,1.0,1.0,1.0,1.0,1.0
20d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.65,1,1,0.0541044776119403,1.0,1.0,1.0,1.0,1.0
20d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.65,1,1,0.0541044776119403,1.0,1.0,1.0,1.0,1.0
20d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.65,1,1,0.0541044776119403,1.0,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.65,3,3,0.09159976415846553,1.0,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.55,2,2,0.0875014792315884,1.0,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.6,2,2,0.0875014792315884,1.0,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.55,2,2,0.0875014792315884,1.0,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.6,2,2,0.0875014792315884,1.0,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.6,4,4,0.0624256918447179,0.75,0.75,1.0,1.0,2.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.55,3,3,0.049968811122217266,0.6666666666666666,0.6666666666666666,1.0,1.0,3.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.6,3,3,0.049968811122217266,0.6666666666666666,0.6666666666666666,1.0,1.0,3.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.5,3,3,0.059568887388960164,0.6666666666666666,0.6666666666666666,1.0,1.0,3.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.5,3,3,0.059568887388960164,0.6666666666666666,0.6666666666666666,1.0,1.0,3.0
5d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.5,8,9,0.026092049059436705,0.6666666666666666,0.6666666666666666,1.0,1.0,3.0
5d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.5,10,11,0.005161504782335492,0.6363636363636364,0.6363636363636364,1.0,1.0,4.0
5d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.55,10,11,0.005161504782335492,0.6363636363636364,0.6363636363636364,1.0,1.0,4.0
5d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.55,8,8,0.018234956809116975,0.625,0.625,1.0,1.0,5.0
5d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.6,8,8,0.018234956809116975,0.625,0.625,1.0,1.0,5.0
5d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.65,8,8,0.018234956809116975,0.625,0.625,1.0,1.0,5.0
5d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.6,7,8,0.03154045767752594,0.625,0.625,1.0,1.0,5.0
