symbol,asset_type,sample_start,sample_end,package,package_version,provider,source,function_used,returned_rows,standardized_rows,returned_columns,first_timestamp,last_timestamp,success,exception_type,exception_message
ACB,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),21,21,"time,open,high,low,close,volume",2023-12-28 14:00:00,2024-01-05 14:00:00,true,,
ACB,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e53923f0 state=finished raised ValueError>]
ACB,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
ACB,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
ACB,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
ACB,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e5396580 state=finished raised ValueError>]
ACB,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
ACB,stock,2024-01-02,2024-01-05,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
ACB,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),16,16,"time,open,high,low,close,volume",2024-12-30 10:00:00,2025-01-03 14:00:00,true,,
ACB,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e54446e0 state=finished raised ValueError>]
ACB,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
ACB,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
ACB,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
ACB,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,RetryError,RetryError[<Future at 0x1d7e5471010 state=finished raised ValueError>]
ACB,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
ACB,stock,2025-01-02,2025-01-05,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
