model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,109,0.0,0.3119266055045872,0.3119266055045872
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,67,1.0,0.417910447761194,-0.582089552238806
lightgbm,lt_0.50,0.0,0.5,127,0.12433717648052446,0.33858267716535434,0.2142455006848299
lightgbm,0.50-0.55,0.5,0.55,6,0.5180316909803316,0.3333333333333333,-0.18469835764699832
lightgbm,0.55-0.60,0.55,0.6,4,0.5848063227035281,0.75,0.16519367729647194
lightgbm,0.60-0.65,0.6,0.65,2,0.640316026837826,0.5,-0.14031602683782596
lightgbm,0.65+,0.65,1.0,37,0.8112920620030569,0.35135135135135137,-0.45994071065170555
xgboost,lt_0.50,0.0,0.5,131,0.19417185692528957,0.35877862595419846,0.1646067690289089
xgboost,0.50-0.55,0.5,0.55,6,0.5214551190535227,0.8333333333333334,0.31187821427981066
xgboost,0.55-0.60,0.55,0.6,7,0.584553233214787,0.2857142857142857,-0.29883894750050133
xgboost,0.60-0.65,0.6,0.65,12,0.619125043352445,0.08333333333333333,-0.5357917100191116
xgboost,0.65+,0.65,1.0,20,0.7338428497314453,0.35,-0.38384284973144533
