experiment_id,ticker,horizon,model_name,model_type,regime_column,regime,status,eligible,extreme_prediction_flag,baseline_gap_flag,exclusion_reason
EXP-FC-001,ACB,1,bilstm,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,bilstm,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,bilstm,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,ets,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,ets,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,ets,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,lightgbm,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,lightgbm,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,lightgbm,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,lstm,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,lstm,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,lstm,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,moving_average_rule,baseline,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,ACB,1,moving_average_rule,baseline,trend_regime,bull,eligible,True,False,False,
EXP-FC-001,ACB,1,moving_average_rule,baseline,trend_regime,sideway,eligible,True,False,False,
EXP-FC-001,ACB,1,persistence,baseline,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,ACB,1,persistence,baseline,trend_regime,bull,eligible,True,False,False,
EXP-FC-001,ACB,1,persistence,baseline,trend_regime,sideway,eligible,True,False,False,
EXP-FC-001,ACB,1,sarimax,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,sarimax,model,trend_regime,bull,flagged,True,True,True,extreme_prediction_flag;baseline_gap_flag
EXP-FC-001,ACB,1,sarimax,model,trend_regime,sideway,flagged,True,True,True,extreme_prediction_flag;baseline_gap_flag
EXP-FC-001,ACB,1,xgboost,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,xgboost,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,xgboost,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,ACB,1,zero_return,baseline,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,ACB,1,zero_return,baseline,trend_regime,bull,eligible,True,False,False,
EXP-FC-001,ACB,1,zero_return,baseline,trend_regime,sideway,eligible,True,False,False,
EXP-FC-001,DGC,1,bilstm,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,bilstm,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,bilstm,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,ets,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,ets,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,ets,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,lightgbm,model,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,DGC,1,lightgbm,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,lightgbm,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,lstm,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,lstm,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,lstm,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,moving_average_rule,baseline,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,DGC,1,moving_average_rule,baseline,trend_regime,bull,eligible,True,False,False,
EXP-FC-001,DGC,1,moving_average_rule,baseline,trend_regime,sideway,eligible,True,False,False,
EXP-FC-001,DGC,1,persistence,baseline,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,DGC,1,persistence,baseline,trend_regime,bull,eligible,True,False,False,
EXP-FC-001,DGC,1,persistence,baseline,trend_regime,sideway,eligible,True,False,False,
EXP-FC-001,DGC,1,sarimax,model,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,DGC,1,sarimax,model,trend_regime,bull,eligible,True,False,False,
EXP-FC-001,DGC,1,sarimax,model,trend_regime,sideway,eligible,True,False,False,
EXP-FC-001,DGC,1,xgboost,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,xgboost,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,xgboost,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,DGC,1,zero_return,baseline,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,DGC,1,zero_return,baseline,trend_regime,bull,eligible,True,False,False,
EXP-FC-001,DGC,1,zero_return,baseline,trend_regime,sideway,eligible,True,False,False,
EXP-FC-001,FPT,1,bilstm,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,bilstm,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,bilstm,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,ets,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,ets,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,ets,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,lightgbm,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,lightgbm,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,lightgbm,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,lstm,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,lstm,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,lstm,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,moving_average_rule,baseline,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,FPT,1,moving_average_rule,baseline,trend_regime,bull,eligible,True,False,False,
EXP-FC-001,FPT,1,moving_average_rule,baseline,trend_regime,sideway,eligible,True,False,False,
EXP-FC-001,FPT,1,persistence,baseline,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,FPT,1,persistence,baseline,trend_regime,bull,eligible,True,False,False,
EXP-FC-001,FPT,1,persistence,baseline,trend_regime,sideway,eligible,True,False,False,
EXP-FC-001,FPT,1,sarimax,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,sarimax,model,trend_regime,bull,flagged,True,True,True,extreme_prediction_flag;baseline_gap_flag
EXP-FC-001,FPT,1,sarimax,model,trend_regime,sideway,flagged,True,True,True,extreme_prediction_flag;baseline_gap_flag
EXP-FC-001,FPT,1,xgboost,model,trend_regime,bear,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,xgboost,model,trend_regime,bull,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,xgboost,model,trend_regime,sideway,flagged,True,False,True,baseline_gap_flag
EXP-FC-001,FPT,1,zero_return,baseline,trend_regime,bear,eligible,True,False,False,
EXP-FC-001,FPT,1,zero_return,baseline,trend_regime,bull,eligible,True,False,False,
