regime_column,regime,horizon,top_n,forecast_only_average_realized_return,risk_aware_average_realized_return,average_realized_return_delta,forecast_only_hit_ratio,risk_aware_hit_ratio,hit_ratio_delta,forecast_only_max_drawdown,risk_aware_max_drawdown,max_drawdown_improvement,forecast_only_var_95,risk_aware_var_95,var_95_improvement,forecast_only_cvar_95,risk_aware_cvar_95,cvar_95_improvement,candidate_count_forecast_only,candidate_count_risk_aware
combined_regime,bear_high_vol,1,1,-0.0017803970807459498,-0.0012556315543105,0.0005247655264354499,0.42857142857142855,0.3333333333333333,-0.09523809523809523,-0.05506056662328562,-0.026908261856826377,0.028152304766459246,-0.025942182774108417,-0.014266802724840657,0.01167538004926776,-0.0550605666232856,-0.0171773444753945,0.0378832221478911,14,9
combined_regime,bear_high_vol,1,3,0.00029188703211937666,0.00029188703211937666,0.0,0.375,0.375,0.0,-0.05506056662328562,-0.05506056662328562,0.0,-0.01834835058835793,-0.01834835058835793,0.0,-0.0369871458584214,-0.0369871458584214,0.0,30,30
combined_regime,bear_high_vol,1,5,0.00029188703211937666,0.00029188703211937666,0.0,0.375,0.375,0.0,-0.05506056662328562,-0.05506056662328562,0.0,-0.01834835058835793,-0.01834835058835793,0.0,-0.0369871458584214,-0.0369871458584214,0.0,30,30
combined_regime,bear_high_vol,3,1,0.007296612973440278,0.0033439631367566287,-0.003952649836683649,0.5789473684210527,0.47058823529411764,-0.10835913312693501,-0.07153306018023997,-0.04788564961690889,0.023647410563331084,-0.023610788007380284,-0.03244660214701384,-0.008835814139633552,-0.0619544592030361,-0.0619544592030361,0.0,19,17
combined_regime,bear_high_vol,3,3,0.0026602698472585266,-0.0004697640849525862,-0.003130033932211113,0.4074074074074074,0.4074074074074074,0.0,-0.09685379714886388,-0.09685379714886388,0.0,-0.020926385339902594,-0.020926385339902594,0.0,-0.0420822340964581,-0.0420822340964581,0.0,41,41
combined_regime,bear_high_vol,3,5,0.0012097970760589502,0.0012097970760589502,0.0,0.4074074074074074,0.4074074074074074,0.0,-0.096853797148864,-0.096853797148864,0.0,-0.020926385339902594,-0.020926385339902594,0.0,-0.0420822340964581,-0.0420822340964581,0.0,45,45
combined_regime,bear_high_vol,5,1,0.010166728316714165,0.011110003794752058,0.0009432754780378926,0.65,0.47619047619047616,-0.17380952380952386,-0.17340770423960883,-0.08398632250707172,0.08942138173253711,-0.056421103739603275,-0.0226958206476611,0.03372528309194217,-0.1044592030360531,-0.02588413551995425,0.07857506751609886,20,21
combined_regime,bear_high_vol,5,3,0.004634079675345746,0.004634079675345746,0.0,0.5625,0.5625,0.0,-0.1722712828945947,-0.1722712828945947,0.0,-0.04024159994153635,-0.04024159994153635,0.0,-0.0791759928800269,-0.0791759928800269,0.0,47,47
combined_regime,bear_high_vol,5,5,0.003332084955108128,0.003332084955108128,0.0,0.5625,0.5625,0.0,-0.1722712828945947,-0.1722712828945947,0.0,-0.04024159994153635,-0.04024159994153635,0.0,-0.0791759928800269,-0.0791759928800269,0.0,51,51
combined_regime,bear_low_vol,1,1,-0.00041887995904353836,-0.0005027860344199442,-8.390607537640582e-05,0.5161290322580645,0.52,0.003870967741935516,-0.07704376709649252,-0.0605409846999001,0.01650278239659242,-0.022632090370647985,-0.01817444040268518,0.004457649967962805,-0.04100601713209185,-0.03326158228731995,0.0077444348447719,31,25
